,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
ricin,.,0.8909424933144682,0.7030294149968858,0.8501023196294171,0.7202797202797203,0.40559440559440557,0.0,0.6016496950503945,1.0
hemopexin,.,0.8945352721992993,0.5894721418366969,0.7518436914116418,0.7272727272727273,0.46153846153846156,0.0,0.5583288849761743,0.9416044538329308
CUB,.,0.7039920588474958,0.4175610828235446,0.7338692825829415,0.8581560283687943,0.3546099290780142,0.0,0.45203693439587034,0.9257523262674588
Bacteriofer,.,0.9260406095130859,1.0,0.9933239407313122,0.6293706293706294,0.4825174825174825,0.0,0.7391995493730279,0.9217801490047387
S-AdoMet_syntD2,.,0.8535405539546496,0.48269167368767907,0.7059067588542514,0.7659574468085106,0.48936170212765956,0.0,0.5203996629847916,0.8990195535973898
Ald_Xan_dh_1,.,0.9865548584000652,0.7310157881241073,0.8637705406446012,0.7832167832167832,0.46853146853146854,0.7685899777995719,0.9092870937120932,0.8673596386621737
Peptidase_S21,.,0.9468342802960154,0.6905381149492645,0.8176269837538023,0.7342657342657343,0.38461538461538464,0.6748164432599404,0.80403620570054,0.8498931895607815
laminin_G,.,0.9293741156948879,0.5902414007839112,0.7385362868926608,0.7762237762237763,0.3986013986013986,0.6748164432599404,0.7620221636537516,0.8412271222393785
CoA_trans,.,0.8061158726748795,0.579654932415106,0.5791552046647487,0.7272727272727273,0.3986013986013986,0.0,0.4587792157982018,0.8275369834738889
Flavoprotein,.,0.9748801789722431,0.7778306897688566,0.8892593253862188,0.7482517482517482,0.4825174825174825,0.7685899777995719,0.9211097662886145,0.8102455521275402
Desulfoferrodox,.,0.7489277221781871,0.5246712333785098,0.757689750273916,0.8014184397163121,0.5106382978723404,0.0,0.5340821550296247,0.8039463327243881
blmb,.,0.9269295444948998,0.6949338803619204,0.7986306175225238,0.7342657342657343,0.36363636363636365,0.7685899777995719,0.8154531177375384,0.8016115360766247
RNase_U2,.,0.9893179646352035,0.6088501410308071,0.7819214730130536,0.7943262411347518,0.48936170212765956,0.8909688689024746,0.8952927937341741,0.8008229061626921
cryst,.,0.9005726222841185,0.4593574856221818,0.7569106441037261,0.8321678321678322,0.4405594405594406,0.823563449977792,0.7934314386574497,0.7881652837363947
Band_41_M,.,0.7190817301637863,0.6002783984761332,0.7643781699782619,0.7446808510638298,0.40425531914893614,0.0,0.5010827310964626,0.7875441706351319
Fimbrial,Fold,0.9564718170571807,0.5889593025385532,0.7899098460012182,0.7622377622377622,0.5174825174825175,0.6748164432599404,0.8163153145419877,0.7830756196596447
PGM_PMM_III,.,0.7416977176594343,0.5595443056522198,0.7149260035684065,0.75177304964539,0.4397163120567376,0.0,0.49362323921279877,0.7822471030566558
gluts,.,0.9610127932559468,0.6701344371588692,0.7983047463133078,0.7202797202797203,0.46853146853146854,0.6748164432599404,0.8172700501734544,0.7818642975711638
lyase_1,.,0.7172520056595527,0.7817136158833656,0.7918143214216232,0.6923076923076923,0.34265734265734266,0.0,0.5288341193610517,0.7803394708674604
DUF50,.,0.7212892520352907,0.47269130737389375,0.5541702714377302,0.7801418439716312,0.3900709219858156,0.0,0.4073627855426266,0.7797524642238515
YgbB,.,0.9920218085382205,0.711674420308438,0.7899854895890244,0.7272727272727273,0.4965034965034965,0.7685899777995719,0.8748085613417728,0.7697179296344201
tRNA-synt_1_edit,.,0.9674575718740972,0.5692149895600565,0.7291914557719547,0.7692307692307693,0.4405594405594406,0.8928948744665544,0.839773238490821,0.7681832721294028
cyclo,.,0.9537976043202241,0.6344188431810686,0.6890595704930883,0.7412587412587412,0.3776223776223776,0.8626010181582616,0.8070362177975946,0.7668576763569355
AP_endonucleas1,.,0.8957649655908084,0.6540166306458114,0.8202931069410369,0.7622377622377622,0.45454545454545453,0.6748164432599404,0.8079057609691432,0.7632366594480545
