,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
AP_endonucleas1,.,0.9397259317447848,0.8075715421303629,0.7957308543117663,0.7418181818181818,0.4,0.0,0.648127123433751,1.0
OTCace,.,0.9582927467923539,0.898628775834655,0.8666304290082745,0.7436823104693141,0.38267148014440433,0.7875861055054657,0.9243115511343195,0.7959387123076109
Hydrolase,.,0.7374775246574147,0.7319554848966625,0.7085083267333574,0.7236363636363636,0.34545454545454546,0.0,0.5211990030476766,0.76701711193579
aminotran_4,.,0.9913520118704721,0.8467011128775848,0.8773413132569067,0.7075812274368231,0.4151624548736462,0.8380763242315812,0.9355377418376671,0.7625243787404841
gluts,.,0.7541380815222134,0.6948330683624835,0.5582214057271704,0.7527272727272727,0.36363636363636365,0.0,0.48540166925254735,0.7618753112990473
SRP54,.,0.9845229990398883,1.0,0.9712722056928655,0.6895306859205776,0.4151624548736462,0.8380763242315812,1.0,0.7594244343576797
sugbp,.,0.9493270489656978,0.996840222575509,0.8727824514827984,0.7381818181818182,0.4036363636363636,0.8371704389910385,0.9708271030822905,0.7490487540165557
KAS,.,0.9853434581478571,0.7920906200317934,0.782927653268455,0.7292418772563177,0.4007220216606498,0.9017210225029558,0.9111363907214168,0.7419065367192359
peroxidase,.,0.9040796019900498,0.8495627980922076,0.8189050162479198,0.7436823104693141,0.33212996389891697,0.8739154415552781,0.8909087081546856,0.7294344639116319
COX1,.,0.9084786593349045,0.983942766295703,0.9379857926620304,0.6750902527075813,0.3285198555956679,0.7875861055054657,0.9197052902202725,0.7270500279819673
ptpase,.,0.9585266649210089,0.862857710651827,0.8982303152606838,0.7111913357400722,0.4043321299638989,0.9017210225029558,0.9531194489278328,0.7208236156527098
arginase,.,0.9625835733612638,0.9729531001589783,0.7790902345471155,0.6895306859205776,0.34657039711191334,0.8739154415552781,0.9205866264110703,0.7192990190722657
icd,.,0.9616129876931133,0.8469395866454691,0.767436175830998,0.7292418772563177,0.4007220216606498,0.8739154415552781,0.9076056651666097,0.7185692444160232
serpin,.,1.0,0.7039546899841032,0.8126638984382623,0.6859205776173285,0.40794223826714804,0.9244432290471458,0.8945759650903448,0.7130700607772853
Fe-ADH,.,0.9255616653574233,0.97303259141494,0.8340076130331961,0.6895306859205776,0.36101083032490977,0.7875861055054657,0.9049562649561127,0.7098803566125805
S_T_dehydratase,.,0.9750999389019813,0.8456875993640651,0.7375968078453894,0.7075812274368231,0.36101083032490977,0.9436565546293613,0.9049282787526306,0.7097240700010456
phosfruc,.,0.9715318146111548,0.8844992050874383,0.7830644559264544,0.7075812274368231,0.4043321299638989,0.8739154415552781,0.920668046183478,0.7094413945724916
mofe,Superfamily,0.9194902679584533,0.8369038155802848,0.8294754868039254,0.7184115523465704,0.3574007220216607,0.8739154415552781,0.894770976026977,0.7073273201053687
citrate_synt,.,0.960003491315353,0.8554252782193958,0.9138334569996955,0.6895306859205776,0.4151624548736462,0.8739154415552781,0.9447153387050717,0.7068856859292528
pgk,.,0.9501370341276074,0.7764308426073132,0.8392521547286672,0.703971119133574,0.38267148014440433,0.9017210225029558,0.9001594085564172,0.705001816287745
actin,.,0.9652649035524133,0.8236089030206695,0.8024107128286518,0.6750902527075813,0.36462093862815886,0.8739154415552781,0.8858746617177984,0.7045743517262356
galpha,.,0.9898577288993627,0.8097774244833055,1.0,0.6534296028880866,0.4404332129963899,0.9017210225029558,0.9700387271111818,0.7027023357556537
TyrKc,.,0.9541974338832154,0.8358704292527812,0.8442436115068396,0.6836363636363636,0.4218181818181818,0.7866807682946869,0.8921181262009279,0.6996205118181403
GP120,.,0.9904128480404991,0.63914944356121,0.6989391544137433,0.7617328519855595,0.5018050541516246,0.8739154415552781,0.8745807003927263,0.6977390203191394
Transpeptidase,.,0.9747961944662652,0.7724761526232086,0.5988829924088414,0.7617328519855595,0.4223826714801444,0.9017210225029558,0.8647344060753352,0.6970504497678667
Amidase,.,0.9390137034127607,0.8284976152623202,0.6063676081860766,0.7364620938628159,0.3285198555956679,0.9244432290471458,0.8448209141541857,0.6908890902113618
tubulin,.,0.93838526664921,0.7341216216216206,0.5884188911276532,0.7292418772563177,0.35379061371841153,0.8380763242315812,0.7922684960552959,0.6903117039312375
AMP-binding,.,0.8852963253905909,0.8370230524642284,0.7552796624793711,0.7328519855595668,0.3140794223826715,0.9017210225029558,0.8630701842685067,0.6838436531618739
Arginosuc_synth,.,0.9469739024177359,0.8040540540540551,0.8321794920315924,0.7075812274368231,0.41155234657039713,0.9017210225029558,0.9146198111212387,0.6821235383402916
formyl_transf,.,0.623035698699485,0.5383346581876052,0.4182505292422626,0.8036363636363636,0.29454545454545455,0.0,0.35617186356541247,0.6761045601590255
ghf6,.,0.9020197259317447,0.8209062003179631,0.754135658932224,0.740072202166065,0.37545126353790614,0.8739154415552781,0.8747389056411771,0.675880015172295
DAO,.,0.896786244217509,0.7621621621621595,0.8446661720012181,0.7075812274368231,0.4007220216606498,0.7875861055054657,0.8553157208541172,0.6738250536173112
cah,.,0.8753111634808414,0.6648648648648697,0.6569271275851449,0.7527272727272727,0.36,0.7866807682946869,0.7674741369170642,0.6738139437444174
