Rank              Template      Weighted Combined Scores
********************************************************
1                     fkbp      1.0000
2                      msb      0.9884
3           Colicin_Pyocin      0.9723
4                     mdm2      0.9544
5                     cytc      0.9538
6                      sh2      0.9492
7                     SUI1      0.9464
8             Ribosomal_S8      0.9421
9                      IF3      0.9417
10                    BRCT      0.9413
11                    intb      0.9388
12                     hpr      0.9360
13         transketolase_C      0.9333
14                Orbi_VP7      0.9322
15                   HSP20      0.9287
16                 hexapep      0.9286
17                  EFTU_C      0.9258
18           Peptidase_S24      0.9238
19                   DUF50      0.9238
20               Amidase_2      0.9206
21               Rhodanese      0.9202
22               Band_41_M      0.9155
23                      C2      0.9146
24                    cytb      0.9111
25                  DUF101      0.9108
26                    MATH      0.9088
27           ATP-synt_DE_N      0.9085
28                     MIF      0.9080
29                   pilin      0.9051
30              tcl1_mtcp1      0.9042
31          Ribosomal_L6_D      0.9035
32            Flavoprotein      0.9013
33                  CBM_20      0.9003
34                      PH      0.8991
35                 SAM_PNT      0.8962
36                    SCP2      0.8961
37         Ribosomal_S30AE      0.8952
38                   ghf22      0.8951
39                   Bcl-2      0.8917
40                     CUB      0.8916
41         Pep_deformylase      0.8911
42                    STAS      0.8904
43                     BIR      0.8881
44                     ISP      0.8874
45             adeno_fiber      0.8847
46                Elicitin      0.8822
47            Ald_Xan_dh_1      0.8805
48                   LMWPc      0.8797
49                 DNA_PPF      0.8790
50           DAP_epimerase      0.8783
51         Phage_integrase      0.8780
52         S-AdoMet_syntD2      0.8778
53          TPK_B1_binding      0.8767
54                      CH      0.8764
55           MoCF_biosynth      0.8754
56                    PGAM      0.8744
57           Frataxin_Cyay      0.8742
58                    parv      0.8736
59                RNase_U2      0.8731
60               laminin_G      0.8730
61                     GEL      0.8729
62                 MutS_D2      0.8727
63               RNA_pol_H      0.8708
64           Ribosomal_L14      0.8700
65                 TNFR_c6      0.8699
66          Dehydratase_MU      0.8670
67                   DHHA2      0.8664
68           biotin_lipoyl      0.8647
69                     avi      0.8632
70         7kD_DNA_binding      0.8617
71           Peptidase_S21      0.8593
72                 phoslip      0.8592
73                   gluts      0.8579
74                capsid_n      0.8575
75             PGM_PMM_III      0.8575
76            Mur_ligase_C      0.8566
77                     RGS      0.8546
78        SpoU_methylase_N      0.8544
79                     uce      0.8537
80           dCMP_cyt_deam      0.8533
81                     HIT      0.8532
82                B_lectin      0.8515
83           DMRL_synthase      0.8512
84                     PAN      0.8508
85           formyl_transf      0.8502
86                   CBD_6      0.8493
87         ribonuclease_T2      0.8477
88                     BAG      0.8464
89              Propep_M14      0.8455
90                    MMOB      0.8455
91        tRNA-synt_1_edit      0.8455
92                   cryst      0.8437
93               RNA_pol_K      0.8433
94               hemopexin      0.8431
95                 gag_p17      0.8429
96                    dhfr      0.8424
97                   cyclo      0.8412
98                   ricin      0.8407
99                     GAF      0.8389
100                    SCP      0.8371
101                    hip      0.8346
102        tryp_alpha_amyl      0.8332
103          Ribosomal_L12      0.8324
104          Flavin_Reduct      0.8300
105                Astacin      0.8294
106                   dsrm      0.8289
107             PTS_EIIA_2      0.8279
108       Amino_oxidase_D2      0.8266
109                    cah      0.8250
110                hormone      0.8249
111          RuBisCO_small      0.8245
112        DNA_polymeraseX      0.8242
113               rnasemam      0.8238
114         Recep_L_domain      0.8237
115                    pot      0.8219
116                  SRP19      0.8213
117         LysR_substrate      0.8204
118             gln-synt_N      0.8194
119                    TIR      0.8181
120             Hpr_kinase      0.8174
121           fibrinogen_C      0.8166
122                   RuvA      0.8163
123                Jacalin      0.8159
124        Isochorismatase      0.8152
125               Syntaxin      0.8145
126           Ribosomal_S7      0.8139
127                   ACPS      0.8127
128                   mutT      0.8124
129        Bac_DNA_binding      0.8122
130                Dwarfin      0.8118
131                    il8      0.8098
132              lipocalin      0.8070
133                dutpase      0.8066
134                HMG_box      0.8057
135                   UreE      0.8044
136                   NusB      0.8043
137                  protg      0.8041
138          Ribosomal_L22      0.8035
139            NHase_alpha      0.8014
140            Zn_dep_PLPC      0.8014
