Rank              Template      Weighted Combined Scores
********************************************************
1            Peptidase_S21      1.0000
2         tRNA-synt_1_edit      0.9886
3                  phoslip      0.9808
4                      ung      0.9767
5           PA_phosphatase      0.9369
6                    CBD_6      0.9356
7                     IF4E      0.9334
8                 capsid_n      0.9241
9                       bv      0.9199
10                     cah      0.9139
11         Cytidylyl_trans      0.9117
12                    cytc      0.9076
13                     msb      0.8967
14                     dNK      0.8958
15       Dala_Dala_ligas_C      0.8847
16             PGM_PMM_III      0.8832
17          Me-amine-deh_L      0.8816
18         AP_endonucleas1      0.8773
19                     RGS      0.8771
20               OMPdecase      0.8771
21                     tms      0.8728
22          UPP_synthetase      0.8582
23                   Bcl-2      0.8523
24            tRNA-synt_2d      0.8393
25                 hormone      0.8360
26           DAP_epimerase      0.8355
27                   LMWPc      0.8256
28                  OTCace      0.8229
29                   cyclo      0.8137
30               Hydrolase      0.8094
31                   ghf22      0.8088
32                   EF_TS      0.8041
33                      C2      0.8012
34                     TNF      0.7923
35            fibrinogen_C      0.7921
36          Endonuclease_3      0.7899
37                      CH      0.7863
38            Ribosomal_L4      0.7851
39            Ribosomal_S8      0.7816
40                     KAS      0.7801
41                Syntaxin      0.7730
42                 hexapep      0.7717
43               Levi_coat      0.7696
44               lipocalin      0.7687
45          Transpeptidase      0.7669
46                    blmb      0.7631
47                    intb      0.7601
48            Ald_Xan_dh_1      0.7587
49                    mdm2      0.7545
50              proteasome      0.7473
51                    YgbB      0.7454
52                    PGAM      0.7439
53           formyl_transf      0.7438
54                UCR_14kD      0.7428
55               Amidase_2      0.7397
56         ribonuclease_T2      0.7388
57                     GAF      0.7375
58             oxidored_q6      0.7370
59         Glyco_transf_28      0.7368
60                   SRP54      0.7326
61                 Dwarfin      0.7291
62                    mutT      0.7282
63            citrate_synt      0.7271
64                    RuvA      0.7218
65             Aldolase_II      0.7208
66          Colicin_Pyocin      0.7183
67                   cryst      0.7163
68                     NMT      0.7161
69           Ribosomal_L14      0.7158
70         S-AdoMet_syntD2      0.7154
71                 Jacalin      0.7147
72                   gluts      0.7132
73                   DHHA2      0.7108
74                     GFP      0.7086
75           DMRL_synthase      0.7085
76                    MATH      0.7024
77           dCMP_cyt_deam      0.6992
78                phosfruc      0.6983
79                RNase_U2      0.6975
80                     cks      0.6961
81                     uce      0.6955
82          Haloperoxidase      0.6948
83               laminin_G      0.6933
84                     PBP      0.6922
85                      PX      0.6906
86            Flavoprotein      0.6906
87                 tubulin      0.6901
88                 MutS_D2      0.6891
89                    aspg      0.6868
90                      Fz      0.6850
91          Dehydratase_MU      0.6837
92                     int      0.6836
93                      PH      0.6833
94                    fkbp      0.6824
95                Orbi_VP7      0.6821
96                     phc      0.6802
