Rank              Template      Weighted Combined Scores
********************************************************
1                      cah      1.0000
2                      KAS      0.9256
3                laminin_G      0.8797
4     thymid_phosphorylase      0.8462
5                      ung      0.8313
6        Dala_Dala_ligas_C      0.8132
7                     E2_N      0.7829
8                    ricin      0.7638
9           Ala_racemase_N      0.7587
10                     ech      0.7408
11                  serpin      0.7386
12          Spermine_synth      0.7372
13             hormone_rec      0.7333
14                     tms      0.7253
15            Ald_Xan_dh_2      0.7165
16                   SRP54      0.7161
17             Aldolase_II      0.7151
18          UPP_synthetase      0.7119
19                 Amidase      0.7064
20          LysR_substrate      0.7027
21           Peptidase_S21      0.7027
22        tRNA-synt_1_edit      0.7002
23          Fapy_DNA_glyco      0.6993
24              ATP-synt_g      0.6974
25                    CASc      0.6963
26            fibrinogen_C      0.6911
27            tRNA-synt_2b      0.6783
28          Endonuclease_3      0.6737
29                    cat3      0.6737
30                    COX1      0.6727
31               aconitase      0.6695
32                 Plectin      0.6691
33                 Astacin      0.6691
34           RNA_pol_A_bac      0.6658
35                     CPS      0.6640
36             aminotran_4      0.6627
37         Extradiol_dioxy      0.6601
38                  glnasn      0.6590
39                   actin      0.6589
40                   sugbp      0.6552
41              peroxidase      0.6548
42           Peptidase_C15      0.6518
43                phosfruc      0.6516
44                   TyrKc      0.6509
45           formyl_transf      0.6494
46         AP_endonucleas1      0.6474
47                    blmb      0.6457
48            DNA_ligase_N      0.6448
49               Hydrolase      0.6439
50                    6PGD      0.6439
51               THAUMATIN      0.6433
52              Mur_ligase      0.6430
53                arginase      0.6417
54                    MATH      0.6415
55                     MIP      0.6396
56           Peptidase_S11      0.6380
57                   gluts      0.6371
58                     pgk      0.6368
59                capsid_n      0.6365
60                     MIF      0.6361
61                      Fz      0.6332
62           Peptidase_M24      0.6330
63                  Cu_nir      0.6326
64          Heme_oxygenase      0.6320
65                     dNK      0.6313
66                  ptpase      0.6310
67                    COX3      0.6309
68                    IF4E      0.6270
69           RuBisCO_small      0.6270
70         Cytidylyl_trans      0.6260
71                   cyclo      0.6251
72             adeno_fiber      0.6245
73                     SIS      0.6235
74            cytochrome_b      0.6233
75                     GEL      0.6217
76         S_T_dehydratase      0.6215
77         ribonuclease_T2      0.6208
78          Transpeptidase      0.6198
79              tyrosinase      0.6197
80               MCR_alpha      0.6192
81                   GP120      0.6189
82         S-AdoMet_syntD2      0.6174
83          Haloperoxidase      0.6164
84                  RhoGEF      0.6155
85                    dhfr      0.6148
86                   DUF28      0.6143
87                     CUB      0.6138
88                    ENTH      0.6116
89           Bac_rhodopsin      0.6106
90                   START      0.6085
91             biopterin_H      0.6083
92             Fe_hyd_lg_C      0.6071
93                    PGAM      0.6048
94                  OTCace      0.5993
95          Nitroreductase      0.5986
96          Sua5_yciO_yrdC      0.5979
97            citrate_synt      0.5948
98                    DSBA      0.5941
99                      bv      0.5936
100        Arginosuc_synth      0.5918
101          Peptidase_M17      0.5897
102          Peptidase_M16      0.5893
103                   eIF6      0.5855
104                   STAS      0.5854
105                 urease      0.5850
106                    GFP      0.5847
107              OMPdecase      0.5838
108                 fbpase      0.5831
109                tubulin      0.5820
110                 Pro_CA      0.5804
111            NO_synthase      0.5798
112          Trypan_glycop      0.5792
113                    DAO      0.5777
114        Glyco_transf_28      0.5775
115           Ribosomal_L1      0.5769
116                  ghf15      0.5763
117                 galpha      0.5752
118        chorismate_bind      0.5733
119             gln-synt_N      0.5722
120                lyase_1      0.5678
