X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Syntaxin,.,1,1,1,0.931372549019608,0.533333333333333,0.758654412959299,1,1
BAG,Fold,0.872865689122622,0.906984768571005,0.925616041002866,0.861386138613861,0.828571428571429,0.698555495458714,0.965499809317468,0.852854162795582
phc,.,0.886943241970857,0.904273672795387,0.716802269510486,0.801980198019802,0.652173913043478,1,0.930352835184809,0.808740806025485
COX3,.,0.677909954184799,0.872282742643071,0.83405083746841,0.833333333333333,0.690140845070423,0.897711717502623,0.888556092582184,0.678643749510416
SNAP-25,.,0.950699858765171,0.594912998471927,0.736277065882491,0.878787878787879,1,0.627473563075303,0.883948787256172,0.837563145030459
fusion_gly,.,0.935405160238377,0.617883373588997,0.709287886580419,0.890625,1,0.627473563075303,0.881955162862215,0.824659061835197
NusB,.,0.993782222783589,0.759205402474491,0.751533203717217,0.893617021276596,0.53448275862069,0.810714463281959,0.871998239436619,0.913409029879561
zf-TAZ,.,0.932304883509973,0.654606398186029,0.668942987219388,0.850574712643678,0.896551724137931,0.698555495458714,0.860852306224577,0.815245676563838
tetR,.,0.949161202907371,0.556859072312318,0.664212876651446,0.850746268656716,0.936170212765957,0.698555495458714,0.848631161015736,0.814659690608319
SRP54M,.,0.999351238388315,0.643860600384481,0.615543851525201,0.884210526315789,0.771428571428571,0.698555495458714,0.837230311225386,0.867554494864482
Band_41_M,.,0.917010184983178,0.70986345935821,0.67794338271441,0.835164835164835,0.703703703703704,0.758654412959299,0.834401006418835,0.818575038574627
PAH,.,0.905315252213253,0.578991472371468,0.730402405447987,0.823529411764706,0.920634920634921,0.627473563075303,0.830136384290711,0.797779770578778
utg,.,0.925047939464226,0.57849854586681,0.587912535271943,0.842857142857143,0.92,0.698555495458714,0.821209966152339,0.783316268964016
Dehydratase_SU,.,0.851852702407882,0.843347956819637,0.625664287842846,0.745098039215686,0.628571428571429,0.856634682062789,0.820755967231509,0.758838818564302
ATP-synt_g,.,0.797270608228364,0.777640853748705,0.952177233935834,0.757575757575758,0.548387096774194,0.698555495458714,0.815539622604464,0.791903843404829
Bacteriofer,.,0.927396112023332,0.732587371222951,0.729182484649975,0.880952380952381,0.553846153846154,0.698555495458714,0.813116503920442,0.858967935217032
Rop,.,0.873939303471162,0.609257159757479,0.470805265325129,0.898305084745763,0.951219512195122,0.698555495458714,0.807666534756083,0.73048422352786
RhoGEF,.,0.856422739955677,0.767634445704144,0.803715071886038,0.871287128712871,0.486486486486487,0.698555495458714,0.802871933354693,0.826879668650094
capsid_n,.,0.770464697034069,0.791639966480995,0.645554478781565,0.74468085106383,0.732142857142857,0.758654412959299,0.791948595842762,0.694363573589611
Bcl-2,.,0.903483792442214,0.787302213240005,0.676788129815816,0.772277227722772,0.432835820895522,0.856634682062789,0.788264632813618,0.819691332036257
urease_gamma,.,0.826183559347334,0.563710750727066,0.651201137651358,0.823529411764706,0.847457627118644,0.698555495458714,0.783282456992364,0.721907333839957
Elicitin,.,0.890944895451779,0.73658007591068,0.616215804065619,0.782608695652174,0.827586206896552,0.540476308854639,0.778955692778836,0.784688437819224
Ribosomal_S7,.,0.808339744399407,0.848770148370878,0.644515834967251,0.803921568627451,0.587301587301587,0.698555495458714,0.778153695169337,0.750137000027225
Colicin_Pyocin,.,0.868697539298878,0.677182432099374,0.66004175216819,0.735632183908046,0.909090909090909,0.540476308854639,0.778078163778049,0.758303172961746
Egg_lysin,.,0.797253384468762,0.898407847389954,0.563410529251668,0.843137254901961,0.654545454545455,0.627473563075303,0.77624007727366,0.7355165455056
annexin,.,0.734444074452572,0.685266426775767,0.682617819527498,0.895833333333333,0.559322033898305,0.810714463281959,0.771965607797501,0.695198549706811
EF_TS,.,0.865735052647292,0.627692611031694,0.680990149185651,0.602150537634409,0.578125,1,0.768364467292226,0.733680152952913
UCR_14kD,.,0.868909965667306,0.635579435106224,0.646150340858966,0.77319587628866,0.722222222222222,0.698555495458714,0.765676567592232,0.761349549800178
SAM_PNT,.,0.917061856261985,0.517326366638734,0.573499486063337,0.844155844155844,0.844444444444444,0.627473563075303,0.760169641234149,0.777409003536195
Clp_N,.,0.869518538506585,0.623650613693497,0.594558623485749,0.814814814814815,0.551724137931034,0.856634682062789,0.756687069629248,0.759611010072963
MurB_C,.,0.82101069021346,0.766895055947158,0.63321158934202,0.603960396039604,0.616666666666667,0.856634682062789,0.753347911106855,0.709481369606617
HMG_box,.,0.902438884359678,0.411051412234435,0.539198404510707,0.821917808219178,0.981481481481482,0.627473563075303,0.749396724015571,0.736421435751235
CARD,.,0.952508353523407,0.557647754719771,0.441185546076901,0.783505154639175,0.732142857142857,0.810714463281959,0.7478348047418,0.770714893019814
Bac_rhodopsin,.,0.712770843619745,0.79666781682851,0.775701639400955,0.857142857142857,0.432432432432432,0.698555495458714,0.746652705399118,0.717312957563011
transcript_fac2,.,0.886644696804418,0.743037413121703,0.518838449401382,0.872549019607843,0.492753623188406,0.758654412959299,0.746441121660442,0.786984919419515
Ribosomal_L4,.,0.806692004730793,0.780056193621531,0.600819245148879,0.752475247524752,0.573529411764706,0.758654412959299,0.746374164435776,0.723512958032629
Ald_Xan_dh_1,.,0.832791741781396,0.670478631636021,0.633734553877725,0.646464646464647,0.5,0.968793649886034,0.741050826384578,0.717104825322267
parv,.,0.958272571736959,0.682851086902941,0.65988323037024,0.673913043478261,0.648148148148148,0.627473563075303,0.740591756211037,0.830397300172867
Ribosomal_S15,.,0.930668626347759,0.612609059989155,0.586918210104971,0.725274725274725,0.761194029850746,0.627473563075303,0.738884241366072,0.787942533734751
RRF,.,0.861187980112299,0.761867205599644,0.771688047359747,0.689655172413793,0.522388059701492,0.627473563075303,0.73625016051602,0.798097885208413
hormone,.,0.845698078976679,0.838960910928181,0.507926775701032,0.705882352941177,0.46969696969697,0.856634682062789,0.733727522922695,0.735238257675094
RGS,.,0.921430949947755,0.775077635924483,0.655482485376252,0.77,0.464285714285714,0.627473563075303,0.730781124770614,0.837466930136878
ANATO,.,0.942627656764919,0.451619263567802,0.354061448760167,0.824324324324324,0.9375,0.698555495458714,0.729431267873743,0.73340954628382
PBD,.,0.849010782073511,0.434465421205698,0.612094507143251,0.769230769230769,1,0.540476308854639,0.728521863054417,0.708561939352257
hormone_rec,.,0.773829071409707,0.806230591018881,0.793678371054288,0.828282828282828,0.373333333333333,0.627473563075303,0.727868546976437,0.771457039604873
UcrQ,.,0.824265980778284,0.405087001528071,0.629151722427028,0.753086419753086,0.9625,0.627473563075303,0.727531741212229,0.685911509254467
B,.,0.857990102079482,0.37600433775324,0.451859257197435,0.803921568627451,0.942857142857143,0.758654412959299,0.724791083241365,0.674964807784074
DHHA2,.,0.906888355590258,0.754424015379305,0.699748202177307,0.666666666666667,0.517241379310345,0.627473563075303,0.719766041039422,0.814463609037009
Heme_oxygenase,.,0.788630022161237,0.779316803864543,0.795590885954494,0.764705882352941,0.486486486486487,0.540476308854639,0.715170007994799,0.76793074411544
IF3,.,0.799819724649497,0.664514220929659,0.619692895383551,0.8,0.568627450980392,0.698555495458714,0.71410428873157,0.721133289193239
TyrKc,.,0.700059709033288,0.795731256469659,0.755365608716172,0.62,0.507936507936508,0.758654412959299,0.710514483382165,0.660335422638214
BIR,.,0.913536726796725,0.57697047370237,0.467577986372477,0.741573033707865,0.807692307692308,0.627473563075303,0.709734939285161,0.746914627259176
GroEL,.,0.734346473148159,0.603342041701581,0.76359677999731,0.788888888888889,0.479452054794521,0.758654412959299,0.707990089678376,0.695553102030067
MIP,.,0.768351915856193,0.617193276482476,0.615855003956412,0.811881188118812,0.5,0.810714463281959,0.706847519657407,0.692356377451216
RNA_pol_K,.,0.819334244278841,0.486025533592941,0.540255643718909,0.9,0.75,0.627473563075303,0.706605698897139,0.708513786874256
gluts,.,0.822801961212093,0.735742100852763,0.704996555355059,0.712871287128713,0.445945945945946,0.698555495458714,0.706025551079605,0.758041844417736
Pro_CA,.,0.762513061351032,0.633410558485729,0.628921292443284,0.656862745098039,0.679012345679012,0.758654412959299,0.705615185682533,0.659980275635042
PX,.,0.85866756995717,0.552964952925519,0.540707419600386,0.741935483870968,0.523809523809524,0.897711717502623,0.704661156465763,0.7226264697961
Skp1,.,0.905418594770867,0.695322127470793,0.559041578558715,0.758241758241758,0.565217391304348,0.627473563075303,0.703306101234332,0.789653934510772
Phage_integrase,.,0.914535704853655,0.513382954601468,0.647906087819412,0.66,0.431818181818182,0.934870415988059,0.701119074518736,0.774435969074985
DSBA,.,0.876545832424302,0.746882239858036,0.672397008556512,0.647058823529412,0.444444444444444,0.698555495458714,0.696684712993137,0.783619080876683
Zn_dep_PLPC,.,0.76932218764712,0.682851086902942,0.723556107576175,0.802469135802469,0.459016393442623,0.627473563075303,0.691032833628303,0.732207023019825
gag_p17,.,0.838326309866918,0.712426677182432,0.607406264318257,0.677777777777778,0.508196721311475,0.698555495458714,0.685166600257298,0.738591480089998
dNK,.,0.800945010276843,0.749691920934587,0.484995709455762,0.77,0.403225806451613,0.810714463281959,0.679002483246519,0.704391611002211
CH,.,0.929761508342041,0.663725538522207,0.540767410544632,0.622448979591837,0.563636363636364,0.698555495458714,0.678821793108096,0.777575383246401
SCP2,.,0.835335116949328,0.633114802582934,0.552465936982211,0.656862745098039,0.634920634920635,0.698555495458714,0.67678438838472,0.70583764806348
GGL,.,0.877975404471288,0.352886084684773,0.565409702734753,0.701492537313433,0.96969696969697,0.540476308854639,0.675899696241922,0.70507775624756
SRF-TF,.,0.86134873520192,0.580075910681717,0.579523674151227,0.726190476190476,0.826086956521739,0.428317341031395,0.674194718656345,0.737218639287622
lh2,.,0.825190322543605,0.373638290530881,0.607116922687615,0.803571428571429,0.963636363636364,0.428317341031395,0.674175406131626,0.697014142064613
ricin,.,0.775396433533512,0.769162517868586,0.603848720377195,0.666666666666667,0.417910447761194,0.758654412959299,0.671553782543793,0.697299194041046
HMG-CoA_red,.,0.582243452100725,0.872824961798196,0.589331653886699,0.735294117647059,0.507462686567164,0.698555495458714,0.669973355398355,0.566139777977018
RuvA,.,0.869449643468176,0.622418297431852,0.624875456393813,0.613861386138614,0.472972972972973,0.758654412959299,0.663712212130473,0.746406949253151
PGM_PMM_III,.,0.840318524727578,0.64706462266476,0.552814145289028,0.705263157894737,0.589285714285714,0.627473563075303,0.663708894545145,0.725043365961616
ghf15,.,0.486559726257047,0.884063686104403,0.784632690041384,0.754901960784314,0.352941176470588,0.698555495458714,0.663558235637524,0.547338558307401
STAS,.,0.885823697596711,0.683442598708532,0.619539972440592,0.645161290322581,0.5,0.627473563075303,0.663501274387845,0.773506553765596
cytc,.,0.914868697539299,0.583427810913392,0.324250053048589,0.74,0.759259259259259,0.627473563075303,0.660258269979287,0.723010305414271
Endonuclease_3,.,0.755502991192918,0.694977078917532,0.55629442952828,0.827956989247312,0.480769230769231,0.627473563075303,0.65857697490755,0.691891870884963
Fe-ADH,.,0.652309706162661,0.788879578054911,0.423171196413927,0.666666666666667,0.508474576271186,0.897711717502623,0.657040810058176,0.556793838595007
Arch_histone,.,0.921281677364535,0.523438655296495,0.548196281645251,0.830985915492958,0.839285714285714,0.27023815442732,0.656030971217247,0.793513069346264
Amidase,.,0.528993328663781,0.723911864740966,0.685252744119128,0.686274509803922,0.36986301369863,0.934870415988059,0.654894876224056,0.519839381718198
ptpase,.,0.681934572678524,0.74328387637403,0.698424219126683,0.647058823529412,0.459016393442623,0.698555495458714,0.654656886415269,0.640566611151958
LMWPc,.,0.834267243853989,0.568294967220387,0.592260979315289,0.595505617977528,0.363636363636364,0.968793649886034,0.653186394468413,0.70151086436214
