,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
BAG,.,0.9715534338822011,0.9694966646452392,1.0,0.5913978494623656,0.6236559139784946,0.0,0.8262895032487119,1.0
LMWPc,.,0.889177159725105,0.7474833232261956,0.7059962290985301,0.6236559139784946,0.44086021505376344,0.0,0.5828207506597219,0.9934528201978273
RGS,.,0.9413772427471059,0.6550030321406906,0.7615207661924936,0.6129032258064516,0.5376344086021505,0.0,0.6157410940496022,0.9917308616989975
mdm2,.,0.9218786033854528,0.7365676167374147,0.8632588280566569,0.5604395604395604,0.5274725274725275,0.0,0.6486330332333593,0.9617103524660751
Ribosomal_S8,.,0.9459319219593193,0.6697998787143713,0.8708190106588246,0.5698924731182796,0.5913978494623656,0.0,0.6610592097556837,0.9581236418962752
RuvA,.,0.8595890410958905,0.7077622801697984,0.7815038649136652,0.6129032258064516,0.4946236559139785,0.0,0.5988180971910432,0.9486827955848502
PDZ,.,0.9382639177159725,0.73347483323226,0.6520689425138901,0.5591397849462365,0.5268817204301075,0.0,0.5836843016294896,0.9327477898973084
BIR,.,0.869194225358609,0.6599757428744688,0.7811053422112888,0.6043956043956044,0.5604395604395604,0.0,0.6049064843129037,0.9171290482702761
S-AdoMet_syntD2,.,0.950797933674646,0.5908429351121889,0.8079545131394337,0.5053763440860215,0.5698924731182796,0.0,0.5885720051218111,0.9151084479046175
IF4E,.,0.8552073243854066,0.5232261976955719,0.7314535077541036,0.5698924731182796,0.5053763440860215,0.0,0.510645611580595,0.9008976836989027
THAUMATIN,.,0.8116207739495411,0.6201940570042446,0.5259709412643401,0.6236559139784946,0.43010752688172044,0.0,0.45420811676077455,0.8999637735798195
Sua5_yciO_yrdC,.,0.8715811078824778,0.5180109157064882,0.6613536536743816,0.4838709677419355,0.3870967741935484,0.0,0.4250685640989764,0.8994670708671206
Ribosomal_L12,.,0.6940293344402935,0.6687689508793199,0.6966937613151187,0.7582417582417582,0.4945054945054945,0.0,0.5519589618807912,0.8991273685725547
hemopexin,.,0.819092754024261,0.5270466949666462,0.7574278868608512,0.5698924731182796,0.46236559139784944,0.0,0.4946088578865701,0.8980031707222802
fibrinogen_C,.,0.7677920760112542,0.4949060036385684,0.6977367737747051,0.6129032258064516,0.41935483870967744,0.0,0.4480781548182323,0.8970235416311628
Dehydratase_SU,.,0.9099787832664544,0.7016979987871438,0.8049009080309735,0.5913978494623656,0.6559139784946236,0.0,0.6662763525309784,0.8966547756864566
Ribosomal_S30AE,.,0.9347470135141369,0.6984839296543351,0.7891866305179206,0.5053763440860215,0.5698924731182796,0.0,0.6122456515514297,0.8963904923492401
Nitroreductase,.,0.8161523914948572,0.6296543359611869,0.7770282391273283,0.6129032258064516,0.5268817204301075,0.0,0.5683371125599959,0.8958330489426396
Ribosomal_L4,.,0.8268645357686454,0.6343238326258314,0.6295158062648303,0.6559139784946236,0.5591397849462365,0.0,0.5498519468121732,0.8898607581539435
