Rank              Template      Weighted Combined Scores
********************************************************
1             Ald_Xan_dh_2      1.0000
2                     COX1      0.9937
3                   urease      0.9621
4              AMP-binding      0.8741
5           Transpeptidase      0.8726
6          chorismate_bind      0.8611
7                     AFOR      0.8584
8                   aldedh      0.8459
9            Bacterial_PQQ      0.8396
10                hemocyan      0.8320
11                     PGI      0.8277
12         Glu_syn_central      0.8227
13             Gly_radical      0.8034
14            TonB_dep_Rec      0.8026
15               PEPCK_ATP      0.8018
16                      PK      0.7997
17          DNA_photolyase      0.7949
18            lipoxygenase      0.7944
19         AP_endonucleas1      0.7829
20                arginase      0.7719
21                Sec23_NC      0.7707
22                    PAP2      0.7601
23          Haloperoxidase      0.7495
24            Topoisom_bac      0.7293
25          Spermine_synth      0.7283
26                     cat      0.7279
27                 tubulin      0.7169
28                    Sec1      0.7165
29                GATase_2      0.7116
30            NiFeSe_Hases      0.7108
31                  Cu_nir      0.7093
32         RNA_dep_RNA_pol      0.7036
33                    6PGD      0.7022
34                    mofe      0.7008
35         Beta_elim_lyase      0.6989
36                    CODH      0.6984
37            cytochr_c552      0.6852
38                   ricin      0.6841
39          Ala_racemase_N      0.6836
40                 lyase_1      0.6816
41           DNA_topoisoIV      0.6678
42                   ghf15      0.6668
43               OMPdecase      0.6659
44              ADP_PFK_GK      0.6599
45                   DUF28      0.6567
46         ATP-sulfurylase      0.6502
47            Flavoprotein      0.6417
48                ATP-synt      0.6414
49            Pept_C1-like      0.6346
50         ribonuclease_T2      0.6329
51          Sua5_yciO_yrdC      0.6315
52               psaA_psaB      0.6302
53                     pgk      0.6258
54                 hormone      0.6250
55         alk_phosphatase      0.6231
56               aconitase      0.6188
57                   actin      0.6113
58                     ung      0.6023
59                 Plectin      0.6007
60         Isochorismatase      0.6006
61                 Amidase      0.5954
62             oxidored_q6      0.5930
63         GTP_cyclohydroI      0.5908
64           Peptidase_M16      0.5900
65                     dNK      0.5894
66         transcript_fac2      0.5868
67            citrate_synt      0.5836
68            cytochrome_b      0.5805
69                  serpin      0.5804
70         DNA_polymeraseX      0.5793
71                     TNF      0.5782
72    thymid_phosphorylase      0.5770
73         Cys-protease-3C      0.5759
74                    DSBA      0.5693
75                    mutT      0.5649
76                    dhfr      0.5636
77                   CBD_6      0.5621
78                Orbi_VP7      0.5615
79                    PARP      0.5601
80                    IF4E      0.5598
81            tRNA-synt_2d      0.5584
82                   START      0.5549
83                Fimbrial      0.5541
84                  lipase      0.5516
85           formyl_transf      0.5510
86           DAP_epimerase      0.5505
87            Mur_ligase_C      0.5504
88                   Bcl-2      0.5504
89                   LMWPc      0.5493
90                capsid_n      0.5490
91               laminin_G      0.5461
92                    YgbB      0.5444
93                 hexapep      0.5437
94                  Pro_CA      0.5422
95                  galpha      0.5407
96           MoCF_biosynth      0.5402
97                    Hint      0.5397
98                    MATH      0.5365
99                     uce      0.5354
100                   NusB      0.5334
101          DMRL_synthase      0.5327
102            NO_synthase      0.5307
103        Phage_integrase      0.5207
104        Arginosuc_synth      0.5201
105            NHase_alpha      0.5197
106         Dehydratase_SU      0.5195
107                     bv      0.5193
108                 MurB_C      0.5160
109                MutS_D2      0.5139
110              lipocalin      0.5093
111                   cytc      0.5049
112             gln-synt_N      0.5049
113                    MIF      0.5042
114                  Clp_N      0.5020
115           Ribosomal_S8      0.5019
116        transketolase_C      0.5009
117            PGM_PMM_III      0.5005
118                 DUF101      0.5003
119                 EFTU_C      0.4973
120              Egg_lysin      0.4971
121          dCMP_cyt_deam      0.4916
