X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
DHHA2,.,0.766421663083702,1,0.939665893931589,0.574074074074074,0.813559322033898,0.698555495458714,1,0.798975472599587
tcl1_mtcp1,.,0.900585501297761,0.786699260373573,0.711635690413237,0.684684684684685,0.892307692307692,0.698555495458714,0.967055237998216,0.845433143287624
PH,.,0.909941449870224,0.708411683590319,0.718037723255966,0.9,0.842105263157895,0.540476308854639,0.951535942582681,0.890372132192623
transketolase_C,.,0.720287318162612,0.992227654506705,0.953577412631851,0.536585365853659,0.647887323943662,0.758654412959299,0.948808555894937,0.768050441471287
GEL,.,0.900385845819539,0.982449542434498,0.9008848310984,0.620967741935484,0.625,0.540476308854639,0.937886856992074,0.921044342632261
Ribosomal_L14,.,0.849325118052105,0.877272157452672,0.584294983357145,0.622950819672131,0.859375,0.758654412959299,0.932771604550311,0.778983052559901
Levi_coat,.,0.851196307766598,0.759433370941453,0.636805040836507,0.6,0.838709677419355,0.758654412959299,0.902828703884172,0.777146415716673
CUB,.,0.958513448885876,0.652124858969534,0.694875795976712,0.669724770642202,0.770491803278688,0.698555495458714,0.902685346245724,0.879140146321491
Rhodanese,.,0.89742815885147,0.800426225398015,0.652824274646044,0.621848739495798,0.652777777777778,0.758654412959299,0.885815160330326,0.836261922692313
intb,.,0.953378124259998,0.944528018051895,0.565949143799359,0.672131147540984,0.390625,0.810714463281959,0.872774159100235,0.899083693495767
EFTU_C,.,0.860603330996281,0.721887927792398,0.457808446748192,0.67741935483871,0.830188679245283,0.698555495458714,0.847364631583508,0.759633519925078
Cys-protease-3C,.,0.904977921818629,0.874576908612255,0.526129378897812,0.564516129032258,0.518987341772152,0.856634682062789,0.847185413004167,0.819124143705982
Hint,.,0.923963764852278,0.93431114454055,0.601487952807692,0.716666666666667,0.424657534246575,0.627473563075303,0.842358209540177,0.896892412742169
Peptidase_S24,.,0.901778791016432,0.659897204462827,0.638615043613779,0.660194174757282,0.725806451612903,0.627473563075303,0.838220711738013,0.830300836532762
ghf33,.,0.776367291789517,0.766892315406793,0.538871802399117,0.68,0.450704225352113,1,0.837960753098815,0.726103635043337
cryst,.,0.893021808878633,0.586749404538045,0.674609833647969,0.628099173553719,0.525641025641026,0.856634682062789,0.824515377368485,0.82006340548053
C2,.,0.944672216779418,0.892002005766577,0.621156055063123,0.639344262295082,0.426470588235294,0.627473563075303,0.820701756410664,0.900807433306359
lipocalin,.,0.966996485134953,0.933245581045503,0.868279571330115,0.688,0.413333333333333,0.27023815442732,0.817618483089011,1
HSP20,.,0.948317090044621,0.674313651748775,0.527421297711962,0.718181818181818,0.712328767123288,0.540476308854639,0.812290023675183,0.859311655576894
avi,.,0.907067339613968,0.786761940579162,0.539753091457971,0.647058823529412,0.666666666666667,0.540476308854639,0.802990408218948,0.833923803870544
