Rank              Template      Weighted Combined Scores
********************************************************
1                      tms      1.0000
2          S_T_dehydratase      0.9844
3            Peptidase_S11      0.9533
4                      ung      0.9315
5           Ala_racemase_N      0.9286
6              hormone_rec      0.9215
7                   serpin      0.9212
8                   OTCace      0.9209
9            Peptidase_M24      0.9131
10                   TyrKc      0.9117
11          Fapy_DNA_glyco      0.9105
12            tRNA-synt_2b      0.9085
13          Endonuclease_3      0.9040
14                  galpha      0.9005
15         Glyco_transf_28      0.9000
16         AP_endonucleas1      0.8941
17             biopterin_H      0.8934
18                    CASc      0.8918
19                   SRP54      0.8915
20            DNA_ligase_N      0.8831
21           Bac_rhodopsin      0.8800
22                 Amidase      0.8783
23                  ptpase      0.8765
24                   ricin      0.8754
25                   gluts      0.8748
26             aminotran_4      0.8730
27           Peptidase_M17      0.8702
28             NO_synthase      0.8644
29             Zn_dep_PLPC      0.8624
30                     MIP      0.8616
31            fibrinogen_C      0.8523
32           DNA_topoisoIV      0.8517
33          Heme_oxygenase      0.8496
34              Mur_ligase      0.8477
35               Hydrolase      0.8429
36                   ghf15      0.8408
37                     cah      0.8372
38          UPP_synthetase      0.8350
39                 tubulin      0.8347
40                   sugbp      0.8327
41                     CPS      0.8324
42                     KAS      0.8318
43                 lyase_1      0.8312
44            cytochrome_b      0.8294
45                  Fe-ADH      0.8286
46                   actin      0.8280
47             voltage_CLC      0.8276
48               aconitase      0.8273
49          Spermine_synth      0.8249
50                aakinase      0.8245
51         Arginosuc_synth      0.8243
52            citrate_synt      0.8216
53          Transpeptidase      0.8208
54            NTP_transf_2      0.8201
55                     icd      0.8192
56            Topoisom_bac      0.8156
57                  RhoGEF      0.8139
58                     GFP      0.8118
59               OMPdecase      0.8109
60                     PGI      0.8089
61            Ribosomal_L1      0.8087
62                    cat3      0.8083
63              peroxidase      0.8048
64       Dala_Dala_ligas_C      0.8038
65              ATP-synt_g      0.7983
66                     ech      0.7949
67           Peptidase_S21      0.7902
68         Cytidylyl_trans      0.7868
69                   DUF28      0.7842
70                  lipase      0.7834
71                     pgk      0.7831
72                    COX3      0.7827
73                    ghf6      0.7827
74         alk_phosphatase      0.7779
75          Haloperoxidase      0.7774
76                arginase      0.7761
77                     DAO      0.7748
78                 Plectin      0.7733
79             AMP-binding      0.7720
80              ADP_PFK_GK      0.7687
81          DNA_photolyase      0.7663
82                     dNK      0.7653
83                phosfruc      0.7648
84                    mofe      0.7646
85                   GroEL      0.7631
86          ATP-gua_Ptrans      0.7614
87         Extradiol_dioxy      0.7603
88                    6PGD      0.7593
89                  fbpase      0.7578
90          PA_phosphatase      0.7564
91                 annexin      0.7537
92                    COX1      0.7536
93           Trypan_glycop      0.7531
94                  rasgap      0.7515
95          LysR_substrate      0.7514
96            cytochr_c552      0.7514
97        tRNA-synt_1_edit      0.7512
98                  aldedh      0.7465
99    thymid_phosphorylase      0.7453
100                  GP120      0.7449
101        Isochorismatase      0.7431
102                   WD40      0.7423
103              MCR_alpha      0.7419
104        Topoisomerase_I      0.7408
105        transcript_fac2      0.7374
106                   eIF6      0.7373
107             leukocidin      0.7372
108                     PK      0.7348
109               ATP-synt      0.7326
110                   subt      0.7300
111                 glnasn      0.7281
112          Peptidase_M16      0.7252
113                    cat      0.7225
114          RNA_pol_A_bac      0.7199
115            HMG-CoA_red      0.7192
116                   ENTH      0.7184
117               hemocyan      0.7167
118          Peptidase_C15      0.7163
119        Beta_elim_lyase      0.7160
120          FAA_hydrolase      0.7159
121                  ghf33      0.7159
122         Sua5_yciO_yrdC      0.7156
123                 urease      0.7154
124               GATase_2      0.7141
125         Nitroreductase      0.7125
126                 Cu_nir      0.7119
127            Aldolase_II      0.7090
128              THAUMATIN      0.7031
129                   blmb      0.7020
130              CoA_trans      0.6958
131             tyrosinase      0.6947
132            Binary_toxA      0.6939
133                    SIS      0.6936
134                    ldh      0.6932
135           tRNA-synt_2d      0.6921
136        ATP-sulfurylase      0.6911
137        GTP_cyclohydroI      0.6885
138           Pept_C1-like      0.6877
139                    NMT      0.6846
140              PEPCK_ATP      0.6831
141            Gly_radical      0.6775
142            Fe_hyd_lg_C      0.6712
143                Astacin      0.6684
144                 Pro_CA      0.6650
145             proteasome      0.6600
146            oxidored_q6      0.6573
147        DNA_polymeraseX      0.6537
148        ribonuclease_T2      0.6530
149                   PARP      0.6528
150                    RRF      0.6523
151                   PGAM      0.6344
152        RNA_dep_RNA_pol      0.6338
153                  START      0.6305
154                   CODH      0.6282
155                   DSBA      0.6259
156                hormone      0.6222
157               Sec23_NC      0.6167
158            NHase_alpha      0.6145
159        chorismate_bind      0.6138
