Rank              Template      Weighted Combined Scores
********************************************************
1                     COX1      1.0000
2                      pgk      0.9886
3                      icd      0.9536
4          Glyco_transf_28      0.9511
5          Arginosuc_synth      0.9400
6             citrate_synt      0.9164
7        Dala_Dala_ligas_C      0.9006
8           Endonuclease_3      0.8933
9                      ech      0.8909
10            Topoisom_bac      0.8664
11           Peptidase_S21      0.8638
12               MCR_alpha      0.8483
13           RNA_pol_A_bac      0.8444
14                    CASc      0.8306
15             Aldolase_II      0.8301
16                     dNK      0.8239
17         Isochorismatase      0.8238
18            NiFeSe_Hases      0.8186
19                      PK      0.8148
20                   gluts      0.8100
21                     ldh      0.7955
22               Hydrolase      0.7907
23         Glu_syn_central      0.7867
24               THAUMATIN      0.7853
25          Heme_oxygenase      0.7761
26                phosfruc      0.7605
27                     NMT      0.7516
28           Peptidase_M24      0.7472
29                  serpin      0.7389
30                 tubulin      0.7341
31                   sugbp      0.7249
32                    RuvA      0.7236
33         GTP_cyclohydroI      0.7207
34                    E2_N      0.7172
35                  Pro_CA      0.7121
36          Transpeptidase      0.7033
37                  ptpase      0.7028
38              peroxidase      0.6897
39                   TyrKc      0.6876
40                 Amidase      0.6867
41                    WD40      0.6764
42          Fapy_DNA_glyco      0.6760
43             aminotran_4      0.6732
44            tRNA-synt_2b      0.6710
45                     ung      0.6708
46                   SRP54      0.6704
47                  BChl_A      0.6672
48            DNA_ligase_N      0.6666
49                    ghf6      0.6612
50                     int      0.6572
51                arginase      0.6563
52             Binary_toxA      0.6553
53          Spermine_synth      0.6521
54                   ricin      0.6501
55             NO_synthase      0.6448
56               OMPdecase      0.6402
57                  OTCace      0.6377
58             adeno_fiber      0.6360
59                     DAO      0.6355
60             Zn_dep_PLPC      0.6348
61                  Fe-ADH      0.6302
62                     cah      0.6295
63                     tms      0.6284
64              PTS_EIIA_2      0.6279
65             biopterin_H      0.6251
66                     uce      0.6233
67           Peptidase_M17      0.6230
68           Peptidase_M16      0.6220
69             hormone_rec      0.6202
70          Haloperoxidase      0.6200
71              tyrosinase      0.6189
72         Extradiol_dioxy      0.6168
73                  galpha      0.6167
74                    mofe      0.6160
75          DNA_photolyase      0.6149
76         S_T_dehydratase      0.6137
77                GATase_2      0.6129
78                     KAS      0.6108
79                    YgbB      0.6076
80          PA_phosphatase      0.6075
81                   ghf15      0.6032
