Rank              Template      Weighted Combined Scores
********************************************************
1                     COX1      1.0000
2                  Amidase      0.9996
3                   serpin      0.9659
4            DNA_topoisoIV      0.9488
5                     mofe      0.9414
6              AMP-binding      0.9295
7                  tubulin      0.9260
8                    actin      0.9133
9                     6PGD      0.9062
10                      PK      0.9057
11                     pgk      0.9048
12          DNA_photolyase      0.9047
13             Gly_radical      0.9037
14                     PGI      0.8944
15                   ghf15      0.8907
16              ADP_PFK_GK      0.8833
17         Arginosuc_synth      0.8815
18           Peptidase_M16      0.8718
19                ATP-synt      0.8697
20                  aldedh      0.8643
21                     cat      0.8594
22                  urease      0.8578
23                    AFOR      0.8512
24             voltage_CLC      0.8365
25               aconitase      0.8350
26         Glu_syn_central      0.8331
27           Bacterial_PQQ      0.8245
28                 lyase_1      0.8240
29               PEPCK_ATP      0.8192
30         alk_phosphatase      0.8182
31         chorismate_bind      0.8179
32            citrate_synt      0.8161
33            Ald_Xan_dh_2      0.8160
34                    PAP2      0.8135
35            cytochrome_b      0.8018
36            TonB_dep_Rec      0.7914
37            cytochr_c552      0.7904
38                GATase_2      0.7899
39                hemocyan      0.7890
40            NiFeSe_Hases      0.7804
41            Pept_C1-like      0.7768
42                Sec23_NC      0.7566
43                  galpha      0.7543
44             NO_synthase      0.7480
45    thymid_phosphorylase      0.7471
46                  Fe-ADH      0.7460
47                     NMT      0.7440
48            DNA_ligase_N      0.7416
49         RNA_dep_RNA_pol      0.7397
50         Beta_elim_lyase      0.7394
51                     icd      0.7357
52         ATP-sulfurylase      0.7345
53           Peptidase_M17      0.7337
54         Glyco_transf_28      0.7172
55         S_T_dehydratase      0.7147
56            NTP_transf_2      0.7141
57                   SRP54      0.7108
58                    CODH      0.7079
59                    ghf6      0.7074
60                    Sec1      0.7021
61                     KAS      0.7014
62                   GP120      0.6854
63                   ghf33      0.6785
64                     DAO      0.6725
65               psaA_psaB      0.6710
66           Trypan_glycop      0.6626
67          Transpeptidase      0.6601
68                  glnasn      0.6575
69            lipoxygenase      0.6468
70             Fe_hyd_lg_C      0.6368
71                phosfruc      0.6356
72                  lipase      0.6246
73                      ku      0.6196
74                     tms      0.6182
75             aminotran_4      0.6132
76             HMG-CoA_red      0.6120
77                  OTCace      0.6068
78                    p450      0.6065
79          ATP-gua_Ptrans      0.6035
80                    WD40      0.6003
