X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
intb,.,0.929147578641209,0.900213421863887,0.757867422423453,0.837209302325581,0.8,0.627473563075303,1,0.901025815594988
GEL,.,0.890079176183385,0.834574341949249,0.832576608769507,0.752,0.771428571428571,0.698555495458714,0.980316496702061,0.867120647861989
DHHA2,.,0.770231851272802,0.940858430163622,0.861574159202628,0.71900826446281,0.859375,0.540476308854639,0.956573457797138,0.794006491196928
PH,.,0.854744675368914,0.615745790846571,0.741468423404997,0.85,0.810344827586207,0.758654412959299,0.940174607459631,0.811746136486133
tcl1_mtcp1,.,0.867134241406567,0.704481859141565,0.779795346463572,0.747747747747748,0.873239436619718,0.627473563075303,0.931757763265667,0.824597858454805
Pro_CA,.,0.646362393714817,0.869860090111452,0.863912636158421,0.567375886524823,0.652173913043478,1,0.9317070566155,0.667173720311721
hemopexin,.,0.904062747016154,0.88688641214133,0.813052316265787,0.65034965034965,0.523809523809524,0.810714463281959,0.928780187708961,0.874461375437416
eIF6,.,0.732224662966246,1,0.816378307668381,0.661971830985915,0.402597402597403,0.968793649886034,0.926909433197276,0.763391915567873
dutpase,.,0.907294427970635,0.70960398387479,0.65134230022113,0.773913043478261,0.763888888888889,0.758654412959299,0.922233724777803,0.833661423660945
aspg,.,0.818440670268098,0.811619634811476,0.644590649990547,0.693430656934307,0.67948717948718,0.856634682062789,0.905854450413047,0.767156318925722
GTP_cyclohydroI,.,0.67532524248525,0.859995257291911,0.894852065706895,0.624,0.684210526315789,0.758654412959299,0.903914188958215,0.711142611137203
TNF,.,0.967901547276435,0.687408110030823,0.681405768688426,0.824817518248175,0.435294117647059,0.897711717502623,0.903237632772776,0.902333894042192
EF_TS,.,0.731713708004524,0.835475456485649,0.646514863763544,0.771653543307087,0.726190476190476,0.758654412959299,0.896648318411771,0.720210063985706
Rhodanese,.,0.951415607272156,0.819919373962528,0.504733589326317,0.748148148148148,0.727272727272727,0.698555495458714,0.891190457963019,0.84978777433816
Frataxin_Cyay,.,0.792792478044222,0.8424946644534,0.741856134051597,0.663865546218487,0.859375,0.540476308854639,0.888703574058067,0.770364565777112
Hydrolase,.,0.666398815632602,0.837751956367083,0.899130731575532,0.566929133858268,0.506172839506173,0.934870415988059,0.880687373401455,0.697957053020848
Isochorismatase,.,0.701322805623125,0.8063078017548,0.880279303238551,0.595744680851064,0.48314606741573,0.934870415988059,0.878092724578006,0.722103719043845
Flavin_Reduct,.,0.921360974395479,0.931752430637895,0.844994853742279,0.692307692307692,0.466666666666667,0.540476308854639,0.876979317164946,0.920568177743196
PDZ,.,0.885458745845761,0.65207493478776,0.480691031117582,0.78125,0.836363636363636,0.758654412959299,0.876149120583972,0.776286387241204
Recep_L_domain,.,0.861906779105872,0.879772350011855,0.852734072942325,0.690140845070423,0.472222222222222,0.627473563075303,0.873375739872396,0.869171757711459
Peptidase_C15,.,0.80602053427547,0.978325824045525,0.765549774487456,0.678321678321678,0.395061728395062,0.758654412959299,0.87274869100897,0.818291192236436
Mur_ligase_C,.,0.78878781394252,0.956936210576239,0.73041629824114,0.65625,0.53968253968254,0.698555495458714,0.869687582313026,0.787734828009356
Jacalin,.,0.951808649550403,0.753806023239268,0.607254948919763,0.725925925925926,0.7,0.627473563075303,0.868507270266259,0.865572281510455
rnasemam,.,0.831769170637122,0.723974389376331,0.635789601955946,0.655737704918033,0.652173913043478,0.856634682062789,0.865748315656115,0.763233173518715
HSP20,.,0.95066445980706,0.620441071852023,0.73511255317493,0.817391304347826,0.8,0.428317341031395,0.864623919829659,0.892957216290489
LysR_substrate,.,0.748321927828703,0.831444154612279,0.793295539133027,0.680851063829787,0.539325842696629,0.758654412959299,0.864614771060802,0.759072908019441
hexapep,.,1,0.872136589992885,0.773312111296019,0.678321678321678,0.4,0.627473563075303,0.864439047922035,0.955881243557872
MoCF_biosynth,.,0.718752047095199,0.959070429215081,0.766320888490389,0.60431654676259,0.486842105263158,0.810714463281959,0.863023657423483,0.73470764097906
GAF,.,0.816619574378884,0.815461228361393,0.743152737466978,0.806201550387597,0.52112676056338,0.627473563075303,0.858696615677972,0.822704747787266
CBM_20,.,0.939060978325902,0.638653070903482,0.547047482013996,0.796116504854369,0.862068965517241,0.540476308854639,0.856906319008391,0.837791635336948
transcript_fac2,.,0.569125218902713,0.944984586198717,0.853863727967904,0.537313432835821,0.409090909090909,1,0.854457172173819,0.628177983584016
Amidase_2,.,0.83894874291978,0.700308276025609,0.580752028345241,0.766666666666667,0.666666666666667,0.758654412959299,0.853812469326503,0.7753126366921
DAP_epimerase,.,0.931003611621823,0.766611335072323,0.819422144297223,0.709677419354839,0.455882352941176,0.627473563075303,0.853290885131439,0.905709147550134
ACPS,.,0.783066865225803,0.639743893763335,0.617124750166942,0.691588785046729,0.866666666666667,0.698555495458714,0.849683280043846,0.715762285563656
Aldolase_II,.,0.638422939694213,0.938392221958735,0.862732384102882,0.594405594405594,0.404494382022472,0.856634682062789,0.849232666280777,0.694801372102697
