,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
fkbp,.,0.966292523677137,0.5615207995678013,0.5867755123942318,0.7586206896551724,0.45977011494252873,0.6533509783887532,1.0
msb,.,0.9782089586673894,0.694489465153969,0.679952140150595,0.7816091954022989,0.5632183908045977,0.8043093056757845,0.9884435470649323
Colicin_Pyocin,.,0.9916019703069664,0.914708265802267,0.896756800660652,0.7241379310344828,0.6091954022988506,0.986090471638412,0.9723128786483902
mdm2,.,0.9966084880085825,0.8777012425715809,0.8842198007152756,0.6666666666666666,0.5632183908045977,0.9248016449258395,0.9544268090076431
cytc,.,0.9943013369940129,0.5822528363046994,0.5953963203152093,0.7011494252873564,0.5057471264367817,0.6723471239482351,0.9537725153744849
sh2,.,0.9555758072144612,0.5691518098325213,0.7073566635730069,0.7011494252873564,0.4942528735632184,0.6924913564001927,0.949218842479271
SUI1,.,0.9247522696598103,0.7061048082117766,0.7499832185524273,0.7816091954022989,0.5747126436781609,0.8207445664009736,0.9463654546856828
Ribosomal_S8,.,0.9410984345980363,0.7497974068071306,0.8152420937775818,0.7241379310344828,0.5517241379310345,0.8393143258511835,0.9421214920446781
IF3,.,1.0,0.9288897893030788,0.9608865571626868,0.6436781609195402,0.5862068965517241,0.9791579705059267,0.9417041306156118
BRCT,.,0.9549298049303816,0.5721231766612633,0.5676635203130612,0.7471264367816092,0.5172413793103449,0.6641623215945514,0.9412886293278694
intb,.,0.9169771707407108,0.6957725553754713,0.42057150499294216,0.7816091954022989,0.4482758620689655,0.6244541018090686,0.9387817575247944
hpr,.,0.9906098953707012,0.7533765532144747,0.5447762007272576,0.7011494252873564,0.5057471264367817,0.7207252850382394,0.9359819921825038
transketolase_C,.,0.9191112854291877,0.7147487844408409,0.6930945727707756,0.7471264367816092,0.5172413793103449,0.7603445563678901,0.9332759294363724
Orbi_VP7,.,0.8809048646279141,0.491761210156671,0.6179646612920725,0.7816091954022989,0.4827586206896552,0.6210548391900471,0.9321708328362951
HSP20,.,0.9448590907517852,0.43395461912479694,0.520077685725944,0.8275862068965517,0.6206896551724138,0.6592268295587883,0.9286704450140947
hexapep,.,0.8731989802392514,0.4614397622906534,0.5254457771291189,0.7701149425287356,0.42528735632183906,0.5384263598799544,0.9286499575284707
EFTU_C,.,0.9941859794432842,0.7299432739059944,0.6321396878466156,0.7011494252873564,0.5632183908045977,0.7724851752038173,0.9257608759228505
Peptidase_S24,.,0.9599132511218519,0.7172474338195568,0.7306489981517753,0.735632183908046,0.5977011494252874,0.822393262098567,0.9238129080491518
DUF50,.,0.9337270871064866,0.6367504051863863,0.7219041648448308,0.7011494252873564,0.5057471264367817,0.7222241097325529,0.9238029072111605
Amidase_2,.,0.8929251214138221,0.6029173419773086,0.6560195723701185,0.7126436781609196,0.4367816091954023,0.6402254948828228,0.9205689092810229
Rhodanese,.,0.9030765858779285,0.5965018908697997,0.6828694689502525,0.7011494252873564,0.4482758620689655,0.6528927560009431,0.9201888758478353
Band_41_M,.,0.96431990955968,0.8646002160994026,0.686392587030475,0.6781609195402298,0.5172413793103449,0.8097913979069644,0.9154774526985167
C2,.,0.926148096023625,0.5970421393841142,0.6867091690389341,0.6666666666666666,0.4482758620689655,0.6499807186719035,0.9145732645355992
cytb,.,0.9565332748855077,0.7926796326310093,0.8143204147232701,0.7294117647058823,0.6352941176470588,0.8998798000047075,0.91108106918753
DUF101,.,0.9331618351079168,0.6948271204754178,0.611394944823859,0.7011494252873564,0.4827586206896552,0.6907541344993394,0.9107680200493778
MATH,.,0.8888876071383252,0.4815640194489461,0.5882880347523641,0.735632183908046,0.45977011494252873,0.5792847303812245,0.9087573643259799
ATP-synt_DE_N,.,0.9687727110177994,0.6135872501350614,0.7821330109281626,0.6588235294117647,0.5529411764705883,0.7541054249479735,0.9085235911305535
MIF,.,0.9313622573165524,0.5831307401404626,0.8493750546970307,0.6896551724137931,0.5632183908045977,0.7708719886144132,0.9080085019322863
pilin,.,0.893617266718193,0.506955699621825,0.7022622146493143,0.8505747126436781,0.6781609195402298,0.777013552527457,0.9050988415098241
tcl1_mtcp1,.,0.9421597240647386,0.6413425175580754,0.3552642624893616,0.7931034482758621,0.5402298850574713,0.6281373960440372,0.9042019953514043
Ribosomal_L6_D,.,0.8522269775168133,0.6539032955159368,0.8245669148894484,0.7764705882352941,0.5529411764705883,0.7888327223689812,0.9035026863418065
Flavoprotein,.,0.8865804561237554,0.7129929767693123,0.7073578172975274,0.7011494252873564,0.45977011494252873,0.7092083349366209,0.9013475560649026
CBM_20,.,0.9279476738149894,0.7030659103187454,0.6296800205874798,0.6896551724137931,0.4827586206896552,0.694819237896482,0.9003102882946827
PH,.,0.9365302755891886,0.7428417071853042,0.8479652033328291,0.6436781609195402,0.5172413793103449,0.8004902208774386,0.8991175886218679
SAM_PNT,.,0.8844694129454241,0.6587655321447862,0.8653348406429543,0.6941176470588235,0.5176470588235295,0.7723599908229578,0.8961823615434222
SCP2,.,0.9091905360665381,0.7532414910858986,0.7773830431695187,0.6666666666666666,0.4827586206896552,0.7594822469650969,0.8961374146716492
