,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
RGS,.,0.936620284726132,0.7197910784867311,0.8733737553200043,0.7402597402597403,0.4935064935064935,0.0,0.605754542068399,1.0
capsid_n,.,0.9348393101308728,0.7781620553359692,0.8973271616322621,0.7402597402597403,0.5714285714285714,0.0,0.6580954826688707,0.9614829074480647
RNA_pol_H,.,0.9175121508428031,0.5842744212309436,0.8549991170622867,0.76,0.5866666666666667,0.0,0.5859039230126336,0.9474796865627172
MIF,.,0.9310015971320563,0.5557594579333721,0.7991276713103082,0.6883116883116883,0.5064935064935064,0.0,0.5123271066776022,0.9373157787233974
Bac_DNA_binding,.,0.9191207730578759,0.7365189158667421,0.9317214785430246,0.8133333333333334,0.7333333333333333,0.0,0.7281224340259853,0.9244066427825951
CH,.,0.947432524043157,0.7250141163184652,0.47468928881618233,0.7142857142857143,0.4805194805194805,0.0,0.46649724127772024,0.9158979572349205
gag_p17,.,0.9571876687617056,0.7672219085262558,0.819540852262116,0.6623376623376623,0.5584415584415584,0.0,0.6061437323493549,0.9142061342274722
DMRL_synthase,.,0.8952557134814032,0.6688311688311682,0.6399285726165157,0.7402597402597403,0.5064935064935064,0.0,0.5024428462563423,0.9112526229071678
Sua5_yciO_yrdC,.,0.8628419758476865,0.3759881422924905,0.5986685542925126,0.7142857142857143,0.4155844155844156,0.0,0.3427764988365021,0.9081411532307523
SAM_PNT,.,0.9811331594489319,0.7070863918690015,0.8287806868524483,0.6493506493506493,0.5974025974025974,0.0,0.6058213062069394,0.9072754140290118
Ribosomal_S15,.,0.9929220622536797,0.7232495765104471,0.9120940962663758,0.7142857142857143,0.7532467532467533,0.0,0.7154952372805227,0.8999289518549521
Heme_oxygenase,.,0.7922234606059908,0.6494212309429702,0.7701630770596468,0.7662337662337663,0.45454545454545453,0.0,0.49643745073261886,0.8966133648689883
CARD,.,0.9182590111569441,0.6181535855448919,0.7145553738597683,0.6883116883116883,0.5324675324675324,0.0,0.5093720136443692,0.8947123394030972
Ala_racemase_N,.,0.7861221863473934,0.6231648785996617,0.7171574977619356,0.7532467532467533,0.4155844155844156,0.0,0.4510837238735473,0.8919498390217504
Syntaxin,.,0.9236019349427216,0.9682382834556753,0.9009825873242348,0.7012987012987013,0.6363636363636364,0.0,0.7269522879570448,0.8869384681708968
LysR_substrate,.,0.8198687823878847,0.6314935064935074,0.9214718799433521,0.7012987012987013,0.4935064935064935,0.0,0.5410450713243763,0.8826917766384152
Clp_N,.,0.8959221426847904,0.7850790513833991,0.4072101616596983,0.7142857142857143,0.4805194805194805,0.0,0.44703453260091536,0.8574045709811804
RNA_pol_A_bac,.,0.8022198986568003,0.3571428571428579,0.6640113740597666,0.7662337662337663,0.5194805194805194,0.0,0.38958629966136826,0.8536498006323348
SRF-TF,.,0.9765256058186162,0.7144268774703564,0.8195169117794272,0.7142857142857143,0.7922077922077922,0.0,0.6894560416275229,0.8467798260925563
Isochorismatase,.,0.7344969034022358,0.5095285149632977,0.6923296547263332,0.6753246753246753,0.3116883116883117,0.0,0.32824311188394156,0.8416660687381198
Mur_ligase_C,.,0.9123300892785329,0.5448193111236601,0.556006005035764,0.6623376623376623,0.5324675324675324,0.0,0.42224365148922977,0.8393619426501773
tetR,.,0.8304282382139696,0.7428712591756076,0.9331709900247636,0.7333333333333333,0.6533333333333333,0.0,0.6485565610066454,0.8319932152195136
Dala_Dala_ligas_C,.,0.8372878629453873,0.6084839073969515,0.5653554520794692,0.7272727272727273,0.5194805194805194,0.0,0.4387321181733665,0.8311281654976519
MoCF_biosynth,.,0.9036320391584608,0.6276115189158674,0.4665627396365517,0.6493506493506493,0.4805194805194805,0.0,0.39572589544285514,0.8303473667403259
Peptidase_S11,.,0.7403453941698933,0.48157820440429217,0.63104726264415,0.7142857142857143,0.37662337662337664,0.0,0.3350181626899476,0.8292178037918675
Topoisomerase_I,.,0.7960956440808447,0.5023291925465846,0.8673668657575568,0.6623376623376623,0.4935064935064935,0.0,0.459790438854987,0.8245335264895854
BAG,.,0.9636796084153922,0.8208639186900061,1.0,0.7402597402597403,0.5974025974025974,0.6918516523865801,0.952735338919522,0.8242813472531428
dhfr,.,0.839264170238191,0.49901185770751005,0.6333344261916508,0.6623376623376623,0.4805194805194805,0.0,0.3913630361701423,0.8207439689766335
Ribosomal_L30,.,0.7508014385678666,0.5424195369847559,0.7586652365229648,0.7466666666666667,0.5066666666666667,0.0,0.45436815244270046,0.8186169866030346
ACPS,.,0.9322540244280774,0.5971202710333153,0.7721017265007478,0.6753246753246753,0.7142857142857143,0.0,0.581819467988619,0.8133392448202924
Peptidase_C15,.,0.7949121577368983,0.5618294748729535,0.6472364049572901,0.6623376623376623,0.42857142857142855,0.0,0.3848956333157086,0.8121725026325959
DNA_polymeraseX,.,0.8229021842791647,0.5264680971202725,0.7169032625475407,0.6623376623376623,0.5064935064935064,0.0,0.43120931595870693,0.8096786089304139
dNK,.,0.7667267984970871,0.7196499153020903,0.8388745663833038,0.6233766233766234,0.4025974025974026,0.0,0.469563794370361,0.8096359475628602
biotin_lipoyl,.,0.9617262814399467,0.49611801242236087,0.2822630445705051,0.7012987012987013,0.6233766233766234,0.0,0.37495216822082417,0.8075701213726432
Band_41_M,.,0.9551654008341856,0.8047007340485602,0.6978934599791929,0.7402597402597403,0.45454545454545453,0.8012137861042296,0.833735681086038,0.8045323028148434
thionin,.,0.596534568142386,0.3401326933935639,0.4772378379434829,0.8933333333333333,0.38666666666666666,0.0,0.2524517994773172,0.8043453271346007
ghf22,.,0.9398375291562776,0.5933088650479958,0.6599617513713076,0.7532467532467533,0.4935064935064935,0.6918516523865801,0.7273578621424649,0.8025160796683647
Bac_rhodopsin,.,0.8031276211924486,0.758399209486166,0.638019504501923,0.6883116883116883,0.4935064935064935,0.0,0.4795187358493916,0.7994679388759669
Bacteriofer,.,0.8672771770978157,1.0,0.9663661112086268,0.7142857142857143,0.44155844155844154,0.6918516523865801,0.9088986201232034,0.7954920996545649
CPS,.,0.7965552504280083,0.5922501411631852,0.6568840222383779,0.6753246753246753,0.4935064935064935,0.0,0.42441040500551963,0.7905039517969468
cks,.,0.9369994599625421,0.2775268210050818,0.7169387760290514,0.68,0.76,0.0,0.4762489573037528,0.7902088585718665
msb,.,0.9763072928037136,0.5859683794466405,0.6901760441148944,0.7402597402597403,0.5714285714285714,0.6918516523865801,0.7684069311512903,0.7892519227271874
sh2,.,0.954970068136641,0.6458921513269339,0.7798361973106788,0.7402597402597403,0.5714285714285714,0.6918516523865801,0.8107666466771641,0.788380944643529
phosfruc,.,0.685468396318553,0.6086956521739134,0.7400537093076677,0.7142857142857143,0.4155844155844156,0.0,0.4077525525525006,0.7821883564099295
mdm2,.,0.9915662235295468,0.713862224731789,0.7798720550690423,0.7142857142857143,0.5584415584415584,0.8012137861042296,0.8685699660053697,0.779659297556362
parv,.,0.9478461697556043,0.7508469791078483,0.609085444959824,0.7402597402597403,0.5194805194805194,0.6918516523865801,0.7695229527483971,0.7734802655004855
aspg,.,0.879514196091048,0.5021174477696223,0.369482939433386,0.6883116883116883,0.5714285714285714,0.0,0.35713988057543233,0.7728181360300119
hip,.,0.9364479323459456,0.6438452851496341,0.6837402385594948,0.7662337662337663,0.5714285714285714,0.6918516523865801,0.7808115508787655,0.772296000120675
B,.,0.6441382955498616,0.4491812535290802,0.35847787576308965,0.8666666666666667,0.44,0.0,0.27377554915879304,0.7715022687657198
DSBA,.,0.8340476381978834,0.3699887069452289,0.46217399100664114,0.7012987012987013,0.5584415584415584,0.0,0.3290961200381153,0.7711892033241241
RING,.,0.7137112063517597,0.2732213438735181,0.651256102042388,0.72,0.4666666666666667,0.0,0.2957044837683732,0.7704445044861298
STAS,.,0.9420896002573795,0.7588932806324119,0.724400844399892,0.7012987012987013,0.5064935064935064,0.6918516523865801,0.7912093992751876,0.7699166479745713
BIR,.,0.951201296089899,0.6275409373235465,0.7878336956361691,0.7142857142857143,0.5714285714285714,0.6918516523865801,0.7975228212341864,0.767872999273082
DUF28,.,0.7878916707839735,0.778091473743648,0.6434010019197937,0.7142857142857143,0.5714285714285714,0.0,0.517084897603129,0.7654488428146917
phero,.,0.5041077317277752,0.21400338791643173,0.5462131161642008,0.9066666666666666,0.36,0.0,0.19864145567726532,0.7652225279520273
Haloperoxidase,.,0.701795911801542,0.49378881987577644,0.5101153703513224,0.6753246753246753,0.33766233766233766,0.0,0.26063726643221125,0.7633579758965308
PTS_EIIA_2,.,0.9066079902563454,0.6290231507622811,0.6112592884570751,0.7142857142857143,0.44155844155844154,0.6918516523865801,0.6820650591514607,0.7623458362306452
hormone,.,0.8762280107088278,0.6605025409373247,0.9895377972022897,0.7272727272727273,0.5584415584415584,0.6918516523865801,0.8502690162843773,0.7608108332176045
Rop,.,0.7397593960772598,0.7833850931677026,0.6529478784971775,0.76,0.5733333333333334,0.0,0.5218171755760873,0.759017284969766
cah,.,0.7599705851937816,0.25423489553924344,0.5199353379215021,0.7142857142857143,0.5064935064935064,0.0,0.2726049534458041,0.7583415875153245
il8,.,0.8129517068630717,0.4225719932241678,0.6120027145965017,0.64,0.52,0.0,0.35604050509342017,0.7578034978273975
Jacalin,.,0.9121232664223093,0.3759881422924909,0.633975761002797,0.7142857142857143,0.4805194805194805,0.6918516523865801,0.6206816194173059,0.7548139538825426
Fz,.,0.9212924130482241,0.5533596837944669,0.6871383835110667,0.7012987012987013,0.4935064935064935,0.6918516523865801,0.6998553058885798,0.7544282196628673
DHHA2,.,0.9216256276499178,0.6847826086956524,0.8481367789690698,0.6493506493506493,0.4805194805194805,0.6918516523865801,0.7751037755238376,0.7539518878229154
Frataxin_Cyay,.,0.9126977743562639,0.7617165443252399,0.8043989471696047,0.6883116883116883,0.5064935064935064,0.6918516523865801,0.8045675126436866,0.7514508323456837
cytc,.,1.0,0.44706380575945914,0.5456733165418036,0.7142857142857143,0.5454545454545454,0.8012137861042296,0.7015873395033233,0.7500249696313157
PAN,.,0.9434569291401913,0.5782749858836812,0.6741793260796496,0.7012987012987013,0.5324675324675324,0.6918516523865801,0.7239941276749934,0.7498342219633093
BRCT,.,0.9687122979168342,0.5746047430830048,0.5769638849344132,0.7142857142857143,0.5064935064935064,0.8012137861042296,0.7308461095148112,0.7483517465850595
Ribosomal_S8,.,0.9358274637772747,0.7334839073969504,0.808968216043153,0.7402597402597403,0.5454545454545454,0.8654461196293769,0.8917564147216948,0.7481306905487278
OTCace,.,0.6756213303305718,0.6115189158667423,0.7736978204732864,0.6883116883116883,0.44155844155844154,0.0,0.41654520536436707,0.7477229042910821
Colicin_Pyocin,.,0.9923705346370834,0.8639892715979667,0.9169749886574018,0.6883116883116883,0.5844155844155844,0.9110921808102939,1.0,0.7464043110013352
CAT_RBD,.,0.6999574864128872,0.3268633540372688,0.619636550634068,0.72,0.48,0.0,0.30283961962855915,0.7445039739766505
Propep_M14,.,0.9561650446392665,0.8345567476002255,0.9376307523762782,0.6753246753246753,0.5714285714285714,0.8012137861042296,0.9402705473551033,0.7441240060824487
Rhodanese,.,0.898748721719847,0.5222332015810272,0.6050329091595333,0.7142857142857143,0.4675324675324675,0.6918516523865801,0.6507191957534473,0.7422535282811159
MATH,.,0.8936470912663304,0.31705251270468676,0.6092192362413993,0.7142857142857143,0.4675324675324675,0.6918516523865801,0.582645962096711,0.7417212737902676
phoslip,.,0.9706541347336006,0.6743365330321869,0.6475909571500317,0.6753246753246753,0.5454545454545454,0.6918516523865801,0.7516346343788707,0.7402264021541712
Phage_integrase,.,0.874090841194517,0.656973461321289,0.8632573124138712,0.7272727272727273,0.4675324675324675,0.8654461196293769,0.8339980550271552,0.7390245036491663
SCP,.,0.924923303190817,0.5664878599661208,0.5983480855082008,0.7532467532467533,0.5714285714285714,0.6918516523865801,0.7189594174601455,0.7366676407324927
S-AdoMet_syntD2,.,0.9409865450241867,0.4839073969508756,0.794011108172105,0.7662337662337663,0.5974025974025974,0.9110921808102939,0.8468997410908076,0.7338399245992818
Elicitin,.,0.9755604324895726,0.7358836815358555,0.7946473582789632,0.6753246753246753,0.5714285714285714,0.8012137861042296,0.866858009133382,0.7330792258636813
Ribosomal_S30AE,.,0.9344371545771046,0.6616318464144572,0.6888350857731351,0.7402597402597403,0.5064935064935064,0.9110921808102939,0.8300927966784221,0.7330075470419279
dutpase,.,0.9628638071491767,0.4133963862224742,0.742483032712551,0.6883116883116883,0.6103896103896104,0.6918516523865801,0.7199536004414763,0.7320266988990535
SCP2,.,0.9067918327952108,0.6590909090909098,0.6682372664968729,0.7402597402597403,0.5064935064935064,0.8012137861042296,0.7770261943098877,0.7320228980227266
S_T_dehydratase,.,0.6687502154404752,0.5479954827780912,0.5817260680183011,0.6753246753246753,0.37662337662337664,0.0,0.30414840405920857,0.7284143591306368
CBM_20,.,0.9344486447357838,0.5051524562394138,0.5595695220494494,0.6753246753246753,0.4805194805194805,0.6918516523865801,0.633273402455048,0.7281134766749918
COX3,.,0.7396904551251853,0.6806182947487304,0.7732893227459903,0.6883116883116883,0.5844155844155844,0.0,0.5075811850836073,0.7260896505399441
oxidored_q6,.,0.7278670818444002,0.448898927159797,0.5925118778162508,0.6623376623376623,0.4675324675324675,0.0,0.3202432635776612,0.7250147628441874
