,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
msb,.,0.984065778281826,0.610634081902244,0.6060224092079316,0.7127659574468085,0.5212765957446809,0.0,0.5934854212742805,1.0
gag_p17,.,0.9716586333994897,0.8502311756935251,0.7525635903582368,0.6595744680851063,0.48936170212765956,0.0,0.6812607478974566,0.9941334004730055
mdm2,.,0.9118571023532747,0.6904447380008788,0.7242400822070284,0.7065217391304348,0.5,0.0,0.6233796448177227,0.9722391934332139
S-AdoMet_syntD2,.,0.9540232492203005,0.5962681638044898,0.8223710877369282,0.6595744680851063,0.5531914893617021,0.0,0.6393046033125173,0.9675517186957002
Zn_dep_PLPC,.,0.7646271618939608,0.6664464993394965,0.6917061486429773,0.7446808510638298,0.3404255319148936,0.0,0.5244880604115719,0.9552796568279841
BAG,.,0.9743464700878934,0.9079150154117149,0.9436054706210868,0.6276595744680851,0.6170212765957447,0.0,0.7868370298916925,0.9505114650936544
UPP_synthetase,.,0.8519081372271051,0.7175253192426226,0.8670466376786479,0.7021276595744681,0.5319148936170213,0.0,0.6651830850445554,0.9354824771563842
galpha,.,0.7314885171533881,0.6780603258476424,0.8366395066337668,0.7446808510638298,0.39361702127659576,0.0,0.5781949077781676,0.9319594605129449
Colicin_Pyocin,.,0.8926679897930252,0.7323315719947157,0.8127033101277982,0.6956521739130435,0.5760869565217391,0.0,0.6770190732353154,0.9315886880138708
Sua5_yciO_yrdC,.,0.8738417918911257,0.5145310435931296,0.579481550814423,0.6382978723404256,0.39361702127659576,0.0,0.46119643280913547,0.9259402959461098
tryp_alpha_amyl,.,0.8987468103203856,0.6740973139586066,0.6422233882174966,0.6808510638297872,0.5212765957446809,0.0,0.588142214123847,0.9223977691470141
Clp_N,.,0.9081258860221151,0.7795024218405981,0.7339774027595803,0.6276595744680851,0.5,0.0,0.6283068133992001,0.9198159894865977
Fz,.,0.9195690388432095,0.5100176133861728,0.5338527294660285,0.6702127659574468,0.5106382978723404,0.0,0.5051475930739779,0.9188461514149516
hormone,.,0.888948114544939,0.6864817261118438,0.9446818596917081,0.6170212765957447,0.5425531914893617,0.0,0.6679698559821019,0.9176513915101405
MutS_D2,.,0.9032719024666856,0.5346763540290607,0.6194884915394103,0.6276595744680851,0.46808510638297873,0.0,0.5078514809990741,0.913747568724782
STAS,.,0.9405273603629146,0.8143989431968278,0.8255333774143517,0.5319148936170213,0.5,0.0,0.6474993412573129,0.8982367345005864
zf-TAZ,.,0.8531216331159625,0.7425693527080574,0.7554068548115866,0.6847826086956522,0.5652173913043478,0.0,0.6440699090405693,0.8903234380300534
Endonuclease_3,.,0.8165920045364332,0.7154887714663117,0.6853322592219758,0.7021276595744681,0.5106382978723404,0.0,0.5920907982475566,0.8873496523489095
BRCT,.,0.854153671675645,0.4946059004843671,0.34758779972281684,0.6847826086956522,0.43478260869565216,0.0,0.40528272050220987,0.8820093962454348
Bac_rhodopsin,.,0.8118967961440318,0.7684390136503739,0.72264003719554,0.6702127659574468,0.48936170212765956,0.0,0.6019354267000181,0.8790887974712954
intb,.,0.916075985256592,0.6866468516072187,0.747757470269059,0.5106382978723404,0.44680851063829785,0.0,0.5549120790109936,0.878813536823771
rnasemam,.,0.9410036858519989,0.5329700572435039,0.49913313630630146,0.5957446808510638,0.5212765957446809,0.0,0.4886759886740198,0.8759554611777884
