,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
cah,.,0.971240046894544,0.6391690281713728,0.7412197084787358,0.6804979253112033,0.3900414937759336,0.7823050699207731,1.0
TyrKc,.,0.9931270728826634,0.7417694615769381,0.7545378570657372,0.6763485477178424,0.42323651452282157,0.8499108084581984,0.9987256896799562
aminotran_4,.,0.9989714579583441,0.6458159693282297,0.7210554522141951,0.6639004149377593,0.42738589211618255,0.7964707601510664,0.9756701193541412
DNA_ligase_N,.,0.9711267329408022,0.6603808968161452,0.9007905565090655,0.6514522821576764,0.45228215767634855,0.8689598729094629,0.9565514926492966
Peptidase_M17,.,0.9633603688805018,0.7455617602933892,0.5356905940725015,0.6887966804979253,0.35269709543568467,0.727174815361765,0.9527467190275056
ptpase,.,0.9676880902676389,0.680592598766473,0.7384421304601453,0.6473029045643154,0.3900414937759336,0.7830745236971202,0.9439020230493239
CPS,.,0.9881151095440857,0.6947199533255627,0.7661650043980768,0.6804979253112033,0.48132780082987553,0.8587464251307021,0.9425519472133073
KAS,.,0.9774374485184201,0.6491915319219953,0.7359581625228991,0.6514522821576764,0.4149377593360996,0.7850639718879936,0.940434407554118
ung,.,0.9265987073492816,0.6772795465911088,0.7754671768657829,0.6861924686192469,0.401673640167364,0.8005559852764432,0.9343568090585044
AP_endonucleas1,.,0.9896927884384902,0.6808009668278144,0.8489982005997218,0.6016597510373444,0.4190871369294606,0.8301456035920668,0.9286636069873859
SRP54,.,0.9827326967413522,0.7991540256709511,0.7527681234761286,0.6431535269709544,0.42738589211618255,0.8564646104230785,0.9269045153271802
tms,.,0.9882894387036885,0.6689864977496313,0.6829190218928014,0.6390041493775933,0.4107883817427386,0.7692659056027688,0.923232100998109
tRNA-synt_2b,.,0.9631250245150381,0.6983872312052102,0.9092872999335536,0.6556016597510373,0.48132780082987553,0.8980102238811988,0.9216234305324321
Peptidase_M24,.,0.9561736492758803,0.8094057342890513,0.7967887083174696,0.6099585062240664,0.3651452282157676,0.8290244477057417,0.915919236376512
serpin,.,0.984589302291121,0.6023295549258315,0.869158537882931,0.5850622406639004,0.4107883817427386,0.7943633209058076,0.9149544554557995
CASc,.,0.9238704560014993,0.7402483747291289,0.8271374565066553,0.6569037656903766,0.39330543933054396,0.8306426239749486,0.9148573530759844
galpha,.,0.9830246980836868,0.6942407067844714,0.8920057679567235,0.5933609958506224,0.42738589211618255,0.8503154297302663,0.9137123634054118
Peptidase_S11,.,0.9737111627319124,0.7965494249041536,0.708387560604597,0.6099585062240664,0.37344398340248963,0.7984648617738974,0.9019211227174774
DNA_photolyase,.,0.8970847806285438,0.742436239373234,0.836959442658151,0.6639004149377593,0.3775933609958506,0.8211243042597899,0.9003069925090641
phosfruc,.,0.9633472941935315,0.606205200866823,0.6290151972217558,0.6473029045643154,0.3941908713692946,0.708518027934891,0.8911118129692245
Zn_dep_PLPC,.,0.9191025534863654,1.0,1.0,0.6058091286307054,0.3983402489626556,0.9853370238349807,0.8891957123746959
glnasn,.,0.9172677390815468,0.6737372895482667,0.7160483265263894,0.6763485477178424,0.3941908713692946,0.7642437444207374,0.8888344672002402
Fapy_DNA_glyco,.,0.9992198770107779,0.6789256542757214,0.8186986356262445,0.5850622406639004,0.43983402489626555,0.8226503121078532,0.8872877140644289
sugbp,.,0.9790761426186855,0.8441615269211574,0.7356845392463446,0.6265560165975104,0.4315352697095436,0.8612535932782702,0.8845429033894259
AMP-binding,.,0.8557339039707824,0.6474620770128461,0.8081442702435471,0.6846473029045643,0.34854771784232363,0.7508493177087715,0.8824668105156154
DUF28,.,0.9934016413090377,0.7817552925487601,0.8368892537025066,0.6348547717842323,0.5145228215767634,0.9197665739088646,0.8769329973217506
arginase,.,0.9621967217401538,0.7805467577929734,0.7937946457701357,0.5601659751037344,0.34439834024896265,0.7899769521306211,0.8750673152138261
Fe-ADH,.,0.9169844541971924,0.7468744790798552,0.769041693454537,0.6141078838174274,0.34439834024896265,0.769841010496599,0.8686993994039337
OTCace,.,0.9551625401501846,0.7210785130855186,0.7709846852088043,0.5809128630705395,0.36929460580912865,0.7722828038956545,0.8603146113649394
ricin,.,0.9548748970368401,0.7301425237539664,0.7863978820257292,0.6182572614107884,0.42738589211618255,0.8207532424012062,0.8598343630220845
Endonuclease_3,.,0.9269778732714175,0.7493123853975711,0.7097258535394377,0.6610878661087866,0.41422594142259417,0.798172837105519,0.8577425559122307
tubulin,.,0.9141080230637478,0.622353725620948,0.5628329884956343,0.6639004149377593,0.34854771784232363,0.6565251687614285,0.8532482850253705
actin,.,0.9497539779735107,0.6749874979163265,0.7596973527477056,0.6016597510373444,0.3941908713692946,0.7653363992583748,0.852462000983661
Glyco_transf_28,.,0.9364047225769337,0.7964452408734833,0.8087756181360267,0.5809128630705395,0.36099585062240663,0.8071697322256421,0.8504425361710453
ghf33,.,0.841194852059917,0.557509584930834,0.6021865564440104,0.7427385892116183,0.36099585062240663,0.6536412852978054,0.8501413073156917
Ala_racemase_N,.,0.9312620123686539,0.748458076346067,0.8090418737276782,0.606694560669456,0.39330543933054396,0.8092879081277146,0.8473090026950174
cat3,.,0.9691829628112321,0.6740498416402819,0.7980473283618442,0.6763485477178424,0.5518672199170125,0.8825187126593012,0.8456846877610102
