,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
SRP54,.,0.9823426258804623,0.8160512126485002,0.7372690045499006,0.6050420168067226,0.42436974789915966,0.7843495398080673,0.8463864188414714,1.0
galpha,.,0.9832257038466208,0.7499087022835217,0.7943209623684089,0.592436974789916,0.42436974789915966,0.8358600933165251,0.8549986038957779,0.9789816661855102
Peptidase_S21,.,0.8760510092618556,0.6627784580352835,0.648943182758674,0.7161016949152542,0.4025423728813559,0.7832733305242674,0.7735192796878099,0.9690753683446452
tms,.,0.988101466076832,0.7607140555519802,0.7279341616010366,0.5966386554621849,0.40756302521008403,0.8724261063001272,0.8474955042852778,0.9632155637752808
Peptidase_S11,.,0.973013806986779,0.8681875792141964,0.7314266129126509,0.542016806722689,0.36554621848739494,0.7843495398080673,0.8225727420597794,0.9374033157120515
Fe-ADH,.,0.9152077744342652,0.8101651951623042,0.7194794675541473,0.5798319327731093,0.3277310924369748,0.7843495398080673,0.7867259291765725,0.9298993974203679
arginase,.,0.9627935397196751,0.7775987626474267,0.6988389870663949,0.5756302521008403,0.38235294117647056,0.8358600933165251,0.8137451120307079,0.9114251459749956
KAS,.,0.9770734545089292,0.6754956928959694,0.6067865612242846,0.5798319327731093,0.40336134453781514,0.7843495398080673,0.7559034231989968,0.9103343241996044
ung,.,0.9298183203103748,0.692101136388057,0.6273161774694327,0.6652542372881356,0.4025423728813559,0.8997191763638941,0.8091657301391421,0.9080442148612727
Fapy_DNA_glyco,.,0.9991629592737835,0.7364181220596844,0.78279788954205,0.5798319327731093,0.453781512605042,0.9007967525682732,0.8753849731639708,0.9073891525573367
Spermine_synth,.,0.9402855145917125,0.7392107580932786,0.6749610018276663,0.6050420168067226,0.38235294117647056,0.8358600933165251,0.7982135018091469,0.9070886996034208
pgk,.,0.9337231152981749,0.6925307727009137,0.6557231827625769,0.6050420168067226,0.3697478991596639,0.8358600933165251,0.7743432496474283,0.9017073890705816
cytochrome_b,.,0.950384410953515,0.8569311078172364,0.8325046630523868,0.5882352941176471,0.46218487394957986,0.7843495398080673,0.8815010594481806,0.8996709509662122
ech,.,0.9941490853237465,0.8291551201907695,0.7295206065794035,0.6092436974789915,0.4831932773109244,0.8724261063001272,0.8935919948575202,0.8993165634615048
Ala_racemase_N,.,0.9386114331392795,0.7628192734849993,0.7390783922512204,0.5635593220338984,0.3771186440677966,0.7832733305242674,0.7944957371685615,0.8976462099815067
AP_endonucleas1,.,0.9891854338172825,0.7301454318919085,0.7542025039360275,0.5252100840336135,0.4117647058823529,0.7843495398080673,0.803023553029148,0.8972908800937481
phosfruc,.,0.963492468726066,0.7284268866404673,0.5247343372491995,0.634453781512605,0.3949579831932773,0.8724261063001272,0.7815994048062725,0.8964097562406876
MurB_C,.,0.5086654641181567,0.4495929195935702,0.547353548237947,0.8135593220338984,0.3347457627118644,0.0,0.3707201339139681,0.8889556918523923
aminotran_4,.,0.998631438412636,0.7250757234001461,0.5595669802703063,0.5966386554621849,0.3949579831932773,0.9239812892325273,0.8041441542877158,0.8880911199128286
DNA_ligase_N,.,0.9703938695137213,0.6145732637322608,0.7321818687895127,0.5798319327731093,0.46218487394957986,0.7843495398080673,0.7886197060497596,0.8849525299609623
Zn_dep_PLPC,.,0.9195603862105911,1.0,0.7930291435055334,0.5882352941176471,0.3865546218487395,0.8358600933165251,0.8951494821083653,0.8773259628457909
DUF28,.,0.9945090128360196,0.8187149577882341,0.7030594606368951,0.592436974789916,0.5084033613445378,0.7843495398080673,0.8609885575966127,0.8768087091033493
