,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
cah,.,0.962826465004228,0.7235197548429594,0.7118475404146362,0.7,0.4,0.7686289900223604,0.80021579865441,1.0
TyrKc,.,0.991520285901179,0.8455729451680031,0.8254365252570909,0.692,0.456,0.8187108097855682,0.9010463940090417,0.9964310107413032
galpha,.,0.9866223136935817,0.7824887818758925,0.836127366096347,0.672,0.412,0.8542617267013273,0.877192011149344,0.9937632401099542
Peptidase_M24,.,0.9482681599897892,0.9006676151909849,0.791399445057391,0.708,0.376,0.881844418409954,0.8946304648133788,0.9845700577595858
arginase,.,0.9636241803474848,0.8229615847652464,0.6309755516053785,0.684,0.356,0.8187108097855682,0.8028447704883844,0.9645704951465768
tRNA-synt_2b,.,0.9576213723894765,0.7643208930721309,0.8210108610551112,0.68,0.404,0.8542617267013273,0.8598632067951638,0.9594997806151992
Fapy_DNA_glyco,.,0.9973555736371033,0.7545802779905926,0.7509839396951603,0.692,0.448,0.881844418409954,0.8719793538302284,0.9571594351415855
ptpase,.,0.9668389731808101,0.7734486155193222,0.7328481259045446,0.692,0.392,0.881844418409954,0.8481128131975938,0.9561677626985006
OTCace,.,0.9592287688061392,0.8313669694648164,0.7398986847897421,0.644,0.356,0.8187108097855682,0.823135959862703,0.942328013400317
serpin,.,0.9918672920754958,0.6666520739849047,0.6851684789121187,0.66,0.404,0.8542617267013273,0.7988600002386296,0.93645672456908
peroxidase,.,0.906802916447295,0.7980080989383869,0.7692026409754771,0.676,0.336,0.8187108097855682,0.8107606791996855,0.9342171291876111
tms,.,0.987328291772364,0.7655466783408176,0.8302670653544574,0.648,0.404,0.9234446809378617,0.8813893313072052,0.9333986578943371
sugbp,.,0.9797619617415722,0.9301083506621487,0.6934909106261762,0.688,0.4,0.9043848486507006,0.8917276749309192,0.9327975094798736
Haloperoxidase,.,0.9030975286778666,0.9010397285761248,0.7771670732396343,0.7,0.368,0.8187108097855682,0.8561908296216101,0.9299805229886103
ricin,.,0.9382049809346034,0.8364233336981558,0.7953657821816111,0.6733870967741935,0.4274193548387097,0.7676332432921902,0.8479608120661571,0.9222483116197199
Fe-ADH,.,0.9204957003142998,0.9064025391266328,0.7353310563591469,0.652,0.348,0.7686289900223604,0.8180315375342159,0.9172654389009639
Peptidase_S11,.,0.9650999537325101,0.8724526649885133,0.7209476865077172,0.692,0.38,0.9675515288596122,0.8923691759448508,0.9170860389703949
Spermine_synth,.,0.9376346144641746,0.8475867352522747,0.686604947048243,0.696,0.372,0.881844418409954,0.8432970485474429,0.913124949648665
Extradiol_dioxy,.,0.9329719682828379,0.7984458793914918,0.7124446097365171,0.672,0.376,0.8187108097855682,0.8123879118195946,0.9082274705991815
NTP_transf_2,.,0.9027425453501173,0.7888803764911948,0.7275893648210593,0.712,0.392,0.8187108097855682,0.821109949781438,0.9053734022878144
Arginosuc_synth,.,0.9408533958742162,0.7080442158257684,0.6163524133918865,0.66,0.404,0.6831199118911814,0.7294228421982775,0.9041429114694172
tubulin,.,0.925824438807256,0.7439203239575449,0.5495510105754503,0.724,0.332,0.9234446809378617,0.781274184474309,0.9037358162124738
SRP54,.,0.9856171923610779,0.8550727810003338,0.7243971720154451,0.66,0.416,0.9043848486507006,0.8777405999051384,0.8998532131994451
cytochr_c552,.,0.8449680116147354,0.6879282040056978,0.7527572042267032,0.672,0.324,0.6831199118911814,0.7161806840203578,0.8985634702131748
DNA_topoisoIV,.,0.9077442205523382,0.6574149064244349,0.7485291971958572,0.656,0.404,0.6831199118911814,0.7417863076714838,0.8969880475072682
lyase_1,.,0.9054507889404746,0.9179818321111982,0.7163523357818774,0.7,0.352,0.881844418409954,0.8577528020997551,0.8955211921758316
ung,.,0.8764538362130857,0.7160993761628619,0.6260197023873459,0.75,0.3629032258064516,0.8532649771942218,0.777379338874438,0.8915901913966472
ghf15,.,0.8326592638682813,0.8675057458684524,0.7638480160087718,0.684,0.288,0.7686289900223604,0.7829160959161481,0.8910073589341821
Topoisom_bac,.,0.9757534421417061,0.7684360293312966,0.7456345301210654,0.6612903225806451,0.5241935483870968,0.6821261646739586,0.8254253485445356,0.8904845646651492
tyrosinase,.,0.8813797284576971,0.6872277552807348,0.6967132161153148,0.708,0.42,0.6831199118911814,0.7472483573878647,0.8902016514669283
