X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Syntaxin,.,0.839013072399613,1,1,0.946666666666667,0.672131147540984,0.884228217395481,1,0.927120118471902
BAG,.,0.768500442076156,0.800353958205705,0.811580173748139,0.925373134328358,0.660714285714286,0.884228217395481,0.863800862700722,0.785604740455356
gag_p17,.,0.902280400894833,0.741406303178818,0.646395707513934,0.909090909090909,0.6875,0.884228217395481,0.841664558387657,0.858178088434036
Dehydratase_SU,.,0.844466333972217,0.772241508406508,0.624240517514369,0.893333333333333,0.660714285714286,0.836828836953389,0.803108568486104,0.804345326640638
Bcl-2,.,0.811159307631599,0.766591790892383,0.785666211600993,0.891891891891892,0.489795918367347,0.884228217395481,0.80241786048326,0.823554594477842
SNAP-25,.,0.925060674210642,0.844598733918726,0.947375303473582,0.909090909090909,1,0,0.801528590836765,1
fusion_gly,.,0.897378992778434,0.878973521203458,0.927051609180648,0.921875,1,0,0.801293917846507,0.975392853109998
tetR,.,0.994250043020834,0.588047103668914,0.669421441776446,0.934426229508197,0.872340425531915,0.55788589130226,0.798824372234303,0.942472606278648
COX3,.,0.604054046035259,0.840786876318835,0.89315140310201,0.821917808219178,0.821428571428571,0.55788589130226,0.777437175951824,0.644560073355531
UcrQ,.,0.889041851854049,0.529848206384862,0.680211022879076,0.895522388059702,0.954545454545455,0.55788589130226,0.768518805238099,0.824347107472124
EF_TS,.,0.891189926597556,0.675719828466408,0.582620487147503,0.849315068493151,0.516666666666667,0.926628408029127,0.75052269450255,0.824221067676377
Ribosomal_S15,.,0.901295372145048,0.781771152406236,0.846641296062251,0.931506849315068,0.685185185185185,0.27894294565113,0.745865930283309,0.956831989278925
SRP54M,.,0.879915501148211,0.672997073037915,0.693768984471831,0.836065573770492,0.688888888888889,0.55788589130226,0.71930167756163,0.848453414033668
Rop,.,0.934513389863698,0.820093935062284,0.714188002175375,0.915254237288136,0.909090909090909,0,0.709215716531857,0.956468649913505
L15,.,0.892560659375872,0.425022122387857,0.467657867215432,0.786666666666667,0.826923076923077,0.884228217395481,0.706420739616815,0.730586086591504
RNA_pol_K,.,0.895308058840633,0.4009938057314,0.532508012668667,0.896551724137931,0.702127659574468,0.836828836953389,0.701225341117851,0.780385533623468
Elicitin,.,0.85832200945865,0.608740044925465,0.65602643033778,0.909090909090909,0.638297872340426,0.55788589130226,0.691257617553394,0.828377639897322
Ribosomal_L12,.,0.979320330162648,0.735280103464707,0.411438820706211,0.746478873239437,0.904761904761905,0.44211410869774,0.688771153239268,0.852500496877096
Skp1,.,0.867774725111706,0.680008168266287,0.684564401596643,0.797297297297297,0.618181818181818,0.55788589130226,0.684978161509836,0.834389499969903
parv,.,0.936892887024323,0.554353005241305,0.677693570191572,0.746666666666667,0.563636363636364,0.72105705434887,0.683477593260637,0.866813415934939
lacI,.,0.970929784065083,0.554829487441292,0.480860788404923,0.947368421052632,0.95,0.27894294565113,0.67866266041004,0.883528726540509
Colicin_Pyocin,.,0.93048426624259,0.768157375263767,0.730847904738557,0.828571428571429,0.641509433962264,0.27894294565113,0.67743784619317,0.938511314541891
Ribosomal_L30,.,0.950659553888787,0.613709073582465,0.488316679747554,0.783333333333333,0.897435897435897,0.44211410869774,0.676621490154146,0.836912591290129
protg,.,0.968045904713303,0.318766591790892,0.613882392748515,0.86,0.738095238095238,0.647685462377997,0.668556074225679,0.86201065756158
B,.,0.958065071236567,0.585392417126133,0.715273231336998,0.941176470588235,0.941176470588235,0,0.667061279474815,0.951867398217727
phc,.,0.892513188110822,0.673133210809339,0.815453362571181,0.918032786885246,0.5625,0.27894294565113,0.66692040129211,0.935133275597701
RhoGEF,.,0.765266462144633,0.825335239262133,0.846928781178866,0.893333333333333,0.525423728813559,0.27894294565113,0.665438615531746,0.840244034671424
