Rank              Template      Weighted Combined Scores
********************************************************
1            Peptidase_S21      1.0000
2                     RuvA      0.9647
3             Ald_Xan_dh_1      0.9456
4          Phage_integrase      0.9174
5          transketolase_C      0.9170
6                     NusB      0.9127
7                      BAG      0.9106
8                      RGS      0.9083
9                 capsid_n      0.9075
10                 MutS_D2      0.9066
11                      CH      0.9043
12                   Bcl-2      0.9039
13                     SIS      0.9016
14         Cytidylyl_trans      0.9008
15               Egg_lysin      0.9001
16                  DUF101      0.8986
17                   cyclo      0.8965
18         ribonuclease_T2      0.8931
19        tRNA-synt_1_edit      0.8927
20         transcript_fac2      0.8913
21               Band_41_M      0.8883
22            Mur_ligase_C      0.8872
23                    blmb      0.8864
24            Flavoprotein      0.8861
25                   gluts      0.8813
26                Syntaxin      0.8810
27                    mutT      0.8809
28               Hydrolase      0.8800
29           DMRL_synthase      0.8786
30                   DHHA2      0.8772
31               OMPdecase      0.8748
32          Sua5_yciO_yrdC      0.8714
33                   LMWPc      0.8689
34                 phoslip      0.8687
35            Ribosomal_S7      0.8682
36                    intb      0.8652
37                RNase_U2      0.8652
38                    dhfr      0.8640
39                    PGAM      0.8609
40           DAP_epimerase      0.8555
41        Amino_oxidase_D2      0.8552
42                   Clp_N      0.8548
43                arginase      0.8546
44                 gag_p17      0.8537
45               Amidase_2      0.8521
46          UPP_synthetase      0.8510
47             Bacteriofer      0.8496
48               laminin_G      0.8479
49          Dehydratase_SU      0.8466
50                     phc      0.8449
51                  galpha      0.8442
52                     CUB      0.8431
53                    STAS      0.8404
54                     uce      0.8390
55             adeno_fiber      0.8390
56           MoCF_biosynth      0.8389
57                     MIP      0.8387
58                   ghf22      0.8362
59                 hormone      0.8340
60                    YgbB      0.8330
61               MCR_alpha      0.8327
62         Cys-protease-3C      0.8327
63             Aldolase_II      0.8316
64       Dala_Dala_ligas_C      0.8316
65           RuBisCO_small      0.8306
66         Pep_deformylase      0.8304
67                     int      0.8289
68           formyl_transf      0.8271
69            Ribosomal_S8      0.8255
70          Endonuclease_3      0.8246
71                   DUF50      0.8241
72         Isochorismatase      0.8238
73                     dNK      0.8237
74                  RhoGEF      0.8231
75                     msb      0.8221
76                Fimbrial      0.8215
77          Dehydratase_MU      0.8209
78           Frataxin_Cyay      0.8202
79                    SCP2      0.8198
80                     TNF      0.8184
81                     SCP      0.8182
82                      C2      0.8157
83         AP_endonucleas1      0.8152
84                    fkbp      0.8149
85                     GAF      0.8120
86          Recep_L_domain      0.8116
87                    aspg      0.8108
88                    cytc      0.8104
89                     KSI      0.8063
90                    parv      0.8046
91                    IF4E      0.8029
92             hormone_rec      0.8011
93                   VAT-N      0.8008
94          Heme_oxygenase      0.7983
95                Orbi_VP7      0.7981
