X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
bv,.,1,0.69951937340533,0.567095000454422,0.678947368421053,0.414893617021277,NA,NA,NA
int,.,0.952620675829194,0.855307660357209,0.678404313892318,0.594736842105263,0.404761904761905,NA,NA,NA
DNA_polymeraseX,.,0.950961174347894,0.752803655135584,0.765298139009213,0.631284916201117,0.62,NA,NA,NA
Rhodanese,.,0.948070968747912,0.481486975612648,0.28436247133673,0.77037037037037,0.743243243243243,NA,NA,NA
Isochorismatase,.,0.940274653063952,0.914555272058387,0.54387312318127,0.50761421319797,0.409090909090909,NA,NA,NA
laminin_G,.,0.938977123382264,0.727466919836233,0.56583687302472,0.681081081081081,0.767441860465116,NA,NA,NA
blmb,.,0.936181587329873,0.884649617278824,0.75195967664285,0.569948186528497,0.404494382022472,NA,NA,NA
cryst,.,0.932272291894059,0.59683735833383,0.475757778656132,0.632183908045977,0.637362637362637,NA,NA,NA
hexapep,.,0.928401978036665,0.556725805494572,0.461424163662792,0.6125,0.554054054054054,NA,NA,NA
lipocalin,.,0.923401198405097,0.717795051326175,0.579131422503255,0.639751552795031,0.653846153846154,NA,NA,NA
hemopexin,.,0.920917514980064,0.692398979410195,0.555558010193211,0.637837837837838,0.48,NA,NA,NA
Astacin,Superfamily,0.913371795157374,0.747641369489114,0.68296951471944,0.61025641025641,0.379310344827586,NA,NA,NA
Histidine_kinase,.,0.9132826944067,0.504865602563339,0.48655501457371,0.670807453416149,0.771428571428571,NA,NA,NA
tRNA-synt_1_edit,.,0.907507852003653,0.861211653711506,0.42597726312627,0.641414141414141,0.609195402298851,NA,NA,NA
dhfr,.,0.898129997995233,0.625852963864001,0.600293027685331,0.51875,0.438202247191011,NA,NA,NA
PBP,.,0.89788497093088,0.606123538835817,0.260128568218698,0.607142857142857,0.558441558441558,NA,NA,NA
intb,.,0.89713318334707,0.500534029549634,0.508745480162858,0.698412698412698,0.491803278688525,NA,NA,NA
cyclo,.,0.896776780344374,0.783866373939364,0.642266481175304,0.634285714285714,0.458823529411765,NA,NA,NA
pilin,.,0.89468291270354,0.341185545600188,0.330394832477479,0.649253731343284,0.804878048780488,NA,NA,NA
sh2,.,0.893034548816074,0.401263869934134,0.346659319568933,0.619047619047619,0.836065573770492,NA,NA,NA
GAF,.,0.889993985699329,0.54266302735418,0.624611219581452,0.679389312977099,0.540540540540541,NA,NA,NA
eIF6,.,0.886168222217272,0.883522221562923,0.683484872660042,0.575129533678757,0.4625,NA,NA,NA
dCMP_cyt_deam,.,0.885628048916312,0.595858304159495,0.32044980036717,0.641221374045801,0.915492957746479,NA,NA,NA
DAP_epimerase,.,0.882576348205734,0.538539132498663,0.431521226558857,0.688405797101449,0.5,NA,NA,NA
MurB_C,.,0.882359165125966,0.604224767103779,0.52820631136724,0.63448275862069,0.635294117647059,NA,NA,NA
Flavin_Reduct,.,0.881128461007284,0.694030736367412,0.592274286971369,0.645569620253165,0.702380952380952,NA,NA,NA
TPK_B1_binding,.,0.879112556523289,0.275114222987003,0.0165857788663613,0.688888888888889,0.745098039215686,NA,NA,NA
Fimbrial,.,0.876344864455483,0.622737791491129,0.375155072821102,0.576923076923077,0.621951219512195,NA,NA,NA
VAT-N,.,0.874289978393068,0.64822286833205,0.405708836805247,0.666666666666667,0.602040816326531,NA,NA,NA
Hint,.,0.874223152830063,0.637512609031034,0.270143528510416,0.654929577464789,0.513513513513513,NA,NA,NA
biotin_lipoyl,.,0.871789588577284,0.225864831187325,0.0767897199233792,0.6,0.886363636363636,NA,NA,NA
PH,.,0.871650368654356,0.359164540437902,0.390280453417382,0.87,0.842105263157895,NA,NA,NA
CBM_20,.,0.870893012273628,0.36118198540319,0.23856434447749,0.540816326530612,0.618181818181818,NA,NA,NA
Amidase_2,.,0.870798342726037,0.551148163531713,0.508235263431834,0.657534246575342,0.855072463768116,NA,NA,NA
proteasome,.,0.869567638607355,0.65617397495995,0.634499234517865,0.543010752688172,0.456896551724138,NA,NA,NA
Recep_L_domain,.,0.869372730715256,0.496736486085562,0.413822129388599,0.568345323741007,0.691176470588235,NA,NA,NA
B_lectin,.,0.868904951774219,0.366700290749419,0.213761554922887,0.657407407407407,0.78125,NA,NA,NA
Hpr_kinase,.,0.86780232998463,0.661306592298106,0.245835251804196,0.618421052631579,0.697368421052632,NA,NA,NA
cah,.,0.866443543536854,0.559188275084554,0.379648779910515,0.553672316384181,0.376146788990826,NA,NA,NA
Ribosomal_S30AE,.,0.866382286770766,0.357681125022249,0.208184985397974,0.57843137254902,0.661538461538462,NA,NA,NA
ghf6,.,0.866332167598512,0.781700587432505,0.0456307766218899,0.469387755102041,0.311827956989247,NA,NA,NA
Amino_oxidase_D2,.,0.865725168734546,0.42051860202931,0.408931331506745,0.553571428571429,0.8125,NA,NA,NA
TNF,.,0.863815071391976,0.518394351154098,0.354749438053472,0.678082191780822,0.736842105263158,NA,NA,NA
PARP,.,0.861548571046711,0.548270337625347,0.066711469360645,0.476470588235294,0.51,NA,NA,NA
MoCF_biosynth,.,0.860718820306061,0.616448110128762,0.635437408626657,0.541666666666667,0.576923076923077,NA,NA,NA
Cys-protease-3C,.,0.860078408660593,0.682074408117252,0.459535175027672,0.624242424242424,0.657894736842105,NA,NA,NA
MIF,.,0.858524714320718,0.474040230226069,0.452570691522985,0.504347826086956,0.873015873015873,NA,NA,NA
SCP2,.,0.856391865101463,0.522280899543107,0.395643662744789,0.626016260162602,0.848484848484849,NA,NA,NA
Cytidylyl_trans,.,0.855834985409752,0.783480685931291,0.80213247032912,0.568527918781726,0.389380530973451,NA,NA,NA
OMPdecase,.,0.85564564631457,0.912715836942975,0.834736397935884,0.560606060606061,0.5625,NA,NA,NA
DUF101,.,0.852387900118058,0.549071381949799,0.514185034519719,0.626865671641791,0.520547945205479,NA,NA,NA
CBD_6,.,0.850617022698416,0.471607428944402,0.281817553267534,0.638157894736842,0.80952380952381,NA,NA,NA
adeno_fiber,.,0.850238344508052,0.553847979588205,0.542602123399767,0.521739130434783,0.484536082474227,NA,NA,NA
RuBisCO_small,.,0.850171518945047,0.422387705453033,0.431308465524873,0.617886178861789,0.888888888888889,NA,NA,NA
mutT,.,0.849720446394761,0.438230582092208,0.219524589934297,0.641379310344828,0.528735632183908,NA,NA,NA
msb,.,0.848523155057581,0.485610870468164,0.371145992381955,0.75,0.758064516129032,NA,NA,NA
CASc,.,0.847860468224445,0.682905120750016,0.461323697469601,0.624309392265193,0.333333333333333,NA,NA,NA
ISP,.,0.846618626511928,0.480596926363257,0.430794731124137,0.536585365853659,0.776119402985075,NA,NA,NA
SIS,.,0.845543848706925,0.856820744081174,0.722869939733669,0.556149732620321,0.689655172413793,NA,NA,NA
HIT,.,0.844836611498452,0.43176289087996,0.245088752038974,0.483050847457627,0.656716417910448,NA,NA,NA
cat3,.,0.84082707771813,0.664006408354597,0.478155901662364,0.621761658031088,0.656488549618321,NA,NA,NA
Frataxin_Cyay,.,0.839897088632972,0.563935204414644,0.134303484412754,0.683453237410072,0.486111111111111,NA,NA,NA
MMOB,.,0.839718887131624,0.294635969856997,0.0719615382535782,0.563829787234043,0.964912280701754,NA,NA,NA
Cu_nir,.,0.839596373599448,0.7355663680057,0.522578890254354,0.525252525252525,0.436363636363636,NA,NA,NA
DHHA2,.,0.839574098411779,0.575298166498546,0.514661582126361,0.644628099173554,0.847457627118644,NA,NA,NA
PAN,.,0.838983805938565,0.319794695306471,0.334112023641988,0.58695652173913,0.816326530612245,NA,NA,NA
RNA_pol_A_bac,.,0.835703784554385,0.702367531003385,0.525622834226205,0.626262626262626,0.547826086956522,NA,NA,NA
Binary_toxA,.,0.834539905998708,0.806888981190293,0.813721761767471,0.549707602339181,0.494949494949495,NA,NA,NA
