,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
phoslip,.,0.9923426108487321,0.76107140847448,0.7483428877553707,0.7083333333333334,0.5416666666666666,0.0,0.7088027365554141,1.0
PTS_EIIA_2,.,0.9174767297904535,0.5959709639299965,0.6022141603103285,0.7083333333333334,0.40625,0.0,0.5494581205469757,0.9827624830970055
Ribosomal_L14,.,0.9653812646155258,0.500140678633729,0.36850560217395584,0.75,0.4895833333333333,0.0,0.5015994956775572,0.9668846911720909
DAP_epimerase,.,0.9340409922509055,0.6223622756175792,0.6222930664007837,0.6666666666666666,0.4166666666666667,0.0,0.5591696679718406,0.9667438949872568
DNA_PPF,.,0.9159177403824108,0.5731810252658815,0.6819138356329293,0.7291666666666666,0.5104166666666666,0.0,0.6045631536288608,0.9616738582120565
Bacteriofer,.,0.8729538264019442,1.0,1.0,0.6458333333333334,0.4375,0.0,0.7712956649780649,0.9604262440859148
Fimbrial,.,0.9072859828511164,0.3638512182769672,0.6285557133688724,0.78125,0.5625,0.0,0.5534906028147156,0.9581027952731273
capsid_n,.,0.9489430968866064,0.678464914748747,0.9307607235171178,0.625,0.53125,0.0,0.6973942936707928,0.9523281872737202
TNF,.,0.8845201522307304,0.3531033706600644,0.4499419424771738,0.7916666666666666,0.4895833333333333,0.0,0.46957991821726436,0.9499063457613525
Elicitin,.,0.9778531798798661,0.7844803331270028,0.803755502557317,0.6666666666666666,0.59375,0.0,0.7316417532514545,0.9481787517548114
TIR,.,0.9274726030537852,0.5932136627089072,0.7337121619711596,0.7083333333333334,0.5520833333333334,0.0,0.6364066604361649,0.9466923716043248
YgbB,.,0.9223256453757623,0.5596196049743954,0.5409662724514435,0.6666666666666666,0.4270833333333333,0.0,0.514753348381062,0.9397464703089605
Frataxin_Cyay,.,0.9047870145352837,0.6742445557368743,0.6249708434430271,0.6875,0.4583333333333333,0.0,0.5859982616229602,0.9391962248203949
RNase_U2,.,0.9385574762712642,0.42119182938495353,0.6750872268593551,0.6875,0.5416666666666666,0.0,0.559772668095999,0.9381282133761005
hemopexin,.,0.8211976706864139,0.4283383039783924,0.6641299333239447,0.7395833333333334,0.4270833333333333,0.0,0.5036532674557216,0.9349619860505146
Flavoprotein,.,0.8990095831995965,0.6768893140509805,0.7273679303176819,0.6145833333333334,0.40625,0.0,0.578134915628398,0.9299654357969716
MIF,.,0.9305905818698702,0.6176354735242786,0.7967721397500677,0.6354166666666666,0.5208333333333334,0.0,0.6322613799550201,0.9273153941098099
Phage_integrase,.,0.8879934889265899,0.6065499971864262,0.7459484079101362,0.6666666666666666,0.4791666666666667,0.0,0.5971473921376184,0.9260358221441017
RGS,.,0.9445297812829566,0.673850655562432,0.7447713085677466,0.6458333333333334,0.5416666666666666,0.0,0.6473563230779942,0.924925725669875
Ribosomal_S7,.,0.9398986656884771,0.6968656800405142,0.7129376902077164,0.6666666666666666,0.5520833333333334,0.0,0.6527950895545563,0.9241961731041058
fkbp,.,0.9696226328579943,0.5681165944516328,0.5768669333845197,0.6458333333333334,0.53125,0.0,0.5682320408273093,0.9200095582729733
DUF50,.,0.9197120454858085,0.600416408755838,0.7583166155441828,0.6145833333333334,0.4895833333333333,0.0,0.5960127584184165,0.9136126638901293
lipocalin,.,0.8149617130542437,0.5330594789263411,0.5969945040241544,0.7708333333333334,0.4791666666666667,0.0,0.5386939717069357,0.9134187430894101
gln-synt_N,.,0.9851781374661837,0.5538236452647565,0.6485654053841292,0.6458333333333334,0.6041666666666666,0.0,0.6128040499881197,0.9110100335867324
Amidase_2,.,0.9054060250355357,0.6010916661977364,0.5116033767676362,0.625,0.3958333333333333,0.0,0.4910043167573073,0.9090627512159565
Peptidase_S21,.,0.8448117749552937,0.5164594001463046,0.6493026579687304,0.6666666666666666,0.4166666666666667,0.0,0.5078008983292513,0.9067113980687922
Colicin_Pyocin,.,0.8649410793709019,0.7419953857408128,0.8430401132370896,0.6914893617021277,0.5531914893617021,0.0,0.6913563513659414,0.9064415049728503
MutS_D2,.,0.9039158145719657,0.4833155140397268,0.5089671716210024,0.6875,0.4895833333333333,0.0,0.5014989579953728,0.9062042738740258
Peptidase_C15,.,0.797881608510248,0.5533734736368237,0.6071934331484813,0.7395833333333334,0.4270833333333333,0.0,0.5173363106077835,0.9060710304330007
int,.,0.8097574395891604,0.7150413595183137,0.7886299268063711,0.6666666666666666,0.4166666666666667,0.0,0.6003363002811929,0.90280301545631
cytc,.,1.0,0.47853244049293703,0.534801440204841,0.5833333333333334,0.5208333333333334,0.0,0.5150097070432628,0.9008875547588922
Pep_deformylase,.,0.8970723095969554,0.5341286365426811,0.6657943682541516,0.6354166666666666,0.4791666666666667,0.0,0.5437546771185306,0.8994875421064585
urease_gamma,.,0.9371818973818148,0.7187552754487634,0.8040226975137885,0.6875,0.6666666666666666,0.0,0.7278593835232253,0.8989310055234376
Aldolase_II,.,0.8382319226007611,0.5621518203815192,0.7008154890263231,0.6458333333333334,0.4166666666666667,0.0,0.5291254236924471,0.8969743952053925
hormone,.,0.8906070888165436,0.6601766923639619,0.9593307499886901,0.6041666666666666,0.5520833333333334,0.0,0.682711634793062,0.8914659779222781
PGM_PMM_III,.,0.9111605300563987,0.542456811659445,0.6598348012357319,0.6666666666666666,0.5625,0.0,0.5837931719191009,0.8907126657165673
IF4E,.,0.8584758585904901,0.48112092735355155,0.7501269137704571,0.65625,0.5,0.0,0.5542638682725083,0.8902615968449868
NusB,.,0.936322160575909,0.9259467672049977,0.8643519142113518,0.5416666666666666,0.5,0.0,0.7138535575851895,0.8889689556311566
Dehydratase_MU,.,0.7988445137328626,0.6763828709695547,0.38573504427732763,0.6979166666666666,0.3229166666666667,0.0,0.44299159691157697,0.8870925949320347
Bcl-2,.,0.9036865514237241,0.7863372910922279,0.5904601381367766,0.6041666666666666,0.4375,0.0,0.5775392540518403,0.8869374171895685
Heme_oxygenase,.,0.7918061350818468,0.7410387710314551,0.7796063845639322,0.65625,0.40625,0.0,0.5936721575376138,0.8856611160321617
transketolase_C,.,0.9296276766472558,0.7005233245174705,0.6857926609054724,0.59375,0.5104166666666666,0.0,0.6074702167314936,0.884016591787236
UreE,.,0.902047319913797,0.4364413932811879,0.4956918327646857,0.6875,0.53125,0.0,0.49528075045309966,0.8840112814952558
gag_p17,.,0.9734742537484524,0.8286534241179441,0.6881516391441889,0.5520833333333334,0.5208333333333334,0.0,0.6511891359444212,0.883812767363192
UPP_synthetase,.,0.8536613324774175,0.7004670530639788,0.8601219322995354,0.6458333333333334,0.53125,0.0,0.6597864227420017,0.8823531066949939
SpoU_methylase_N,.,0.6921912971708927,0.46165100444544394,0.6859844309225382,0.8297872340425532,0.46808510638297873,0.0,0.5211812391181789,0.8819247631629207
Levi_coat,.,0.9283552661745151,0.503404422936243,0.6013725754306902,0.75,0.7083333333333334,0.0,0.6292723690727398,0.8804159603312531
Ribosomal_S8,.,0.9506854968132422,0.5852231163130933,0.7448869891084956,0.5833333333333334,0.5729166666666666,0.0,0.612644682712831,0.8762220640005061
SCP2,.,0.8974276674767298,0.6115018850936905,0.6211619734599293,0.6354166666666666,0.5208333333333334,0.0,0.5665980029433769,0.8718511596281465
UCR_14kD,.,0.9653812646155258,0.7072196274829773,0.8202833534270552,0.625,0.6979166666666666,0.0,0.728370978297063,0.8684410052481374
CASc,.,0.7879659773488009,0.5269821619492422,0.6577778805822059,0.6770833333333334,0.4270833333333333,0.0,0.502602231344661,0.8678661430293849
RhoGEF,.,0.8249690494749873,0.7981542963254725,0.8778553042441672,0.6354166666666666,0.5104166666666666,0.0,0.676737477162459,0.8658318940395757
Cys-protease-3C,.,0.8424503645284057,0.46874120758539156,0.48990847026414575,0.6666666666666666,0.4479166666666667,0.0,0.45334574340580086,0.8631633303581076
IF3,.,0.889036636251089,0.7224691913792115,0.9074597079769222,0.8297872340425532,0.5319148936170213,0.824135474298114,1.0,0.8601330835744466
Fz,.,0.9334334449080655,0.549715829159866,0.6419188349952294,0.5833333333333334,0.5416666666666666,0.0,0.5555148892194606,0.8600199403624867
Zn_dep_PLPC,.,0.7660713466917328,0.658826177480162,0.6564699185865607,0.625,0.3333333333333333,0.0,0.4912384777298101,0.8592066618391291
BRCT,.,0.8260236599568984,0.41359518316358174,0.4805234838398681,0.6702127659574468,0.43617021276595747,0.0,0.4261040575614875,0.8576763676411148
SAM_PNT,.,0.7281512219725801,0.5169658432277302,0.6669074675801834,0.7553191489361702,0.46808510638297873,0.0,0.5204875678998145,0.8567269029800224
MoCF_biosynth,.,0.9152643404099225,0.5960835068369803,0.4354171336529415,0.6354166666666666,0.5208333333333334,0.0,0.5105837335920232,0.8525118526277798
Mur_ligase_C,.,0.9090398459351644,0.6870744471329675,0.6165169115698177,0.5833333333333334,0.5104166666666666,0.0,0.5727210003218612,0.8500285345464923
SIS,.,0.8737218579485533,0.6063811828259502,0.6273899367130829,0.65625,0.5625,0.0,0.5787896397183162,0.8497579614522169
Skp1,.,0.914014856252006,0.8125035169658411,0.6576998230542679,0.6041666666666666,0.5625,0.0,0.6474275506673364,0.8489479723802643
ung,.,0.828316291439314,0.45399808677058,0.6631769107161433,0.625,0.46875,0.0,0.4910980843249839,0.847158972769389
Ala_racemase_N,.,0.7990049979366316,0.6229249901524944,0.528899560102124,0.6770833333333334,0.4479166666666667,0.0,0.5022773961268826,0.8425874545666778
Propep_M14,.,0.8952038149387868,0.666422823701535,0.7693284522245245,0.6276595744680851,0.6276595744680851,0.0,0.6582405515141405,0.8418015558281036
