Rank              Template      Weighted Combined Scores
********************************************************
1           Fapy_DNA_glyco      1.0000
2                Band_41_M      0.9892
3                hemopexin      0.9763
4                       bv      0.9695
5                    START      0.9665
6                      RGS      0.9575
7                      utg      0.9451
8                  gag_p17      0.9272
9                 Syntaxin      0.9170
10                    parv      0.9168
11                capsid_n      0.9124
12                    cytc      0.9090
13                     BAG      0.9075
14                    NusB      0.9034
15                    intb      0.9001
16                   ghf22      0.8997
17          Sua5_yciO_yrdC      0.8985
18              PTS_EIIA_2      0.8974
19            Ribosomal_S7      0.8972
20            Ald_Xan_dh_1      0.8963
21                     SCP      0.8946
22                   Bcl-2      0.8922
23                    SUI1      0.8870
24           Peptidase_S21      0.8866
25                      CH      0.8839
26                Elicitin      0.8808
27                  DUF101      0.8770
28         transketolase_C      0.8767
29           DAP_epimerase      0.8757
30               RNA_pol_H      0.8735
31                   LMWPc      0.8729
32            Arch_histone      0.8728
33                 phoslip      0.8703
34                  SRF-TF      0.8689
35          Heme_oxygenase      0.8684
36            Ribosomal_S8      0.8667
37             Bacteriofer      0.8656
38                     uce      0.8635
39                     ung      0.8630
40                     msb      0.8620
41                rnasemam      0.8612
42                     phc      0.8609
43                 DNA_PPF      0.8603
44               Egg_lysin      0.8584
45                    PGAM      0.8575
46         Pep_deformylase      0.8572
47           RuBisCO_small      0.8560
48           Ribosomal_L22      0.8560
49          Colicin_Pyocin      0.8559
50         S-AdoMet_syntD2      0.8559
51                    STAS      0.8544
52                     CUB      0.8542
53                 HMG_box      0.8528
54         transcript_fac2      0.8528
55                 hormone      0.8509
56              gln-synt_N      0.8481
57         Ribosomal_S30AE      0.8475
58           MoCF_biosynth      0.8475
59                    fkbp      0.8472
60        tRNA-synt_1_edit      0.8471
61                     TIR      0.8438
62                    mutT      0.8433
63             PGM_PMM_III      0.8427
64            Mur_ligase_C      0.8420
65                      C2      0.8400
66                     GAF      0.8397
67              tcl1_mtcp1      0.8381
68                     MIF      0.8378
69                 Jacalin      0.8378
70       Dala_Dala_ligas_C      0.8375
71                      Fz      0.8373
72                   DHHA2      0.8367
73            urease_gamma      0.8346
74                     SIS      0.8341
75                     sh2      0.8329
76                   DUF50      0.8326
77                   cyclo      0.8319
78                     KSI      0.8312
79                    dhfr      0.8264
80            Flavoprotein      0.8258
81                     IF3      0.8255
82                  RhoGEF      0.8244
83                     hpr      0.8239
84         tryp_alpha_amyl      0.8237
85        Histidine_kinase      0.8236
86                  EFTU_C      0.8232
87        Amino_oxidase_D2      0.8227
88          Ala_racemase_N      0.8226
89          UPP_synthetase      0.8216
90                     PDZ      0.8205
91                    mdm2      0.8191
92         Isochorismatase      0.8189
93               Amidase_2      0.8179
94           Frataxin_Cyay      0.8173
95                   Clp_N      0.8168
96                   gluts      0.8167
97                    blmb      0.8158
98                    PABP      0.8138
99               Rhodanese      0.8128
100          Ribosomal_L14      0.8110
101                   MATH      0.8109
102        Phage_integrase      0.8094
103          Peptidase_S11      0.8086
104               Fimbrial      0.8076
105          formyl_transf      0.8072
106         Recep_L_domain      0.8071
107         LysR_substrate      0.8061
108            Binary_toxA      0.8055
109                Astacin      0.8051
110                   CARD      0.8041
111               UCR_14kD      0.8037
112             Mur_ligase      0.8026
113                 CBM_20      0.8015
114                   YgbB      0.8015
115                   SCP2      0.8004
116                   ACPS      0.8000
117               RNase_U2      0.7996
118                     PH      0.7990
119                 MurB_C      0.7973
120                   DSBA      0.7971
121                 SRP54M      0.7968
122                Plectin      0.7958
123                    RRF      0.7957
124        Ribosomal_L5_NC      0.7939
125        ribonuclease_T2      0.7920
126                dutpase      0.7914
127                   Skp1      0.7907
128           tRNA-synt_2d      0.7906
129            Zn_dep_PLPC      0.7905
130                SNAP-25      0.7901
131                    TNF      0.7898
132          DMRL_synthase      0.7869
133                  EF_TS      0.7844
134                   IF4E      0.7836
135              Hydrolase      0.7803
136                  pilin      0.7801
137                   eIF6      0.7799
138                   E2_N      0.7798
139                    GEL      0.7777
140           fibrinogen_C      0.7764
141          Ribosomal_S15      0.7758
142                  sugbp      0.7749
143          Bac_rhodopsin      0.7724
144               B_lectin      0.7721
145             tyrosinase      0.7712
146                    HIT      0.7695
147           Ribosomal_L4      0.7692
148            NHase_alpha      0.7673
149                    PAN      0.7673
150                    ISP      0.7667
151                    BIR      0.7651
152         Me-amine-deh_L      0.7649
153                    cah      0.7635
154            hormone_rec      0.7629
155                hexapep      0.7629
156              laminin_G      0.7619
157                  SRP54      0.7616
158                  SRP19      0.7614
159                   PARP      0.7594
160                 Cu_nir      0.7587
161          Peptidase_C15      0.7578
162              OMPdecase      0.7575
163                     PX      0.7566
164                  HSP20      0.7563
165         Endonuclease_3      0.7545
