,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
citrate_synt,.,0.958749213477601,0.8661325490593871,0.8804092274628661,0.6612377850162866,0.4201954397394137,0.0,0.6934086071164061,1.0
aconitase,.,0.9222237301518759,0.7894799114311348,0.8660342358010811,0.6188925081433225,0.38436482084690554,0.0,0.6324765106760145,0.9349123069626933
ghf15,.,0.8407369252217683,0.8972330679647775,0.8488740377699914,0.6319218241042345,0.2703583061889251,0.0,0.6052664666201968,0.9278700025611134
KAS,.,0.9785695779304898,0.8926186974967478,0.8143368177975712,0.7068403908794788,0.36156351791530944,0.722979784543799,0.8978250538876611,0.844689497191339
Peptidase_S11,.,0.7866735346008166,0.7288169971096856,0.6868581242109016,0.6557377049180327,0.35081967213114756,0.0,0.5222724437986375,0.7825372661325499
Transpeptidase,.,0.966648365884051,0.809965688014469,0.8528371155476479,0.6840390879478827,0.42996742671009774,0.722979784543799,0.8947236956586856,0.7672221208006629
Fe-ADH,.,0.920277472764734,0.9104169835877138,0.833815373121476,0.7198697068403909,0.3550488599348534,0.8102796342825215,0.9193864787405129,0.7669222126680241
icd,.,0.9603438490864001,0.839747815357575,0.7596480727504709,0.6938110749185668,0.41042345276872966,0.722979784543799,0.8711825752130117,0.7568730998169066
COX1,.,0.91557992918214,0.9405878674171435,0.9340481760836951,0.6775244299674267,0.34527687296416937,0.8102796342825215,0.9411817750369115,0.7522430953505245
pgk,.,0.9498753901767978,0.7992157260449966,0.8194697016556359,0.6547231270358306,0.38762214983713356,0.722979784543799,0.855465030634338,0.7381265533503004
galpha,.,0.9786004219461338,0.897199263052926,1.0,0.6482084690553745,0.4364820846905538,0.8613984774957205,1.0,0.7316782621708604
gluts,.,0.6622765351066585,0.6341125365515689,0.5483610253032988,0.760655737704918,0.3344262295081967,0.0,0.44257905906267725,0.7155229910640567
OTCace,.,0.9398048190690041,0.917279380694016,0.9303132015470875,0.6807817589576547,0.3973941368078176,0.8976822464179512,0.9826342324568214,0.7148686231601059
Bac_rhodopsin,.,0.6512806435295423,0.7714449909571947,0.5816132960266435,0.7540983606557377,0.32131147540983607,0.0,0.48401909744911037,0.711854076361422
DNA_photolyase,.,0.9262735494059442,0.817808427564527,0.8736889900390168,0.6644951140065146,0.38762214983713356,0.8102796342825215,0.8987903163532434,0.704527933143399
SRP54,.,0.9242902792000295,0.9449994084140451,0.8543688911204984,0.6754098360655738,0.3901639344262295,0.8094531571362179,0.9338924558227795,0.7037695838676706
NO_synthase,.,0.8880516452197944,0.8176225005493316,0.8990836150133957,0.6547231270358306,0.36482084690553745,0.722979784543799,0.859432504318133,0.7024973950672123
Peptidase_M17,.,0.9667223915215969,0.944475432280314,0.857660484865685,0.6254071661237784,0.33876221498371334,0.9258321530689176,0.9517146798376228,0.7018676268093523
phosfruc,.,0.9624073137329894,0.8949005290468737,0.8336641027413625,0.6416938110749185,0.40716612377850164,0.8102796342825215,0.9195059812542283,0.6965715101800172
dNK,.,0.6373514860646736,0.7020266044656405,0.630601552181459,0.7475409836065574,0.3344262295081967,0.0,0.4757848249927203,0.6936642579126732
AMP-binding,.,0.8937485349092568,0.8443452833696786,0.939668678753743,0.6514657980456026,0.3355048859934853,0.8613984774957205,0.9124037115481718,0.6910955060583545
S_T_dehydratase,.,0.9649303542126757,0.893480722749016,0.7921816045029999,0.6547231270358306,0.3811074918566775,0.8976822464179512,0.929574214507812,0.6905835148920462
Isochorismatase,.,0.6355625331573167,0.6204891570745364,0.7223756150570576,0.7377049180327869,0.3639344262295082,0.0,0.48411324691337126,0.687182275173281
mofe,.,0.9212552280606516,0.7983537007927277,0.7201222958410803,0.6449511400651465,0.3583061889250814,0.722979784543799,0.8057318020208551,0.6859919410534855
NTP_transf_2,.,0.8950378147631796,0.8421648665551152,0.8898341695804938,0.6905537459283387,0.40390879478827363,0.8102796342825215,0.9140763290050874,0.6858160614677431
Gly_radical,.,0.7619952376839845,0.8650338894241357,0.7967676833831201,0.7166123778501629,0.16612377850162866,0.8613984774957205,0.8063132279061722,0.6847843057989809
tubulin,.,0.9419207185421883,0.735916028598956,0.6493218453955467,0.6938110749185668,0.3583061889250814,0.8976822464179512,0.8386043613739411,0.6827441401713656
thymid_phosphorylase,.,0.8610230343108829,1.0,0.8445328901647874,0.7100977198697068,0.34201954397394135,0.8613984774957205,0.9399303570579017,0.6773290115255984
alk_phosphatase,.,0.8901367006773345,0.8837787130470096,0.7697298842837685,0.6807817589576547,0.2964169381107492,0.9258321530689176,0.8888708570331415,0.6744702336905923
tRNA-synt_1_edit,.,0.576659716481808,0.45538596758110034,0.669341929881373,0.7442622950819672,0.28524590163934427,0.0,0.38069705200455806,0.6694684825277668
Amidase,.,0.9391200819217056,0.8605716410594504,0.8048287057756238,0.6058631921824105,0.3517915309446254,0.8102796342825215,0.8668882342536303,0.6642509618889575
aldedh,.,0.885759934857439,0.8810067102750077,0.714669861264231,0.6872964169381107,0.34527687296416937,0.8102796342825215,0.8526227880986387,0.6634888133827136
PEPCK_ATP,.,0.8460729399281951,0.7772932407078784,0.8506361300009582,0.6644951140065146,0.30618892508143325,0.8102796342825215,0.8320908127322942,0.6620234940448291
DNA_ligase_N,.,0.9637305220041207,0.7936717205009911,0.9213677825927179,0.6156351791530945,0.4560260586319218,0.8102796342825215,0.9226452692053054,0.6613227499526853
serpin,.,1.0,0.7519902641853905,0.728941822909655,0.6514657980456026,0.40716612377850164,1.0,0.9163820579830703,0.6591768713239046
peroxidase,.,0.8793690548159846,0.8315670266889786,0.8507665700040145,0.6775244299674267,0.38762214983713356,0.8102796342825215,0.8860431763593292,0.6539874755960755
tms,.,0.8181097553452678,0.68833561516489,0.7885388051428898,0.7180327868852459,0.3737704918032787,0.7221546578599718,0.7888419743235076,0.6480330849769211
urease,.,0.8711737998593512,0.6962121596268025,0.6940017913517853,0.6384364820846905,0.3127035830618892,0.722979784543799,0.7374747486973465,0.6467673004462209
arginase,.,0.9148859388301481,0.9304971012288076,0.8112579849778719,0.6327868852459017,0.35081967213114756,0.8605715492123784,0.9049067360614916,0.6467240653712316
aakinase,.,0.88452925863324,0.8852323242567173,0.9255971071548555,0.6970684039087948,0.46905537459283386,0.8102796342825215,0.9555360259661452,0.6401876612638099
ptpase,.,0.8480407881262876,0.7701435018508268,0.8051495299672414,0.6688524590163935,0.3737704918032787,0.7221546578599718,0.8122900649031001,0.6356868839894431
PGI,.,0.8904914068572415,0.7979480418504864,0.8594736676138879,0.6612377850162866,0.36156351791530944,0.9258321530689176,0.9036413044258914,0.632915071579247
glnasn,.,0.913630587393434,0.8056724642090527,0.8111273933709069,0.6710097719869706,0.41042345276872966,0.8976822464179512,0.9074914045057683,0.6302772820463713
actin,.,0.9601402785831493,0.829437317242206,0.734062911983622,0.6188925081433225,0.38436482084690554,0.8976822464179512,0.8823265219889167,0.6287152699842843
6PGD,.,0.9263444906419255,0.88352517620811,0.8783393186556493,0.6351791530944625,0.4560260586319218,0.8102796342825215,0.9312293330900632,0.6218969959326391
lyase_1,.,0.9229763241335915,0.9283842942379561,0.8063147272888248,0.6156351791530945,0.3713355048859935,0.8613984774957205,0.9064543694779373,0.6212769673373957
Extradiol_dioxy,.,0.8444844731225247,0.764176934908647,0.7612725995946718,0.7016393442622951,0.3770491803278688,0.8094531571362179,0.8330118343590298,0.6204747981627083
ghf6,.,0.8884094358012657,0.8537768537768522,0.8371938359063549,0.6384364820846905,0.38762214983713356,0.8102796342825215,0.8797018972601125,0.6192254236768514
