X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
PAN,.,0.950589325503426,0.820774949957105,0.967747794372509,0.555555555555556,0.574074074074074,0.732486760358964,1,0.983802849267071
PH,.,0.954014910143479,0.698670288818988,0.658716618263892,0.841463414634146,0.509090909090909,0.885621874580711,0.983538556644964,0.946945855227246
PDZ,.,0.941150746548385,0.914641120960823,0.86288966236763,0.626373626373626,0.433962264150943,0.732486760358964,0.972470104266644,0.985141995379608
tcl1_mtcp1,.,0.90065283938277,0.737489276522734,0.839651183812472,0.565217391304348,0.65625,0.732486760358964,0.947998529049633,0.898806706927988
SUI1,.,0.97871243830824,0.731198169859878,0.750786432383454,0.488372093023256,0.703703703703704,0.732486760358964,0.933734767001902,0.928055330023815
PTS_EIIA_2,.,0.857296807646655,0.925507577923934,0.911497037538471,0.473118279569892,0.483870967741935,0.732486760358964,0.93327999712827,0.896988255601863
sh2,.,0.983298973365819,0.719402344867029,0.774452905064717,0.588235294117647,0.413793103448276,0.885621874580711,0.927458574688202,0.965367124261889
Rhodanese,.,0.879609962308157,0.725693451529883,0.813168106623993,0.419354838709677,0.524590163934426,1,0.926725878586669,0.843636532702954
dsrm,.,0.901199475229587,0.743494423791822,0.317840643890786,0.764705882352941,0.891304347826087,0.732486760358964,0.92323264819872,0.798136434591211
S-AdoMet_syntD2,.,0.802914349971887,0.957463540177294,0.979246671268081,0.376344086021505,0.6,0.630929753571457,0.921964488606748,0.850835613266048
MurB_C,.,0.814149018137898,0.829711181012295,0.833560387199973,0.532608695652174,0.584615384615385,0.732486760358964,0.915899433085536,0.83442969294893
L15,.,0.8584837883426,0.654060623391478,0.575096773626306,0.58695652173913,0.765625,0.885621874580711,0.915504593280667,0.780602631674212
TPK_B1_binding,.,0.941697382395202,0.650271661424078,0.627608186681158,0.535714285714286,0.833333333333333,0.732486760358964,0.914052386355312,0.858010903660721
Bac_DNA_binding,.,0.858150600778826,0.667143265656277,0.684087425393575,0.597222222222222,0.879310344827586,0.630929753571457,0.912742846437992,0.814444554607295
lipocalin,.,0.949824035317882,0.732556476980268,0.913348208634328,0.571428571428571,0.415384615384615,0.732486760358964,0.912185971207439,0.975803575327546
hip,.,0.908670165136086,0.666070917929653,0.765630346362639,0.536585365853659,0.931818181818182,0.5,0.910267165471675,0.869216703192297
Clp_N,.,0.787441952479124,0.766371175293107,0.973507409231602,0.430232558139535,0.522388059701492,0.815464876785729,0.906165202450133,0.818922400998821
DUF50,.,0.906259761354407,0.704818415784959,0.992589701044816,0.558139534883721,0.472727272727273,0.630929753571457,0.896978292042588,0.953021966299468
UCR_14kD,.,0.758714937214968,0.862239062053188,1,0.452380952380952,0.661016949152542,0.5,0.887432102854384,0.823128648370789
parv,.,0.770371295891381,0.81441235344581,0.920592877722727,0.432432432432432,0.56,0.732486760358964,0.886187554112319,0.800399367420863
avi,.,0.88746590033527,0.531241063768945,0.717944696721645,0.528735632183908,0.617647058823529,0.946394630357186,0.885921614974323,0.821477708545657
GAF,.,0.851309843610087,0.707963969116385,0.908947164179718,0.462365591397849,0.46969696969697,0.815464876785729,0.881724037706067,0.861414228173204
Ribosomal_L4,.,0.82142708398409,0.764798398627395,0.848744060750524,0.417582417582418,0.475409836065574,0.885621874580711,0.881059834492627,0.816898069419003
Orbi_VP7,.,0.891427708710772,0.72605090077209,0.819311929747515,0.6,0.540983606557377,0.630929753571457,0.87956258511775,0.905717847779457
hexapep,.,0.89852876866371,0.649842722333429,0.737325223669284,0.522222222222222,0.446428571428571,0.946394630357186,0.87711969626091,0.860373894593613
MBD,.,0.926875741862935,0.524163568773235,0.489887654271203,0.776315789473684,0.745454545454545,0.732486760358964,0.875414323728207,0.846997932615226
Ribosomal_L14,.,0.895988213489931,0.596868744638262,0.750391657806902,0.63855421686747,0.410714285714286,0.885621874580711,0.870184424699113,0.880824059460317
cryst,.,0.906780366922805,0.645124392336287,0.858554355190656,0.483516483516484,0.392857142857143,0.885621874580711,0.868440300066989,0.895303087204751
Ribosomal_L6_D,.,0.976671664480123,0.666142407778096,0.854678585115831,0.675675675675676,0.68,0.315464876785729,0.867267786919377,1
CAT_RBD,.,0.975453447450074,0.36509865599085,0.518498732135147,0.781818181818182,0.880952380952381,0.630929753571457,0.862394731342106,0.873514955438007
