Rank              Template      Weighted Combined Scores
********************************************************
1                   CBM_20      1.0000
2                      uce      0.9967
3                RNA_pol_H      0.9891
4                       PH      0.9842
5                      cks      0.9719
6          Phage_integrase      0.9714
7                    SRP19      0.9602
8                      MIF      0.9576
9                     cytc      0.9507
10        tRNA-synt_1_edit      0.9481
11                     msb      0.9475
12         S-AdoMet_syntD2      0.9465
13                    eIF6      0.9370
14               laminin_G      0.9346
15                   gluts      0.9293
16          Me-amine-deh_L      0.9216
17                   kazal      0.9214
18          Sua5_yciO_yrdC      0.9209
19                     TNF      0.9135
20                    RING      0.9105
21          Ribosomal_L6_D      0.9101
22         myb_DNA-binding      0.9098
23          Fapy_DNA_glyco      0.9042
24           Peptidase_S21      0.9037
25         Pep_deformylase      0.9011
26                    Skp1      0.8973
27         Ribosomal_S30AE      0.8954
28         Topoisomerase_I      0.8944
29               lipocalin      0.8935
30            Ribosomal_S8      0.8926
31                 gag_p17      0.8913
32          Colicin_Pyocin      0.8900
33                    BRCT      0.8888
34                 Jacalin      0.8857
35                  kunitz      0.8824
36                     BAG      0.8818
37               CoA_trans      0.8792
38                      S4      0.8736
39           Flavin_Reduct      0.8712
40                    GATA      0.8711
41                     GAF      0.8686
42                    lacI      0.8665
43                     FN2      0.8664
44           Ribosomal_S15      0.8649
45           formyl_transf      0.8630
46         ribonuclease_T2      0.8629
47                    mdm2      0.8626
48                    PABP      0.8602
49         7kD_DNA_binding      0.8600
50                    dhfr      0.8599
51                      C2      0.8596
52                    NusB      0.8578
53                       B      0.8570
54                     int      0.8568
55         Bac_DNA_binding      0.8561
56                     sh2      0.8561
57                   ghf22      0.8532
58                   protg      0.8532
59            Arch_histone      0.8494
60                  MurB_C      0.8485
61                    UreE      0.8469
62                capsid_n      0.8425
63                     il8      0.8377
64                     utg      0.8375
65            urease_gamma      0.8366
66                    LDLa      0.8360
67             Binary_toxA      0.8317
68                     CUB      0.8313
69               Levi_coat      0.8306
70                    intb      0.8283
71                      KH      0.8279
72          LysR_substrate      0.8248
73                 HMG_box      0.8244
74                RNase_U2      0.8243
75            Ribosomal_L1      0.8243
76              planttoxin      0.8225
77           RuBisCO_small      0.8214
78           ATP-synt_DE_N      0.8210
79                     CPS      0.8192
80         DNA_polymeraseX      0.8185
81           Bac_rhodopsin      0.8179
82                   ricin      0.8153
83                  mthina      0.8146
