,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
COX1,.,0.981064720660366,1.0,0.9723290329352943,0.6915422885572139,0.3333333333333333,1.0,1.0
Amidase,.,0.9833353271922478,0.9646834917103311,0.8532033107527616,0.7064676616915423,0.31343283582089554,0.937179325689924,0.9995966481335428
serpin,.,0.9737289149419787,0.7861173285440455,0.8298421686996655,0.735,0.37,0.8866362331599692,0.9659434221719289
DNA_topoisoIV,.,0.982012202416557,0.7755960917291074,0.9535436244620256,0.7388059701492538,0.4552238805970149,0.9707826426568278,0.9487593512911869
mofe,.,0.9677856202895082,0.8768814249909513,0.9020693818385892,0.7089552238805971,0.3756218905472637,0.9412532255318479,0.9413562674336167
AMP-binding,.,0.9614164373728914,0.7887442870354244,0.8184031319969793,0.7089552238805971,0.3482587064676617,0.8590886573870116,0.9294654695194645
tubulin,.,1.0,0.772553644904904,0.7256682407163004,0.6940298507462687,0.3582089552238806,0.8289800439044206,0.9260440584526264
actin,.,0.9279507118076323,0.8195708407607457,0.9063537285459939,0.72,0.36,0.9023014986302548,0.9132780646245193
6PGD,.,0.9892570881684412,0.8957124284622898,0.8792068926626221,0.6940298507462687,0.417910447761194,0.9591636509489465,0.9062390515367835
PK,.,0.9760234477808349,0.8972269504496627,0.9360921326054013,0.6666666666666666,0.3805970149253731,0.951364173781502,0.9056501526541852
pgk,.,0.9747816724488575,0.8717749393521033,0.8871115365421729,0.6675,0.3625,0.9142114365002316,0.9047860798717016
DNA_photolyase,.,0.983076923076923,0.8658776855959519,0.9443721143697296,0.6442786069651741,0.3656716417910448,0.9300453816803965,0.9047167390548913
Gly_radical,.,0.8393659528651752,0.8572864591012044,0.8564175686835632,0.7164179104477612,0.20149253731343283,0.7972071705821797,0.9036602819085948
PGI,.,0.9452518243809068,0.8100548176542341,0.9268930634807236,0.6890547263681592,0.373134328358209,0.9065043463202296,0.8943675748118015
ghf15,.,0.8794855844000478,0.9812494136253328,0.9638854804579708,0.6915422885572139,0.2835820895522388,0.9286333902688187,0.8906798408076125
ADP_PFK_GK,.,0.9278502213183395,0.8514026081945056,0.8610764889266195,0.6965174129353234,0.3407960199004975,0.8798220933580899,0.883305300058999
Arginosuc_synth,.,0.9253929895920564,0.7965179397139885,0.8914383046260788,0.7325,0.4025,0.9080875774748578,0.8814601890199867
Peptidase_M16,.,0.9642828089484387,0.8216750881237409,0.8907685649362143,0.6741293532338308,0.39303482587064675,0.9063052191990636,0.8718195883786741
ATP-synt,.,0.983701399688958,0.7840934982777406,0.7966082899267958,0.6716417910447762,0.3880597014925373,0.8584198197017774,0.8696640628990064
aldedh,.,0.9480535949276229,0.9246357775663059,0.8499967175451416,0.6666666666666666,0.34577114427860695,0.9028006444479568,0.8643320363833709
cat,.,0.9879028591936834,0.6693651070217599,0.8710678696163069,0.6840796019900498,0.4552238805970149,0.8758231407600658,0.8593954262060742
urease,.,0.9298767795190811,0.7969334280468033,0.831997166133151,0.6567164179104478,0.30597014925373134,0.8174003527381342,0.8577857621390049
AFOR,.,0.8810336164612991,0.916661082146062,0.7949737717843748,0.6940298507462687,0.26865671641791045,0.8309365979985436,0.8512400694714017
voltage_CLC,.,0.9587438688838377,0.9873611129726125,0.7771099772699556,0.6666666666666666,0.36318407960199006,0.9099730248088724,0.8365184577791023
aconitase,.,0.9675104677593014,0.8691881894090608,0.9201681924773778,0.6243781094527363,0.3781094527363184,0.9124869856977199,0.8349812724130863
Glu_syn_central,.,0.8705180045459983,0.6512310517216046,0.7616433302385687,0.7388059701492538,0.3283582089552239,0.749066764591587,0.8331402295019753
Bacterial_PQQ,.,0.9004019619571719,0.6839608100682216,0.7412195181814878,0.6915422885572139,0.31094527363184077,0.7400775204469793,0.8245366073614009
lyase_1,.,0.9728723531522909,0.8953773572261468,0.9047813774658328,0.6517412935323383,0.43034825870646765,0.950770304309564,0.8240011606262574
PEPCK_ATP,.,0.8987342983610479,0.7443138411226234,0.8435425535239722,0.6890547263681592,0.3482587064676617,0.8183638435344215,0.8192212544079093
alk_phosphatase,.,0.9240291900945089,0.9164734422538212,0.8333609135976351,0.6492537313432836,0.32587064676616917,0.8683670961185468,0.8181720107704031
chorismate_bind,.,0.9433185787773656,0.7760919971585982,0.7932240492431075,0.6368159203980099,0.3283582089552239,0.7999368487710767,0.8178952101008462
citrate_synt,.,0.9093719344419188,0.8306013858546382,0.8661084327751546,0.68,0.3625,0.8682047260068221,0.8160769333523649
Ald_Xan_dh_2,.,0.9115037683933485,0.7774590878020701,0.752468019632562,0.6567164179104478,0.291044776119403,0.7645116176037516,0.8159749890748237
PAP2,.,0.8647996171790884,0.751846242511161,0.9743224554562807,0.7164179104477612,0.3880597014925373,0.8869390558234901,0.8134737863610813
cytochrome_b,.,0.9542792200023925,0.8503571859377356,0.9267454167078566,0.6775,0.47,0.9602690278091279,0.8017508300863657
TonB_dep_Rec,.,0.921016868046417,0.652772379407865,0.7690551812509575,0.6890547263681592,0.3880597014925373,0.7768108876048143,0.7914259965209348
cytochr_c552,.,0.8905467161143676,0.8596051520553295,0.8083527902649777,0.6990049751243781,0.36318407960199006,0.8570562581503668,0.7904296056799891
GATase_2,.,0.9378418471108984,0.8135395585101389,0.7454941619013745,0.681592039800995,0.39303482587064675,0.837391649046014,0.789857290364877
hemocyan,.,0.903172628304821,0.6771119540014264,0.7680853920652407,0.6766169154228856,0.34328358208955223,0.7561480408423551,0.7889788977721939
NiFeSe_Hases,.,0.8819452087570283,0.8137674069507227,0.854578417294537,0.6965174129353234,0.3756218905472637,0.857750487266738,0.7804032671071411
