X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Fimbrial,.,0.897335380478232,0.782153435401106,0.719975840028655,0.63758389261745,0.907894736842105,0.67118774147124,1,0.877468053073841
Desulfoferrodox,.,0.939285195144996,0.564432022026612,0.754377468928245,0.72,0.721518987341772,0.916313819982653,0.99992779263194,0.909804028522841
DAP_epimerase,.,0.858533505341958,0.791706645530011,0.78962869249609,0.7,0.605633802816901,0.867194478953664,0.998781757754411,0.882890274858234
Jacalin,.,0.935683007486009,0.648783947269617,0.710903785692637,0.67910447761194,0.8,0.811507562957249,0.989304333700582,0.899885105310819
hemopexin,.,0.919625336143615,0.70514371532268,0.78163323379286,0.655172413793103,0.536585365853659,0.960252567789128,0.979523296753043,0.915682818077212
PTS_EIIA_2,.,0.746765753325096,0.942430436777769,0.922439905868232,0.543478260869565,0.434782608695652,0.960252567789128,0.976591804354449,0.815917305128883
Amidase_2,.,0.854990369939676,0.763464185891282,0.590772494182768,0.664383561643836,0.753424657534247,0.916313819982653,0.974179216844124,0.811767955931832
GAF,.,0.826036594229232,0.701389178590793,0.782303165199677,0.641666666666667,0.720588235294118,0.867194478953664,0.972699556403306,0.824942813652282
Hint,.,0.960707536884948,0.939009636644278,0.706056106817421,0.76978417266187,0.560606060606061,0.578129652635776,0.963871072965388,1
EF_TS,.,0.703230612689876,0.759709649159397,0.854889890692843,0.676691729323308,0.640449438202247,0.867194478953664,0.959568657702464,0.75513618259613
Ribosomal_L5_NC,.,0.717248709935315,0.838179466855782,0.77943831153865,0.522875816993464,0.620689655172414,1,0.951148624962263,0.726865752779417
HSP20,.,0.895391198488262,0.533311084226769,0.733813069372055,0.791304347826087,0.944444444444444,0.578129652635776,0.950425547513157,0.879365404787603
aminotran_4,.,0.708259139472345,0.902131742522213,0.92744169842001,0.568627450980392,0.493827160493827,0.867194478953664,0.947263800461812,0.784959595539417
Cys-protease-3C,.,0.89583636165419,0.817863251428807,0.831169301236951,0.69281045751634,0.461538461538462,0.747221736309214,0.939798712988282,0.943956919480488
C2,.,0.903077076822443,0.701472612740393,0.789299599648651,0.689393939393939,0.591549295774648,0.747221736309214,0.931133367886102,0.917147248384403
laminin_G,.,1,0.698635851654079,0.63172317365446,0.699346405228758,0.35632183908046,1,0.918366295138245,0.968408390496001
DUF28,.,0.704879533396322,0.87914563430812,0.881991577366432,0.489795918367347,0.550561797752809,0.867194478953664,0.913946464694983,0.751824258374378
Levi_coat,.,0.829802311214478,0.627633390346666,0.714994309717107,0.6796875,0.838383838383838,0.67118774147124,0.909731861249527,0.813785006209331
Frataxin_Cyay,.,0.797278145214042,0.704684827499893,0.871549532997945,0.495726495726496,0.666666666666667,0.811507562957249,0.904667227095956,0.804091649231002
DHHA2,.,0.72011955810742,0.829585749447248,0.768228927971001,0.586776859504132,0.864406779661017,0.578129652635776,0.904608440529332,0.74309941777754
Plectin,.,0.672573406497565,0.842601476784444,0.975105194205766,0.457516339869281,0.483870967741935,0.867194478953664,0.887442701894952,0.740894868117547
PH,.,0.864116214841195,0.511367902882646,0.726750347944538,0.85,0.766666666666667,0.578129652635776,0.886793091601099,0.872003208028286
hexapep,.,0.935978268769533,0.709774310625337,0.666810968592924,0.69281045751634,0.48,0.811507562957249,0.88674015419304,0.923763856878154
transketolase_C,.,0.691815357220728,0.817696383129611,0.777110247558799,0.536231884057971,0.869565217391304,0.578129652635776,0.877398080817272,0.710849984475898
WD40,.,0.838714659495603,0.831337866588793,0.566131977729137,0.647058823529412,0.507042253521127,0.867194478953664,0.872761716089425,0.818838910247626
eIF6,.,0.720005996075296,0.833298569104332,0.784775619819622,0.526666666666667,0.525,0.867194478953664,0.872570591611956,0.74576070562576
sh2,.,0.882704048259321,0.55087397271703,0.684361173615923,0.657142857142857,0.796610169491525,0.67118774147124,0.867582052647037,0.842795086578973
avi,.,0.836134530125736,0.584748237453585,0.639873438002176,0.789915966386555,0.633802816901408,0.747221736309214,0.863614585439771,0.826854026307631
Recep_L_domain,.,0.891448324732902,0.701180593216802,0.830851634731637,0.58041958041958,0.648648648648649,0.578129652635776,0.863253327322608,0.904207295921802
IF4E,.,0.752339377861763,0.82845938842768,0.752999210766226,0.625,0.481927710843373,0.747221736309214,0.848093684927501,0.792437501433057
msb,.,0.840490769678029,0.688874056151179,0.675772716144786,0.648148148148148,0.754385964912281,0.578129652635776,0.847332309076091,0.827669504814786
PGM_PMM_III,.,0.666173050367032,0.733052438363017,0.81096586053823,0.47008547008547,0.833333333333333,0.67118774147124,0.846976328958808,0.673328379110858
lipocalin,.,0.953793880369213,0.766968420174373,0.636221515184775,0.779310344827586,0.75,0.289064826317888,0.843627696234228,0.963517735945012
ATP-synt_DE_N,.,0.839650410640308,0.393058278753491,0.62405466092383,0.744186046511628,0.897959183673469,0.67118774147124,0.841760665298225,0.781565094273573
DUF50,.,0.808002943527873,0.627341370823074,0.784461856723109,0.649122807017544,0.838709677419355,0.458156909991326,0.840234889757956,0.818471837006863
dutpase,.,0.859541936187223,0.578282090859784,0.671604301371974,0.73109243697479,0.746666666666667,0.578129652635776,0.840065139548849,0.844943955468771
parv,.,0.658137400973908,0.579867339702135,0.719362862904795,0.48,0.766666666666667,0.960252567789128,0.839699639859671,0.618102855333532
intb,Fold,0.96333763354895,0.664469567393932,0.698047518466406,0.67910447761194,0.40625,0.747221736309214,0.837622145766324,0.956232835634589
UreE,.,0.86705974271386,0.590964081598594,0.694096346136124,0.687022900763359,0.736842105263158,0.578129652635776,0.836090925319216,0.851259240403031
Hpr_kinase,.,0.774924594810669,0.753118351341198,0.662198505583489,0.577777777777778,0.506493506493506,0.867194478953664,0.831689087105715,0.7658700887385
subt,.,0.730530925212588,0.995160819323346,0.701087386783846,0.609271523178808,0.434210526315789,0.67118774147124,0.831597452843727,0.786440179871062
Clp_N,.,0.664864815756959,0.858912853030742,0.788482119389165,0.353383458646617,0.602564102564103,0.867194478953664,0.829452130714755,0.667744590812337
dsrm,.,0.749913692855585,0.407909557381833,0.532097624112165,0.808823529411765,0.886363636363636,0.747221736309214,0.828362261597759,0.693140013386968
Histidine_kinase,.,0.800866705429173,0.544240957824033,0.678918863638211,0.642857142857143,0.652631578947368,0.811507562957249,0.827898590867271,0.77131208624621
Flavin_Reduct,.,0.854649683843303,0.821409202786699,0.453136552204881,0.65034965034965,0.434210526315789,0.916313819982653,0.827560362453096,0.809023174790694
Propep_M14,.,0.747860491314776,0.549455592173872,0.786085248957817,0.553191489361702,0.913793103448276,0.578129652635776,0.82700910178055,0.729986585105865
Sm,.,0.835739334253943,0.423720328730547,0.573882497530118,0.7875,0.923076923076923,0.578129652635776,0.824714866126875,0.781228687221705
SRP54,.,0.528340540736972,0.85799507738517,0.881123885075554,0.489795918367347,0.436170212765957,0.916313819982653,0.820347913153421,0.604628469353726
ghf33,.,0.865451704338978,0.682533060781774,0.533443164611327,0.591836734693878,0.432098765432099,1,0.818795434857585,0.806159051598807
adeno_fiber,.,0.958504433461734,0.728088106461973,0.702065829428062,0.607843137254902,0.433734939759036,0.67118774147124,0.817397913476735,0.950757799106268
B_lectin,.,0.931381277709136,0.529639981644482,0.581236821337821,0.623853211009174,0.857142857142857,0.578129652635776,0.817383585644609,0.854078874562517
