Rank              Template      Weighted Combined Scores
********************************************************
1                      BAG      1.0000
2          Pep_deformylase      0.9791
3                     cytc      0.9591
4                       e3      0.9553
5                    LMWPc      0.9419
6               Hpr_kinase      0.9417
7          Bac_DNA_binding      0.9414
8                      int      0.9389
9            RuBisCO_small      0.9349
10          Colicin_Pyocin      0.9324
11                    FYVE      0.9268
12          Dehydratase_SU      0.9172
13                    Skp1      0.9145
14                     lh2      0.9050
15                     GAF      0.9028
16                    CARD      0.9014
17                     uce      0.8976
18        tRNA-synt_1_edit      0.8975
19                 GBP_PSP      0.8972
20                  mthina      0.8955
21                     TIR      0.8926
22         transketolase_C      0.8893
23                 MutS_D2      0.8892
24                 SNAP-25      0.8879
25                     END      0.8878
26                 zf-CCHC      0.8863
27                   ghf22      0.8838
28                     MIF      0.8832
29            Ald_Xan_dh_1      0.8820
30                 gag_p17      0.8809
31                      PH      0.8754
32                  galpha      0.8753
33          Ala_racemase_N      0.8745
34          neur_chan_memb      0.8678
35               Band_41_M      0.8665
36                     RGS      0.8656
37                   DEFSN      0.8651
38                    mdm2      0.8645
39                 zf-CCHH      0.8566
40           ATP-synt_DE_N      0.8563
41             NHase_alpha      0.8543
42                     FN1      0.8529
43                    ENTH      0.8476
44               Amidase_2      0.8470
45                Elicitin      0.8401
46          UPP_synthetase      0.8393
47         transcript_fac2      0.8350
48                capsid_n      0.8349
49                  DUF101      0.8322
50            Ribosomal_L1      0.8303
51                  zf-TAZ      0.8274
52                Fimbrial      0.8269
53                 thionin      0.8250
54         myb_DNA-binding      0.8240
55                     Rop      0.8239
56            Ribosomal_S7      0.8225
57                  SRP54M      0.8215
58                    NusB      0.8199
59                   protg      0.8195
60                   sugbp      0.8185
61                      WW      0.8180
62                 dutpase      0.8126
63                   Clp_N      0.8105
64                     GLA      0.8079
65                 Dwarfin      0.8041
66                     P53      0.8009
67                rnasemam      0.7995
68                   Bcl-2      0.7985
69                    parv      0.7982
70                     utg      0.7960
71                    tetR      0.7890
72            Ribosomal_S8      0.7878
73        SpoU_methylase_N      0.7833
74                     sh2      0.7817
75                    SUI1      0.7809
76               Egg_lysin      0.7792
77                GLUCAGON      0.7791
78          Sua5_yciO_yrdC      0.7774
79                    lacI      0.7770
80                    dhfr      0.7769
81           Ribosomal_L12      0.7752
82                      S4      0.7750
83                     SIS      0.7731
84                      CH      0.7716
85                     SCP      0.7704
86                       B      0.7690
87                    COX3      0.7690
88                 hormone      0.7679
89                      Fz      0.7665
90                 phoslip      0.7645
91                   DHHA2      0.7637
92                     IF3      0.7633
93           Ribosomal_L22      0.7614
94                    RING      0.7599
95                     PAH      0.7575
96                    STAS      0.7565
97         Phage_integrase      0.7563
98            Mur_ligase_C      0.7563
