,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
hormone,.,0.9737572115536515,0.9538248583143984,0.7570469962404741,0.8881987577639752,0.4658385093167702,0.9186040843139976,1.0
Flavoprotein,.,0.9768787953466918,0.8994750450521035,0.9264332365086284,0.7950310559006211,0.453416149068323,0.9230151868437945,0.9633963452960432
phc,.,1.0,0.9563843401499103,0.8918319495286504,0.8571428571428571,0.5652173913043478,1.0,0.9617467625586194
gluts,.,0.9767081824673152,0.8676643422392819,0.8110937334982955,0.8198757763975155,0.4472049689440994,0.8778484859663295,0.9611914217810255
Endonuclease_3,.,0.9432491011228855,0.8014051032933723,0.7650352933395731,0.84472049689441,0.4161490683229814,0.8245037114249079,0.957853889603241
COX3,.,0.9179541620064076,0.9899187756274651,1.0,0.8509316770186336,0.4906832298136646,0.9925982837559288,0.9409854844861207
ung,.,0.9492711038653296,0.8018490950403515,0.7204170054201452,0.8198757763975155,0.39751552795031053,0.7958529941484137,0.9391900574223924
Ala_racemase_N,.,0.9260235193013718,0.7724934054167001,0.7301503185033956,0.8322981366459627,0.38509316770186336,0.7808064818982605,0.9366228613864037
formyl_transf,.,0.9646831339690243,0.776384862493148,0.8004425300384008,0.8198757763975155,0.4658385093167702,0.8443922736760575,0.9298917862560674
RhoGEF,.,0.9352492527787784,0.850009141006553,0.8446960325860099,0.8633540372670807,0.4968944099378882,0.901594364221738,0.9277573435124872
PGAM,.,0.96930231970326,0.7954242732899781,0.7112167339544595,0.8198757763975155,0.4472049689440994,0.8148394718510777,0.9229531611388666
Sua5_yciO_yrdC,.,0.9747366558611844,0.7140954321084386,0.6605048539011377,0.8136645962732919,0.43478260869565216,0.7638631177515474,0.9191688951773855
hormone_rec,.,0.9165387070071341,0.8662540155135943,0.9110261279392718,0.84472049689441,0.4782608695652174,0.9109295080410329,0.9177459724343867
blmb,.,0.9335052100118165,0.7934654861709609,0.7398321496254534,0.7639751552795031,0.33540372670807456,0.7527712909098824,0.912274402230153
Bcl-2,.,0.8097413635128561,0.8604560056413081,0.7074152783192698,0.9182389937106918,0.33962264150943394,0.7770916133280762,0.9101842743905869
Bac_rhodopsin,.,0.926333150082463,0.8907519130820849,0.7886004513763426,0.8322981366459627,0.4409937888198758,0.8625564270363187,0.9081593498238236
Peptidase_S11,.,0.91373939198625,0.7673222074224966,0.7335822702263591,0.8260869565217391,0.39751552795031053,0.7780645558129416,0.9054324005457587
galpha,.,0.8988392005206853,0.7968346000156704,0.8094797625062707,0.8385093167701864,0.422360248447205,0.8229116876518519,0.9029818755811424
Pep_deformylase,.,0.969517165551364,0.8246232599441106,0.7574579312392041,0.8012422360248447,0.4658385093167702,0.8413928976800503,0.9013546514154744
SIS,.,0.9711790613764038,0.8154561362271173,0.7693262112272643,0.7950310559006211,0.4658385093167702,0.8407442411313021,0.9004133171348677
Hydrolase,.,0.9250946269580989,0.8587583901381592,0.8357459204861493,0.8198757763975155,0.453416149068323,0.8674397645725048,0.8980688747151888
GTP_cyclohydroI,.,0.9368542776440257,0.7102039750319958,0.6791369122094074,0.8633540372670807,0.4782608695652174,0.7884408385929679,0.897218658248299
UPP_synthetase,.,0.9682596854404024,0.7478910392018577,0.7176584239392194,0.8260869565217391,0.4906832298136646,0.8174912202723591,0.8972115443946793
