,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Fapy_DNA_glyco,.,0.7875043736878937,0.42907015143652466,0.5520749548963868,0.8529411764705882,0.4215686274509804,0.0,0.38417819741259623,1.0
Band_41_M,.,0.9621457312806158,0.7858659244232696,0.8507978326616327,0.8823529411764706,0.5196078431372549,0.7575235256431883,0.8275693905921866,0.9891588242126683
hemopexin,.,0.8171033065080475,0.3824126055573905,0.624473180552575,0.803921568627451,0.47058823529411764,0.0,0.39848442042533827,0.9763488272159416
bv,.,0.8245167074877536,0.3232532905599843,0.4821080693515068,0.803921568627451,0.4411764705882353,0.0,0.3407000101084924,0.9694619205915137
START,.,0.8231171273617914,0.31579940557626096,0.5710104530186526,0.7843137254901961,0.45098039215686275,0.0,0.3588595263263985,0.9664917755505027
RGS,.,0.9505335899230231,0.6456574043496714,0.733921027353508,0.9117647058823529,0.5098039215686274,0.855996495633379,0.7886324458815713,0.9574613340877
utg,.,0.6418277641707487,0.5515403123083458,0.6901811522372424,0.96,0.48,0.0,0.4566637261723179,0.9450746515335823
gag_p17,.,0.9690998950314905,0.7318016700476488,0.7398784340951363,0.8627450980392157,0.5686274509803921,0.7575235256431883,0.7943195400145947,0.9271625288468317
Syntaxin,.,0.9429780440867739,1.0,1.0,0.9215686274509803,0.6470588235294118,0.9136877702725119,1.0,0.9169757159075702
parv,.,0.943951189643107,0.7482190876067377,0.7986451996698146,0.8921568627450981,0.5490196078431373,0.8877404770059149,0.8434523114627727,0.9167654848019035
capsid_n,.,0.9514848670398881,0.7624192102656023,0.8154592995712673,0.8823529411764706,0.5490196078431373,0.9136877702725119,0.8575909274094146,0.9124291600699321
cytc,.,1.0,0.5562579610322221,0.6280102777869329,0.8137254901960784,0.47058823529411764,0.9136877702725119,0.7303608294628381,0.9090271366872237
BAG,Fold,0.9847030265920224,0.7794499221587978,0.8803711729857849,0.9117647058823529,0.6372549019607843,1.0,0.9400888371623987,0.9074903261808733
NusB,.,0.9413160426871938,0.8373354720007568,0.7242676685275026,0.9215686274509803,0.5392156862745098,0.9714181221573606,0.8732823639967827,0.903377862083508
intb,.,0.9157955738278516,0.5622965513987823,0.632524114174095,0.7941176470588235,0.4411764705882353,0.6593995650352785,0.6329103615005572,0.900058990657778
ghf22,.,0.9573237403778866,0.5141765344152478,0.6475027309983026,0.8333333333333334,0.4803921568627451,0.855996495633379,0.7061779360224749,0.8996579171372028
Sua5_yciO_yrdC,.,0.8821400454863542,0.47110440156626027,0.5327301844122013,0.8725490196078431,0.37254901960784315,0.855996495633379,0.6281948185520673,0.8984821407928544
PTS_EIIA_2,.,0.9190102344296711,0.534651129876869,0.6800455759714417,0.8627450980392157,0.46078431372549017,0.8877404770059149,0.7207199845361633,0.8973899890770581
Ribosomal_S7,.,0.9408021343596921,0.6329669292824462,0.6771050984002212,0.9117647058823529,0.5392156862745098,0.9356320470729648,0.7963386930604822,0.8972045947082825
Ald_Xan_dh_1,.,0.9226622638208537,0.5572486672642352,0.6068698617669547,0.8235294117647058,0.49019607843137253,0.6593995650352785,0.6470243289876978,0.8963478153636912
SCP,.,0.9408130685794263,0.5343680709534374,0.6276783611720725,0.8431372549019608,0.5588235294117647,0.6593995650352785,0.6739912574771368,0.894570561310194
Bcl-2,.,0.9122966235129462,0.7962447516157967,0.7190591792614203,0.8725490196078431,0.4803921568627451,0.8877404770059149,0.8042998766517011,0.8922215186273954
