,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Peptidase_S21,.,0.8972992405518357,0.6099765360215496,0.6300247386562946,0.8220338983050848,0.4067796610169492,0.6751975205782411,0.6660814160360126,1.0
RuvA,.,0.9067721206129511,0.6948379247414603,0.6562613127780469,0.847457627118644,0.5084745762711864,0.6751975205782411,0.7315633863825662,0.964666468134275
Ald_Xan_dh_1,.,0.9579652181728306,0.7216042408968442,0.6414502897761023,0.7542372881355932,0.4322033898305085,0.7726980282097137,0.7292256503274329,0.9456422288185931
Phage_integrase,.,0.9223295735406463,0.650343269314329,0.6968724522834714,0.7966101694915254,0.4915254237288136,0.7726980282097137,0.7425024947103979,0.9173990223578641
transketolase_C,.,0.952617624589943,0.7502824367776131,0.6660222733992968,0.8220338983050848,0.5169491525423728,0.8704980660468059,0.8080730421356986,0.91696413600653
NusB,.,0.9607603469195166,0.9077083514382559,0.6603324940448995,0.8135593220338984,0.5169491525423728,0.8704980660468059,0.8480999757933148,0.9126653426146539
BAG,.,0.9476295330966611,0.8531763274528533,0.7835048417175559,0.8448275862068966,0.5775862068965517,0.8995832822445078,0.8947615068389718,0.9106046296463474
RGS,.,0.9651462724127086,0.7708785956374364,0.6136710807690505,0.8389830508474576,0.5508474576271186,0.8704980660468059,0.8164327432411668,0.9082605268058745
capsid_n,.,0.9801015593403136,0.824411227948207,0.6872058199450515,0.788135593220339,0.5169491525423728,0.9020193239574325,0.8399084189060567,0.9075137092053158
MutS_D2,.,0.9241630341976363,0.6188841574693638,0.5215622785070847,0.8813559322033898,0.5,0.9020193239574325,0.7471569640104532,0.9066049783334712
CH,.,0.8569810812025346,0.690232032675761,0.7975983512238763,0.8448275862068966,0.4482758620689655,0.8995832822445078,0.7972588699409201,0.9042965252697932
Bcl-2,.,0.9221228598391229,0.793039019727121,0.6479878599165217,0.7711864406779662,0.4491525423728814,0.7726980282097137,0.7493253431599392,0.9038863615108851
SIS,.,0.9237226441378691,0.6088467889110957,0.6400517378754599,0.788135593220339,0.5254237288135594,0.6751975205782411,0.6978235208216408,0.9015631828270546
Cytidylyl_trans,.,0.8414595784838,0.7466324845746045,0.7276604896015703,0.7966101694915254,0.3898305084745763,0.7726980282097137,0.7278331552778179,0.9008248927754753
Egg_lysin,.,0.9118860378375951,0.84657165203789,0.7451324087237959,0.8389830508474576,0.5084745762711864,0.9020193239574325,0.8542490695710078,0.9001068450119132
DUF101,.,0.9625488698153061,0.7312939949595911,0.642525906401219,0.8050847457627118,0.5084745762711864,0.9020193239574325,0.8010788281809994,0.8985751567208852
cyclo,.,0.9166404529726331,0.5927261666811481,0.31258572363678333,0.7627118644067796,0.3135593220338983,0.7726980282097137,0.5681609522791063,0.8964891696956299
ribonuclease_T2,.,0.9027726598660856,0.6335274180933336,0.646939296713065,0.8135593220338984,0.4491525423728814,0.8704980660468059,0.7388199064238771,0.8930691518768311
tRNA-synt_1_edit,.,0.9237406192423495,0.5537933431824088,0.45488955524302327,0.7966101694915254,0.4067796610169492,0.8298828245835991,0.6460908750326749,0.8926529894752759
transcript_fac2,.,0.844137869051364,0.7518901538194136,0.7240331629993365,0.847457627118644,0.4491525423728814,0.8298828245835991,0.7732158901172141,0.8912546339821402
Band_41_M,.,0.8869455803711861,0.7281654644998687,0.7432779500744009,0.8189655172413793,0.49137931034482757,0.8274495750331852,0.7863364266253943,0.888252671384519
Mur_ligase_C,.,0.9180964364355367,0.6765881637264276,0.4793074005216831,0.8135593220338984,0.4152542372881356,0.8704980660468059,0.7009763094792593,0.8872348836168906
blmb,.,0.8869905181323868,0.7028765099504624,0.6296491472512799,0.788135593220339,0.3728813559322034,0.9020193239574325,0.7298585532746675,0.8863823391297486
Flavoprotein,.,0.9377881633936997,0.7741374815329773,0.6641423555192647,0.7711864406779662,0.4576271186440678,0.8704980660468059,0.7808365082336377,0.8861295695327328
gluts,.,0.9074731496876827,0.723211957938645,0.7638478287277686,0.7796610169491526,0.4661016949152542,0.8704980660468059,0.7901989737873055,0.881297782715965
Syntaxin,.,0.9593043634566126,1.0,1.0,0.8050847457627118,0.6694915254237288,0.8704980660468059,1.0,0.8810497587079764
mutT,.,0.9662517413382465,0.5428000347614487,0.4702201689396111,0.8389830508474576,0.4915254237288136,0.9684485875624276,0.7287155598588212,0.880910211716332
Hydrolase,.,0.8677032310250303,0.863387503258884,0.7254592306370355,0.8135593220338984,0.4322033898305085,0.8704980660468059,0.8065944909134665,0.8799517689778256
DMRL_synthase,.,0.9423268772749744,0.737594507690969,0.5815430940123142,0.8305084745762712,0.5,0.927783131409948,0.7925683666086786,0.8786281471610491
DHHA2,.,0.9421561137824116,0.7642739202224729,0.5991993335006172,0.7627118644067796,0.4576271186440678,0.8298828245835991,0.7492366266303104,0.8772301588327402
OMPdecase,.,0.8364894620949985,0.7513252802641863,0.634118653087135,0.8305084745762712,0.3983050847457627,0.8298828245835991,0.729350254912802,0.8747992533894443
Sua5_yciO_yrdC,.,0.9219071585853593,0.5657425914660631,0.5334194169915893,0.7288135593220338,0.3644067796610169,0.8298828245835991,0.6404005907551258,0.8714195604369799
LMWPc,.,0.9274255156608099,0.6687233857651826,0.5332075569755901,0.7457627118644068,0.423728813559322,0.7726980282097137,0.6740745255354818,0.8688851584386807
phoslip,.,1.0,0.729164856174501,0.5406235423115834,0.7966101694915254,0.5423728813559322,0.927783131409948,0.7970094053298686,0.8687190229010783
Ribosomal_S7,.,0.9727677167123536,0.7468497436343079,0.6991610091484246,0.7796610169491526,0.5169491525423728,0.9684485875624276,0.8359466971913788,0.8681852782454691
intb,.,0.9279827438996991,0.6749804466846265,0.5474905679688126,0.7966101694915254,0.4152542372881356,0.9684485875624276,0.7426050274708985,0.8652297703867488
RNase_U2,.,0.9706736170403992,0.47818719040583835,0.31712790067042107,0.7966101694915254,0.4915254237288136,0.7726980282097137,0.609376628520164,0.8652256794859755
dhfr,.,0.9006605850896509,0.6630746502129121,0.6471974440654167,0.7711864406779662,0.4661016949152542,0.7726980282097137,0.7135644022300991,0.8639688214038418
PGAM,.,0.917853772525053,0.5566177109585455,0.5058050074815384,0.8220338983050848,0.4576271186440678,0.9020193239574325,0.6979765437275478,0.860928965729504
DAP_epimerase,.,0.9451939064395813,0.6446945337620567,0.5801312784423606,0.7627118644067796,0.4661016949152542,0.8704980660468059,0.7263632738467616,0.8554893240258743
Amino_oxidase_D2,.,0.9020177054779132,0.5447553662987726,0.6282521735997503,0.8189655172413793,0.5431034482758621,0.7702682598741274,0.7099804876014872,0.8551609192827209
Clp_N,.,0.930661034467263,0.8458329712349005,0.6928388301571203,0.788135593220339,0.5169491525423728,0.8704980660468059,0.8256569521349828,0.8548284109999218
arginase,.,0.7970970206264324,0.665247240809941,0.5799477073460642,0.7966101694915254,0.3644067796610169,0.6751975205782411,0.6230404191482058,0.8546151190976262
gag_p17,.,0.9481058733653892,0.7979490744764042,0.7040562596388775,0.7931034482758621,0.5603448275862069,0.8680630721454595,0.8327174897753457,0.853681728972273
Amidase_2,.,0.9251247022873321,0.587946467367687,0.4885422701343935,0.7627118644067796,0.4491525423728814,0.7726980282097137,0.651505118716216,0.8521053122855504
UPP_synthetase,.,0.9018379544331102,0.7947336403928041,0.6882967567458991,0.788135593220339,0.4745762711864407,0.8704980660468059,0.79212480380895,0.8509760513417247
Bacteriofer,.,0.9074192243742418,0.9655861649430795,0.6948112908260364,0.788135593220339,0.4830508474576271,0.8704980660468059,0.8427315095350268,0.8496440898331998
laminin_G,.,0.9117691996584731,0.4944381680716073,0.3843722370676833,0.7288135593220338,0.3474576271186441,0.7726980282097137,0.5598669033196533,0.8479063705779721
Dehydratase_SU,.,0.9300948186761336,0.6866255322846941,0.5708132797387567,0.864406779661017,0.635593220338983,0.7726980282097137,0.7768318218343585,0.8465893400523599
phc,.,0.9682110277265988,0.7952985139480298,0.7887541620342132,0.7796610169491526,0.6016949152542372,0.9020193239574325,0.8760787057050766,0.8449454398135743
galpha,.,0.8004403900597674,0.723472668810289,0.7121604891233129,0.847457627118644,0.3983050847457627,0.9020193239574325,0.756640186147005,0.8442163162537589
CUB,.,0.8709657124882039,0.4832276005909417,0.6239555577803377,0.8017241379310345,0.45689655172413796,0.8274495750331852,0.6721375103042958,0.8430530840430837
STAS,.,0.8707500112344405,0.6891457373772462,0.706436610022934,0.8189655172413793,0.49137931034482757,0.8680630721454595,0.7727363414674242,0.8403518951659659
uce,.,0.9492023547386871,0.6004171373946269,0.5638603909530298,0.7796610169491526,0.4661016949152542,0.9684485875624276,0.7417919351954885,0.8389640264131661
adeno_fiber,.,0.9021615063137555,0.4458590423220637,0.5023438752934507,0.8135593220338984,0.5084745762711864,0.7726980282097137,0.6406448750004373,0.838958387532652
MoCF_biosynth,.,0.9401429020806183,0.615277657078298,0.43060284413243644,0.8135593220338984,0.4661016949152542,0.927783131409948,0.7063070709670611,0.8388809319223491
MIP,.,0.8683323596818409,0.6516033718606055,0.6698287233048728,0.8050847457627118,0.4745762711864407,0.8298828245835991,0.7342883171338203,0.8386868483846046
ghf22,.,0.9799577585044714,0.6681150603980165,0.5830170511483436,0.7542372881355932,0.4745762711864407,1.0,0.7767450473933661,0.8361848123696205
hormone,.,0.9337617399901139,0.746197966455199,0.836219637436324,0.7372881355932204,0.5338983050847458,0.8704980660468059,0.8290800842637285,0.8340264396412483
YgbB,.,0.9588999236058061,0.6303554358216712,0.40658953478955245,0.7627118644067796,0.4491525423728814,0.8704980660468059,0.6758355960454483,0.8329565300606696
MCR_alpha,.,0.8078820833146094,0.9173546536890604,0.647370190604667,0.8220338983050848,0.3728813559322034,0.8704980660468059,0.7709597641408708,0.8327435898575953
Cys-protease-3C,.,0.879620725295466,0.5066046754149636,0.6084998279867886,0.7457627118644068,0.423728813559322,0.7726980282097137,0.6384819039064962,0.8326591528249476
Aldolase_II,.,0.8869006426099854,0.5365864256539481,0.6144274765837252,0.7542372881355932,0.423728813559322,0.8298828245835991,0.6672583638973706,0.8315979139058614
Dala_Dala_ligas_C,.,0.8974789915966388,0.5156861041105387,0.5391744545555125,0.7796610169491526,0.4745762711864407,0.7726980282097137,0.6496806908088066,0.8315675416091451
RuBisCO_small,.,0.9480429604997082,0.6428261058486122,0.6512713035731879,0.7627118644067796,0.6186440677966102,0.6751975205782411,0.7341258679819258,0.8306413406286997
Pep_deformylase,.,0.9333842627960277,0.6211871035022137,0.4388224531921603,0.7796610169491526,0.4661016949152542,0.8298828245835991,0.6734118378203298,0.8304378481953908
int,.,0.8524154046645397,0.7641870165985912,0.6746531917139053,0.7796610169491526,0.423728813559322,0.8298828245835991,0.7409557516643734,0.8289246661752262
formyl_transf,.,0.9133240461960187,0.5581385243764647,0.524124828983158,0.8050847457627118,0.4745762711864407,0.9020193239574325,0.7020243072178945,0.8271137813923591
Ribosomal_S8,.,0.9816743809823396,0.6352220387590137,0.5118345886524845,0.7542372881355932,0.5423728813559322,0.8298828245835991,0.7226336988375706,0.8255493187810656
Endonuclease_3,.,0.8783894306385658,0.6543842878248011,0.6450754163947242,0.8135593220338984,0.4915254237288136,0.8704980660468059,0.7485970522623195,0.8245524580228875
DUF50,.,0.8898036219835528,0.6208394890066913,0.6666492049609949,0.7844827586206896,0.46551724137931033,0.8995832822445078,0.741576318179432,0.8241405156888186
Isochorismatase,.,0.819997303734328,0.6770226818458319,0.6595151523074162,0.8050847457627118,0.3644067796610169,0.927783131409948,0.7222598230185684,0.8237907868893285
dNK,.,0.8308992046016267,0.7662727035717363,0.6942169764126684,0.8389830508474576,0.4406779661016949,0.927783131409948,0.7870369139473354,0.8236923625663718
RhoGEF,.,0.8792342605491396,0.8112887807421557,0.826641163861475,0.8050847457627118,0.5338983050847458,0.9020193239574325,0.855597238582181,0.8230845315301444
msb,.,0.9201815485552512,0.6438689493351862,0.5374677295882173,0.7931034482758621,0.45689655172413796,0.9471341549743543,0.7341149123726937,0.8220981573804687
Fimbrial,.,0.935118860378376,0.5363257147823044,0.4591523383434506,0.7627118644067796,0.4661016949152542,0.8298828245835991,0.6523292755214806,0.8215413725023615
Dehydratase_MU,.,0.8407315867523482,0.7122186495176843,0.48373202988024117,0.7711864406779662,0.3305084745762712,0.8298828245835991,0.6467686787355266,0.8208695667166409
Frataxin_Cyay,.,0.8992135891789871,0.7488485269835746,0.8043734080009897,0.7542372881355932,0.4915254237288136,0.9020193239574325,0.8138400644340504,0.820229873113822
SCP2,.,0.9006246348806903,0.75471452159555,0.6224079809028669,0.7457627118644068,0.5169491525423728,0.6751975205782411,0.7121731960903529,0.8198302454155165
TNF,.,0.9098548510313218,0.5241157556270072,0.34084666130168245,0.7542372881355932,0.3983050847457627,0.7726980282097137,0.5758637013423064,0.8183543939465081
SCP,.,0.960913135307599,0.6263578691231398,0.28446274327753557,0.8220338983050848,0.5254237288135594,0.8298828245835991,0.6681336251528744,0.8181513161264106
C2,.,0.9397744124387724,0.6094985660902039,0.5515723824897885,0.7457627118644068,0.5169491525423728,0.7726980282097137,0.6911817862894184,0.8157495986590435
AP_endonucleas1,.,0.8327146901541365,0.615451464326062,0.6349186978520189,0.7796610169491526,0.423728813559322,0.7726980282097137,0.6708033809339347,0.8151548547957396
fkbp,.,0.8798454141014694,0.5339793169375142,0.4569850675315259,0.8017241379310345,0.4396551724137931,0.8274495750331852,0.6392020250838191,0.8149315896604427
GAF,.,0.9319192917808836,0.6071521682454138,0.5778852705358108,0.7542372881355932,0.4491525423728814,0.9495713952910112,0.7265183572655048,0.8119618608701438
Recep_L_domain,.,0.9206489012717388,0.5311114973494371,0.48367231945547534,0.788135593220339,0.5,0.8298828245835991,0.6692907611607343,0.8115931472529913
aspg,.,0.9027097470004045,0.6452159555053436,0.34915346065393077,0.8305084745762712,0.4576271186440678,0.8704980660468059,0.6698886859784774,0.810756737411191
cytc,.,0.867559430189188,0.4982619275223764,0.48431683494415706,0.8275862068965517,0.4396551724137931,0.8995832822445078,0.6596443098416418,0.8104436684448093
KSI,.,0.9178897227340134,0.7053967150430146,0.7042912115118447,0.7288135593220338,0.5254237288135594,0.7726980282097137,0.7488828425587863,0.8062960611863367
parv,.,0.8521098278883747,0.6562961675501852,0.6908952562295405,0.8448275862068966,0.4827586206896552,0.9826637923029633,0.7898705022306011,0.8046307566735995
IF4E,.,0.8998337302835574,0.5739115321108865,0.5206660482268292,0.7711864406779662,0.4661016949152542,0.8298828245835991,0.6714403991694522,0.8029227636501962
hormone_rec,.,0.842313395946614,0.7408968453984515,0.6635629627338718,0.7711864406779662,0.4067796610169492,0.8704980660468059,0.7332120818662567,0.8011459779450498
VAT-N,.,0.8732395632049612,0.6115408012514112,0.5203032183209534,0.788135593220339,0.4745762711864407,0.7726980282097137,0.6658651287282354,0.8008437641641232
Heme_oxygenase,.,0.8373253044533322,0.8268445294168748,0.7105856196955287,0.7796610169491526,0.4152542372881356,0.9020193239574325,0.7798610857746098,0.7982851621917472
Orbi_VP7,.,0.8956095807306882,0.5550534457286834,0.47331963498126983,0.7966101694915254,0.4830508474576271,0.8298828245835991,0.6640232617720744,0.7980980872108208
dutpase,.,0.9768211027726601,0.5791257495437525,0.5358307903329532,0.7758620689655172,0.6120689655172413,0.8274495750331852,0.7363636194740113,0.7964698392192116
DSBA,.,0.8880510492967241,0.611497349439471,0.5738368543167663,0.8135593220338984,0.5338983050847458,0.8298828245835991,0.7214444784103943,0.796356999123484
Jacalin,.,0.9374556239608145,0.5101677239940888,0.4378121904280307,0.7372881355932204,0.4576271186440678,0.8298828245835991,0.6314281718930146,0.7960712340247909
Rhodanese,.,0.9070147845234352,0.6619449031024582,0.5767213197861106,0.7966101694915254,0.5084745762711864,0.9020193239574325,0.7484260385779796,0.7953253259793932
MATH,.,0.9277490675414551,0.48314069696706213,0.5340655027584287,0.7627118644067796,0.4830508474576271,0.9020193239574325,0.6796768928759751,0.7952669262788362
