Rank              Template      Weighted Combined Scores
********************************************************
1              aminotran_4      1.0000
2                   galpha      0.9980
3                    TyrKc      0.9970
4                    sugbp      0.9688
5                   ptpase      0.9682
6                    SRP54      0.9612
7                 phosfruc      0.9550
8              Zn_dep_PLPC      0.9526
9          Glyco_transf_28      0.9515
10            citrate_synt      0.9501
11         Extradiol_dioxy      0.9494
12         Cytidylyl_trans      0.9401
13              ATP-synt_g      0.9401
14                     KAS      0.9384
15                 tubulin      0.9384
16           Peptidase_M17      0.9381
17                 Amidase      0.9380
18                     tms      0.9363
19            DNA_ligase_N      0.9356
20         AP_endonucleas1      0.9308
21           Peptidase_S11      0.9260
22             AMP-binding      0.9248
23            NTP_transf_2      0.9231
24                    ENTH      0.9226
25                     icd      0.9214
26          Fapy_DNA_glyco      0.9113
27         S_T_dehydratase      0.9110
28                  fbpase      0.9092
29                  Fe-ADH      0.9042
30                    COX1      0.8984
31                arginase      0.8983
32            cytochrome_b      0.8957
33                  serpin      0.8951
34                    mofe      0.8933
35                     pgk      0.8930
36          DNA_photolyase      0.8914
37                   actin      0.8911
38                     cah      0.8906
39            tRNA-synt_2b      0.8895
40               Hydrolase      0.8877
41                   ricin      0.8858
42              Mur_ligase      0.8826
43             biopterin_H      0.8818
44                     ung      0.8799
45         Arginosuc_synth      0.8773
46                  OTCace      0.8772
47            Topoisom_bac      0.8771
48              peroxidase      0.8750
49            fibrinogen_C      0.8741
50          Endonuclease_3      0.8728
51          Spermine_synth      0.8689
52              ADP_PFK_GK      0.8655
53                     ech      0.8643
54                   gluts      0.8608
55                   GroEL      0.8587
56               OMPdecase      0.8575
57          UPP_synthetase      0.8549
58          ATP-gua_Ptrans      0.8532
59           Peptidase_M24      0.8528
60             hormone_rec      0.8477
61          Haloperoxidase      0.8466
62                 lyase_1      0.8440
63                     CPS      0.8432
64                    cat3      0.8401
65         alk_phosphatase      0.8336
66                  glnasn      0.8317
67                   ghf15      0.8298
68               MCR_alpha      0.8275
69             NO_synthase      0.8267
70                     PGI      0.8255
71                    CASc      0.8234
72                   DUF28      0.8204
73                    COX3      0.8175
74           DNA_topoisoIV      0.8166
75                    6PGD      0.8162
76    thymid_phosphorylase      0.8155
77           Trypan_glycop      0.8124
78                    ghf6      0.8110
79              tyrosinase      0.8083
80                    WD40      0.8073
81                ATP-synt      0.8055
82                aakinase      0.8053
83                      PK      0.8045
84           Peptidase_S21      0.8043
85                 Plectin      0.8043
86          Ala_racemase_N      0.8013
87                  rasgap      0.8007
88         Beta_elim_lyase      0.7988
89             voltage_CLC      0.7947
90                     cat      0.7943
91          PA_phosphatase      0.7940
92                   GP120      0.7907
93                     ldh      0.7902
94             Gly_radical      0.7898
95                  lipase      0.7841
96               aconitase      0.7807
97              leukocidin      0.7772
98                GATase_2      0.7766
99                     GFP      0.7760
100           tRNA-synt_2d      0.7759
101                annexin      0.7725
102                    NMT      0.7692
103            HMG-CoA_red      0.7653
104                   subt      0.7635
105                    dNK      0.7613
106                 Cu_nir      0.7610
107          RNA_pol_A_bac      0.7605
108               hemocyan      0.7597
109                   blmb      0.7541
110        Isochorismatase      0.7533
111                    MIP      0.7522
112              CoA_trans      0.7514
113           cytochr_c552      0.7492
114          Bac_rhodopsin      0.7457
115                    DAO      0.7428
116        RNA_dep_RNA_pol      0.7401
117         Transpeptidase      0.7397
