X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
IF3,.,0.940224734111189,1,0.921128791227122,0.655172413793103,0.78,0.647685462377997,1,1
Sm,.,0.959306791512204,0.690759312320916,0.458850226765217,0.7375,0.901960784313726,1,0.937370962300231,0.861765467873589
Ribosomal_L30,.,0.942929923155629,0.644985673352437,0.746179343872772,0.716666666666667,0.829268292682927,0.836828836953389,0.927291186523527,0.918826353550941
Peptidase_S24,.,0.972942037301855,0.719627507163323,0.72839620881304,0.677777777777778,0.725490196078431,0.783091851446946,0.892261793012484,0.953187792085825
EF_TS,.,0.885920568848731,0.865257879656159,0.809907495633557,0.554347826086957,0.632352941176471,0.836828836953389,0.884998982378521,0.897508242618345
RuBisCO_small,.,0.945419547192038,0.716833810888253,0.776791279316592,0.637362637362637,0.610169491525424,0.884228217395481,0.880582276853129,0.936475933303611
Ribosomal_S5_N,.,0.951409825513789,0.597063037249285,0.292551324987982,0.852941176470588,0.862745098039216,0.926628408029127,0.85261006316082,0.833867468361142
EFTU_C,.,0.950049640674384,0.801719197707736,0.47398420221832,0.627659574468085,0.711538461538462,0.884228217395481,0.841685615617485,0.872857529638703
HIT,.,0.945021814571587,0.880515759312321,0.711694861191649,0.59375,0.526315789473684,0.783091851446946,0.838874768367848,0.944977442461647
dCMP_cyt_deam,.,0.93162945893183,0.704369627507163,0.593321165792843,0.632183908045977,0.515625,1,0.818643529271325,0.881837103395764
Bac_DNA_binding,.,0.916600630907164,0.715042979942693,0.442508862962258,0.714285714285714,0.75,0.836828836953389,0.818048006703062,0.842080779205242
PDZ,.,0.95866616874186,0.743123209169054,0.452930361720462,0.715909090909091,0.696428571428571,0.783091851446946,0.810015185208878,0.890641034311509
Hint,.,0.968545725588781,0.800429799426933,0.667561467974669,0.708333333333333,0.412698412698413,0.783091851446946,0.806980651063975,0.973621246951605
PH,.,0.941861206496097,0.524498567335244,0.575398233738411,0.795454545454545,0.709677419354839,0.783091851446946,0.803565514264943,0.891595082374076
KSI,.,0.947890954467205,0.734312320916907,0.648817064649323,0.580645161290323,0.523809523809524,0.884228217395481,0.800278359258764,0.909085698288841
Ribosomal_L6_D,.,0.955806137226862,0.611962750716333,0.673586836473679,0.769230769230769,0.571428571428571,0.72105705434887,0.794959621391419,0.944918454710033
Ribosomal_L12,.,0.919017387898606,0.727077363896849,0.584052795528437,0.508196721311475,0.675675675675676,0.884228217395481,0.793416889344507,0.845905867290776
Frataxin_Cyay,.,0.925080533265324,0.608810888252149,0.695991206428065,0.63013698630137,0.547169811320755,0.884228217395481,0.791232446449848,0.892765997849738
mofe,.,0.698631010392662,0.888467048710602,0.78976531907369,0.610526315789474,0.516129032258065,0.783091851446946,0.789695116707389,0.758451359336188
transketolase_C,.,0.871911879453619,0.766905444126074,0.659856207775054,0.5,0.484375,1,0.788555951870972,0.833711091655042
