X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Peptidase_M24,.,0.932351952608029,1,0.931049118756492,0.732,0.287037037037037,0.787609656965256,1,1
Haloperoxidase,.,0.847945507636073,0.969162995594716,0.943423790299467,0.692,0.372727272727273,0.756304195516401,0.963230895133049,0.914358891819515
Endonuclease_3,.,0.788758061466714,0.912667541475302,0.939038064414859,0.679012345679012,0.464912280701754,0.683010746090859,0.915790290471539,0.850503958541346
tRNA-synt_2b,.,0.830709199000063,0.812986221763995,0.870342823588096,0.701612903225806,0.475,0.756304195516401,0.907295009985088,0.858356909333755
blmb,.,0.931658718988299,0.710024369669143,0.750011725172477,0.666666666666667,0.597826086956522,0.787609656965256,0.905982668860534,0.889284053575758
SRP54,.,0.758555133079848,0.956228325053901,0.995159293590867,0.602409638554217,0.443609022556391,0.683010746090859,0.90397763595208,0.830783811764086
Plectin,.,0.892737852656345,0.81115849657888,0.861315146969862,0.689956331877729,0.557522123893805,0.588519055411483,0.888285338783938,0.911857863037282
sugbp,.,0.838644623238031,0.922837191864287,0.886523123282043,0.609243697478992,0.345132743362832,0.787609656965256,0.883623764458906,0.874082059200527
Mur_ligase,.,0.914259605487049,0.870700159340147,0.811806671557391,0.60337552742616,0.376146788990826,0.756304195516401,0.859772263323264,0.915197255585497
ech,.,0.68869083881268,0.908027931390017,0.852155778279448,0.591093117408907,0.578125,0.683010746090859,0.846686936973434,0.719236609699363
PA_phosphatase,.,0.904675125517299,0.686474833630152,0.88482354552949,0.592592592592593,0.363636363636364,0.866821441982423,0.845822806906651,0.894951024067871
subt,.,0.948669201520912,0.869551973005907,0.569574300019379,0.768595041322314,0.436893203883495,0.683010746090859,0.836377697956379,0.917096547852089
Cytidylyl_trans,.,0.931774257924921,0.700206204892687,0.748963302377417,0.657777777777778,0.51,0.72169761342906,0.833936241193685,0.89738494006188
START,.,0.826297712329055,0.559377636142101,0.837383132417694,0.682539682539683,0.725274725274725,0.63915119328547,0.833772069909193,0.802333652145449
tms,.,0.780187173077327,0.736221763989135,0.796010830893694,0.696581196581197,0.443478260869565,0.816189304108436,0.833208776558133,0.786493583306144
GTP_cyclohydroI,.,0.749711152658446,0.708126347361523,0.799322954692813,0.660633484162896,0.705882352941177,0.63915119328547,0.830781558462414,0.741802678221059
dNK,.,0.806319979833204,0.802183897272478,0.924163532526846,0.595454545454545,0.40952380952381,0.72169761342906,0.829333754421655,0.83748350668271
DNA_ligase_N,.,0.745446715543138,0.778657793607655,0.946548700960471,0.66,0.488188976377953,0.63915119328547,0.828772769093574,0.796867430195063
E2_N,.,0.820137386299183,0.635228231324406,0.835036442030869,0.611940298507463,0.759259259259259,0.588519055411483,0.825501303344015,0.793582032411209
DUF28,.,0.877969875848161,0.814579623207429,0.819168472684147,0.622881355932203,0.430894308943089,0.683010746090859,0.824829661705372,0.882430500066464
Trypan_glycop,.,0.805605739134088,0.667799231418131,0.760689059286612,0.676229508196721,0.442424242424242,0.889482753533978,0.822222593853012,0.784796815565308
Pro_CA,.,0.834978887885217,0.604695847783305,0.764807407406325,0.660714285714286,0.673076923076923,0.683010746090859,0.813518402451685,0.796071921627614
cat3,.,0.886041846102137,0.664260942918746,0.735462235033627,0.572052401746725,0.720338983050847,0.63915119328547,0.81186598861587,0.82449887257519
lipocalin,.,0.938270697224965,0.5167775799044,0.69387281692021,0.677215189873418,0.851351351351351,0.528633946819448,0.807217691439748,0.857869354399559
Binary_toxA,.,0.900657521584774,0.707189052394796,0.76911915390571,0.677884615384615,0.559322033898305,0.588519055411483,0.805792309200334,0.883464671259924
ldh,.,0.848885574438586,0.780508951166938,0.851824015559146,0.545871559633027,0.375,0.787609656965256,0.800393680811732,0.845638745436354
ENTH,.,0.696810074995273,0.839910019683199,1,0.5850622406639,0.382113821138211,0.683010746090859,0.799233123182725,0.766737642587787
biopterin_H,.,0.847667163834212,0.744446527322156,0.973221897683734,0.561181434599156,0.338345864661654,0.72169761342906,0.79908917788524,0.877838921225479
Flavoprotein,.,0.77851711026616,0.610694535570351,0.861459063417087,0.62962962962963,0.706666666666667,0.588519055411483,0.794487247026833,0.767755002060962
Phage_integrase,.,0.866699577757704,0.542529759115199,0.736106863830738,0.828402366863905,0.612903225806452,0.588519055411483,0.794352106661185,0.848869542396835
fibrinogen_C,.,0.93699451715228,0.624613365826235,0.541376246441842,0.64957264957265,0.418367346938776,1,0.792591556724762,0.834299328842495
Bacteriofer,.,0.698632439131988,0.684647108445035,0.898002201069345,0.668831168831169,0.630952380952381,0.588519055411483,0.792034820834785,0.727704034863645
