,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
aminotran_4,.,0.9996506819825016,0.7505589203690924,0.6526777192148258,0.7325102880658436,0.4156378600823045,0.7916750832170949,1.0
galpha,.,0.9860232174626514,0.7802325108735424,0.8051926906803492,0.6995884773662552,0.4074074074074074,0.8398449042336563,0.9980317802071181
TyrKc,.,0.993586358725233,0.8227917564326661,0.8269008441085455,0.720164609053498,0.4567901234567901,0.8934516222521581,0.9970202476915999
sugbp,.,0.9805153659309326,0.9066094874192093,0.6811000294685557,0.7119341563786008,0.3950617283950617,0.8386261727161977,0.968824208591226
ptpase,.,0.9675093625352365,0.7430185764806341,0.7225858944125858,0.691358024691358,0.3662551440329218,0.7688740890057206,0.968207007529659
SRP54,.,0.9846421927423089,0.8738669159790285,0.8310331837735428,0.6831275720164609,0.4279835390946502,0.8860488468992546,0.9612293607527244
phosfruc,.,0.9679805356751181,0.7180399170765427,0.6228241439831679,0.7283950617283951,0.3950617283950617,0.7467849501172397,0.9549744313652777
Zn_dep_PLPC,.,0.9128817111708654,1.0,0.9535650874324644,0.7078189300411523,0.3991769547325103,0.9513757823549902,0.9525792935968017
Glyco_transf_28,.,0.9408352762455624,0.7145847729767129,0.6398658139741875,0.720164609053498,0.3497942386831276,0.7214326415374066,0.9515350539129329
citrate_synt,.,0.9511198485747013,0.7871021503190974,0.8436776254575905,0.6995884773662552,0.4156378600823045,0.8469079319204783,0.9501323568937607
Extradiol_dioxy,.,0.9329350024777209,0.7400918661843038,0.7288460761898401,0.7242798353909465,0.3786008230452675,0.7741771660730379,0.9494038789734712
Cytidylyl_trans,.,0.944015694939763,0.7186699727653408,0.8176947848481042,0.7325102880658436,0.45267489711934156,0.8349758302550059,0.9401091366742939
ATP-synt_g,.,0.9585936294142019,0.85813584813626,0.8642804285893336,0.7613168724279835,0.5308641975308642,0.9512806186668944,0.9400858196007977
KAS,.,0.9817785973663047,0.7094020568269626,0.6603931991212251,0.6954732510288066,0.40329218106995884,0.7536045898322699,0.9384049477161743
tubulin,.,0.9234749831433747,0.7606601357668424,0.6290926744859177,0.7283950617283951,0.34156378600823045,0.7282159982228369,0.9383786431559081
Peptidase_M17,.,0.9655271858778037,0.7495020527620878,0.5298969082608508,0.7037037037037037,0.3374485596707819,0.6915020126222362,0.9380673496414997
Amidase,.,0.9275368205561467,0.8035648957359521,0.5393714192176623,0.7283950617283951,0.31275720164609055,0.7011606354150484,0.938014302670527
tms,.,0.988488752772204,0.7375309946750143,0.8039302166714337,0.6502057613168725,0.4074074074074074,0.8054852009205655,0.9363099873639694
DNA_ligase_N,.,0.972667896049457,0.6554814844925052,0.7704285627854198,0.7078189300411523,0.45267489711934156,0.7947133903540683,0.9356161788547103
AP_endonucleas1,.,0.989540768662112,0.7482622657615553,0.7445403177769447,0.6790123456790124,0.43209876543209874,0.8077125530213047,0.930807152981125
Peptidase_S11,.,0.9710269137346971,0.8228933783179574,0.6798656407119346,0.6954732510288066,0.40329218106995884,0.7998096590167044,0.92595228044358
AMP-binding,.,0.8639487558592004,0.7475915613186483,0.839320743501862,0.720164609053498,0.3292181069958848,0.7724721230927913,0.9247673213415776
NTP_transf_2,.,0.902178769588211,0.7730376813950675,0.8275295485498299,0.7078189300411523,0.37037037037037035,0.8029793972472559,0.9230723736543739
