X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
ptpase,.,0.712484867774185,0.90731855582814,0.976521441092842,0.554307116104869,0.682539682539683,0.77552387007698,1,0.782636272235591
mofe,Superfamily,0.861181365054646,0.944269555589327,0.875949720344833,0.620938628158845,0.333333333333333,0.905314583119034,0.972824306145931,0.927665884156393
Hydrolase,.,0.93253726932236,0.840472417012223,0.693264501945305,0.671232876712329,0.666666666666667,0.733951626354678,0.971675671555655,0.928909582822756
subt,.,0.867853753076176,1,0.438795782013578,0.75092936802974,0.621359223300971,0.812711509291959,0.953021989378649,0.842274463072358
SRP54,.,0.749859334238899,0.983869216908015,0.817816863744025,0.595419847328244,0.46875,0.77552387007698,0.912720827283227,0.811870689081453
Zn_dep_PLPC,.,0.695974401673212,0.998567117518073,0.802059146517552,0.690763052208835,0.607476635514019,0.568060967173733,0.901347049605372,0.78024417104255
dNK,.,0.793735684772292,0.787303792796515,0.953120150496222,0.671111111111111,0.559322033898305,0.568060967173733,0.889206759521194,0.878950456548628
annexin,.,0.67497399814719,0.963244393304529,1,0.554347826086957,0.446666666666667,0.686820903599663,0.88655777615606,0.785711530982758
Peptidase_S11,.,0.852889189481043,0.882373374438244,0.624269890007049,0.69047619047619,0.583333333333333,0.686820903599663,0.884193378324776,0.859298700924205
hormone_rec,.,0.737230674797811,0.797333970169998,0.798084684773351,0.700460829493088,0.6,0.686820903599663,0.884100334721842,0.787343048531673
actin,.,0.642703283337785,0.895660102907019,0.915997043947539,0.603636363636364,0.382352941176471,0.877063019274942,0.883089576307338,0.730837673041928
sugbp,.,1,0.935911074444762,0.621379396901411,0.55421686746988,0.299145299145299,0.905314583119034,0.88250939130861,0.98175236191518
Haloperoxidase,.,0.960522651450136,0.866155749983723,0.79129057719428,0.621848739495798,0.311320754716981,0.733951626354678,0.870116425913742,1
TyrKc,.,0.735303980130606,0.907579079915763,0.800236974138426,0.645283018867924,0.541353383458647,0.568060967173733,0.835088307055576,0.801640340379096
rasgap,.,0.660645982642698,0.976292308026319,0.925289259748002,0.523465703971119,0.474025974025974,0.632412477156716,0.832806272472212,0.752608002861882
ENTH,.,0.721532944205423,0.973491674084367,0.932952042279148,0.591603053435115,0.538461538461538,0.38776193503849,0.814211672776715,0.830650301611807
CoA_trans,.,0.828126332062132,0.751937647901699,0.67452931080552,0.626459143968872,0.445378151260504,0.812711509291959,0.811538150108357,0.825650910592815
