Rank              Template      Weighted Combined Scores
********************************************************
1                      cah      1.0000
2                    TyrKc      0.9964
3                   galpha      0.9938
4            Peptidase_M24      0.9846
5                 arginase      0.9646
6             tRNA-synt_2b      0.9595
7           Fapy_DNA_glyco      0.9572
8                   ptpase      0.9562
9                   OTCace      0.9423
10                  serpin      0.9365
11              peroxidase      0.9342
12                     tms      0.9334
13                   sugbp      0.9328
14          Haloperoxidase      0.9300
15                   ricin      0.9222
16                  Fe-ADH      0.9173
17           Peptidase_S11      0.9171
18          Spermine_synth      0.9131
19         Extradiol_dioxy      0.9082
20            NTP_transf_2      0.9054
21         Arginosuc_synth      0.9041
22                 tubulin      0.9037
23                   SRP54      0.8999
24            cytochr_c552      0.8986
25           DNA_topoisoIV      0.8970
26                 lyase_1      0.8955
27                     ung      0.8916
28                   ghf15      0.8910
29            Topoisom_bac      0.8905
30              tyrosinase      0.8902
31             Zn_dep_PLPC      0.8902
32               Hydrolase      0.8868
33                    6PGD      0.8850
34                     pgk      0.8849
35                    COX1      0.8763
36         AP_endonucleas1      0.8753
37                    ghf6      0.8722
38         alk_phosphatase      0.8716
39          UPP_synthetase      0.8693
40         Glyco_transf_28      0.8692
41               aconitase      0.8675
42                   actin      0.8664
43                   GP120      0.8663
44                     ech      0.8649
45             aminotran_4      0.8642
46            DNA_ligase_N      0.8615
47               MCR_alpha      0.8608
48                 Amidase      0.8549
49               OMPdecase      0.8509
50       Dala_Dala_ligas_C      0.8476
51             biopterin_H      0.8474
52             NO_synthase      0.8458
53            fibrinogen_C      0.8453
54         Cytidylyl_trans      0.8426
55            citrate_synt      0.8399
56                phosfruc      0.8398
57         S_T_dehydratase      0.8380
58          Ala_racemase_N      0.8374
59                    blmb      0.8337
60                  lipase      0.8284
61                  urease      0.8284
62          Transpeptidase      0.8277
63                  glnasn      0.8270
64                GATase_2      0.8259
65                     KAS      0.8259
66                     DAO      0.8252
67           FAA_hydrolase      0.8252
68                    mofe      0.8184
69           Peptidase_M16      0.8174
70                    eIF6      0.8152
71                  fbpase      0.8148
72                     cat      0.8145
73            cytochrome_b      0.8142
74    thymid_phosphorylase      0.8102
75           Peptidase_S21      0.8100
76          DNA_photolyase      0.8068
77                   ghf33      0.8058
78             AMP-binding      0.8008
79                   gluts      0.7995
80           Peptidase_M17      0.7987
81          LysR_substrate      0.7966
82                    WD40      0.7955
83        tRNA-synt_1_edit      0.7945
84                   DUF28      0.7917
85          PA_phosphatase      0.7884
86                     icd      0.7873
87             voltage_CLC      0.7834
88              ADP_PFK_GK      0.7821
89              leukocidin      0.7821
90                    ENTH      0.7809
91                     CPS      0.7770
92               PEPCK_ATP      0.7733
93              ATP-synt_g      0.7722
94           RNA_pol_A_bac      0.7705
95            Pept_C1-like      0.7671
96                      PK      0.7638
97             hormone_rec      0.7614
98                   GroEL      0.7541
99                  rasgap      0.7511
100               hemocyan      0.7435
101         Endonuclease_3      0.7432
102                    GEL      0.7431
103          Bac_rhodopsin      0.7401
104           tRNA-synt_2d      0.7390
105         Heme_oxygenase      0.7383
106          Trypan_glycop      0.7369
107             Mur_ligase      0.7359
108                    GFP      0.7328
109               ATP-synt      0.7325
110        chorismate_bind      0.7312
111        Glu_syn_central      0.7297
112              CoA_trans      0.7292
113         ATP-gua_Ptrans      0.7284
114                    dNK      0.7252
115                    PGI      0.7220
116           Ribosomal_L1      0.7219
117                    MIP      0.7210
118            Gly_radical      0.7189
