X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
subt,.,0.845915802767544,0.935605881518609,0.617870438880253,0.728033472803347,0.613861386138614,0.867194478953664,1,0.865226737035956
Peptidase_M24,.,0.851038560776819,0.915559548011917,0.750253972159293,0.589430894308943,0.472727272727273,0.916313819982653,0.963721346200669,0.880833463872775
phosfruc,.,0.694077255372623,0.863623469339516,0.823330121520756,0.650406504065041,0.387096774193548,1,0.939102223239143,0.776813670328137
tRNA-synt_2d,.,0.815250346047531,0.758971207035134,0.833498368178828,0.604938271604938,0.534351145038168,0.811507562957249,0.919860492597416,0.857350504531915
Extradiol_dioxy,.,1,0.823979953666496,0.764717520449267,0.533057851239669,0.413793103448276,0.747221736309214,0.895575825661385,0.997663842338637
tRNA-synt_2b,.,0.85093819653827,0.705687674341645,0.758701831476814,0.624434389140271,0.415929203539823,0.916313819982653,0.892124513159477,0.870042976948806
PA_phosphatase,.,0.907372171505756,0.829653444281595,1,0.602409638554217,0.333333333333333,0.578129652635776,0.885357575715958,1
proteasome,.,0.840558861534987,0.769136211053857,0.763942471032379,0.658333333333333,0.530973451327434,0.67118774147124,0.879982283120778,0.880293187661716
WD40,.,0.924634820536196,0.857808141459034,0.37448343865466,0.625514403292181,0.45045045045045,0.960252567789128,0.866841308387995,0.859061099104651
bv,.,0.930719402498233,0.645335917923507,0.581303098104002,0.688775510204082,0.85,0.458156909991326,0.854384906755894,0.894538320317755
CPS,.,0.875151069088233,0.791759254881573,0.809172719543719,0.607758620689655,0.47787610619469,0.578129652635776,0.849754297450797,0.920818094283162
DNA_ligase_N,.,0.793203668312919,0.752824925535444,0.781786970661143,0.574898785425101,0.423611111111111,0.811507562957249,0.849108474115275,0.831533471459843
Hydrolase,.,0.684488288747914,0.72601768237909,0.816608818377647,0.5,0.436974789915966,0.960252567789128,0.844783252092713,0.728690258255727
Fapy_DNA_glyco,.,0.765461320040647,0.701574393645698,0.849283409796645,0.553719008264463,0.503759398496241,0.747221736309214,0.843717924996811,0.8128855938438
AP_endonucleas1,.,0.77287572816346,0.816793532220705,0.812123860969877,0.48936170212766,0.412844036697248,0.811507562957249,0.841950488223178,0.815929856729295
adeno_fiber,.,0.861555896608107,0.569358422769617,0.667834478341908,0.571428571428571,0.612903225806452,0.811507562957249,0.835244019636395,0.82870435432301
Isochorismatase,.,0.815618348255544,0.731903928892261,0.873750439496139,0.616113744075829,0.582608695652174,0.458156909991326,0.829974551519491,0.88131649687423
ATP-gua_Ptrans,.,0.738220792961121,0.765306604888663,0.795296501621675,0.598326359832636,0.432835820895522,0.747221736309214,0.829671821731959,0.79852233502774
GTP_cyclohydroI,.,0.720535777760121,0.690203772871267,0.880232305808746,0.495283018867925,0.706349206349206,0.578129652635776,0.827596208456053,0.768409809810295
Topoisomerase_I,.,0.697548185289112,0.68018060611792,0.886186952018241,0.61214953271028,0.610294117647059,0.578129652635776,0.825594139803774,0.775316918614257
sugbp,.,0.808367032020374,0.882653302444334,0.893714937784426,0.569620253164557,0.444444444444444,0.458156909991326,0.823179301004127,0.898158485899511
cah,.,0.98218534765754,0.728357997257822,0.546868739230629,0.534979423868313,0.481818181818182,0.747221736309214,0.811789716984244,0.923139308851887
glnasn,.,0.785354348489727,0.758923927946679,0.777556370054139,0.575342465753425,0.36697247706422,0.747221736309214,0.808564413766092,0.832739320607596
Plectin,.,0.725549807844302,0.70665689565506,0.792894386409018,0.607655502392344,0.504424778761062,0.67118774147124,0.807601893809234,0.782395169267131
leukocidin,.,0.809445947584776,0.727341496855949,0.743287278543701,0.578947368421053,0.330578512396694,0.811507562957249,0.805274009339902,0.840950937436668
Dala_Dala_ligas_C,.,0.866109923932271,0.688596283863657,0.843126913604815,0.605769230769231,0.522522522522523,0.458156909991326,0.79987941272258,0.913180783905667
