X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
SNAP-25,.,0.927350401232116,0.945829022853381,0.987787742039301,0.941176470588235,1,0.845098040014257,1,0.978939557802799
fusion_gly,.,0.939524877613509,0.95664440891564,0.913254578904888,0.961538461538462,1,0.477121254719662,0.901244757727966,1
Arch_histone,.,0.948661846584485,0.813411078717201,0.700710261562205,0.9,0.75,1,0.867770243652054,0.918142668878267
utg,.,0.896828646689606,0.822533621743629,0.855367574274775,0.884615384615385,0.708333333333333,0.903089986991944,0.857375450395247,0.916179949038162
tetR,.,0.977405100812243,0.792814821781248,0.739705077155014,0.882352941176471,0.720930232558139,0.778151250383644,0.812988046744227,0.963482412183655
Ribosomal_S15,.,0.874496549953857,0.774663782563717,0.762527547422942,0.924528301886792,0.767441860465116,0.698970004336019,0.791035119407178,0.883936140906437
Bac_DNA_binding,.,0.897604830675769,0.549609705633406,0.674673719242463,0.934782608695652,0.840909090909091,0.903089986991944,0.790550667044234,0.840753098511031
UcrQ,.,0.872241338214532,0.695852534562213,0.752692612157373,0.830188679245283,0.943396226415094,0.698970004336019,0.788737519659779,0.840089235325279
PAH,.,0.91704610043943,0.652967177654472,0.577529677631468,0.886792452830189,0.795454545454545,0.778151250383644,0.742867873117528,0.850387383017355
lh2,.,0.895930229004834,0.671588451048623,0.838726270041846,0.901960784313726,0.957446808510638,0.301029995663981,0.732660114365852,0.914587434615508
SAM_PNT,.,0.92887832246472,0.724160631994734,0.594122030847488,0.75,0.564102564102564,1,0.731319408526691,0.853968885793445
Colicin_Pyocin,.,0.921758209520783,0.841060848302456,0.517592990940251,0.792452830188679,0.666666666666667,0.778151250383644,0.720537144770447,0.856383867906625
NusB,.,0.876721203268529,0.92222326718706,0.760021790688083,0.943396226415094,0.514285714285714,0.477121254719662,0.714620773139406,0.939796141603664
B,.,0.91923408364452,0.843223925514907,0.651968522726814,0.882352941176471,0.894736842105263,0.301029995663981,0.714318156069581,0.913100685434166
HMG_box,.,0.91660605912444,0.609611586570112,0.603981645773111,0.849056603773585,0.727272727272727,0.778151250383644,0.712371929765553,0.850025201473662
HLH,.,0.943833615489454,0.413617981754914,0.457778432272684,0.765957446808511,0.921052631578947,0.954242509439325,0.705395679406969,0.776216154083422
mdm2,.,0.892752152841017,0.676384839650147,0.556910955831892,0.867924528301887,0.553191489361702,0.845098040014257,0.689506932289185,0.838553755944339
KH,.,0.982807830290733,0.582902285338099,0.336667582626844,0.754716981132076,0.722222222222222,0.954242509439325,0.674983391219744,0.816034794252297
BAG,.,0.847629582999737,0.893256841907271,0.780750255314259,0.92156862745098,0.581395348837209,0.301029995663981,0.673021746163708,0.917322559478319
RhoGEF,.,0.794115669748993,0.814351547070442,0.833041419229257,0.884615384615385,0.488888888888889,0.477121254719662,0.664734418863943,0.862858754093248
urease_gamma,.,0.922509946767224,0.655788582714192,0.601129375723009,0.830188679245283,0.564102564102564,0.698970004336019,0.659923551104707,0.874637449161286
SRF-TF,.,0.906069514304399,0.579140411925139,0.531228979473827,0.792452830188679,0.755555555555556,0.698970004336019,0.657629611670501,0.812936785122754
PBD,.,0.908300279304001,0.65456597385498,0.604207255974304,0.74468085106383,0.744186046511628,0.602059991327962,0.65628942326893,0.839517819304259
Syntaxin,.,0.869607202009522,0.853851217906518,0.956092162742578,0.941176470588235,0.63265306122449,0,0.655146324259946,0.99144385364755
VPR,.,0.945954370160309,0.430358318442585,0.509482637655,0.736842105263158,0.914285714285714,0.698970004336019,0.650819894656364,0.803596880452636
ATP-synt_g,.,0.697441037519634,0.907363867205869,1,0.92156862745098,0.686274509803922,0,0.645068849351838,0.84754909085081
cat,.,0.462312294876574,0.890059249506255,0.806760394027105,0.769230769230769,0.8,0.477121254719662,0.643296392705378,0.526360580341705
Elicitin,.,0.889677975321016,0.786325590143893,0.683700350274241,0.826923076923077,0.666666666666667,0.301029995663981,0.630638880277016,0.8962100350868
protg,.,0.976965059497253,0.379478980532306,0.430862472911918,0.775,0.714285714285714,0.845098040014257,0.622565091586183,0.820135822233933
Rop,.,0.932722572285953,1,0.624319046668284,0.901960784313726,0.65,0,0.61942600184655,0.978531907016965
gag_p17,.,0.924080649794342,0.800056428101195,0.804002351282024,0.923076923076923,0.627906976744186,0,0.612033654666247,0.995070591186951
ptpase,.,0.725603681679002,0.806451612903226,0.809158721653494,0.754716981132076,0.666666666666667,0.301029995663981,0.608199889060726,0.769880340762219
ANATO,.,0.913091840289449,0.465343741183109,0.178547130075373,0.843137254901961,0.657894736842105,1,0.606811194013135,0.720925700791683
PABP,.,0.981328802537571,0.632653061224491,0.452526768471172,0.811320754716981,0.702702702702703,0.477121254719662,0.60672179062115,0.888820306275088
RNA_pol_K,.,0.907420196674021,0.477193642433933,0.624431692984303,0.75,0.682926829268293,0.602059991327962,0.603351836834726,0.828557954209679
SUI1,.,0.935491165559433,0.532869368945736,0.440971470358345,0.784313725490196,0.65,0.698970004336019,0.603001353015365,0.819457395823769
phero,.,0.916276028138197,0.519326624659081,0.355004910299643,0.947368421052632,0.96551724137931,0.301029995663981,0.593576928342719,0.8086214375828
lacI,.,1,0.425185742499765,0.5169841881864,0.888888888888889,0.657142857142857,0.477121254719662,0.583878430028223,0.913334841547915
Zn_dep_PLPC,.,0.712591904462141,0.866923728016553,0.877296495674277,0.830188679245283,0.363636363636364,0.301029995663981,0.580499873080534,0.818552162621194
Clp_N,.,0.891664272923402,0.736668861092826,0.631179084822857,0.867924528301887,0.513513513513513,0.301029995663981,0.578103245795865,0.899136487722104
GGL,.,0.91076328833096,0.388037242546789,0.449451973177383,0.738095238095238,0.974358974358974,0.477121254719662,0.577075933748101,0.762618951138
Bac_rhodopsin,.,0.749011434962505,0.831468071099408,0.670699159798213,0.865384615384615,0.488372093023256,0.301029995663981,0.569192844441774,0.794445908900779
P53,.,0.941645632284364,0.434872566538136,0.482978837690541,0.782608695652174,0.956521739130435,0.301029995663981,0.567632213468706,0.823468641141638
RuvA,.,0.921458736959192,0.763001974983542,0.574235623519589,0.716981132075472,0.605263157894737,0.301029995663981,0.563256331406019,0.881856037889047
SRP54M,.,0.922656627205554,0.719082102887239,0.729474768291337,0.723404255319149,0.775,0,0.560200122782552,0.920587472943133
Bacteriofer,.,0.848411878670831,0.85930593435531,0.818556409559503,0.924528301886792,0.395348837209302,0,0.554394329894564,0.957003579305811
UCR_14kD,.,0.893754469169605,0.793379102793192,0.71136724726928,0.75,0.68,0,0.55002742961738,0.911531926818328
TFIIS,.,0.858746737888168,0.373648076742218,0.354136381343937,0.68,0.944444444444444,0.602059991327962,0.546201205482396,0.67694713387061
Ribosomal_L4,.,0.856155383477671,0.594564092918274,0.570406465381355,0.830188679245283,0.651162790697674,0.301029995663981,0.543843838521675,0.81928959285082
KSI,.,0.782692930614041,0.725101100347975,0.675782897567207,0.849056603773585,0.466666666666667,0.301029995663981,0.543057767992588,0.812003134900455
RRF,.,0.800123456035594,0.840402520455187,0.855283463815694,0.82,0.477272727272727,0,0.541264542008598,0.895938988492606
zf-CCHH,.,0.935918983504562,0.309037900874636,0.337859533083515,0.75,0.958333333333333,0.477121254719662,0.535126041121086,0.752877439965203
SRP19,.,0.901296288373742,0.570300009404684,0.338591439251992,0.69811320754717,0.558139534883721,0.698970004336019,0.53441832275376,0.76184754509831
thionin,.,0.934959448970487,0.517351641117277,0.0932635563580679,0.8,0.935483870967742,0.477121254719662,0.532629380750407,0.729461529286295
COX3,.,0.664101796224201,0.786701777485188,0.716376673855979,0.846153846153846,0.739130434782609,0,0.531215378938883,0.720079661075741
