X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
mofe,.,0.894427118776835,0.953777237305802,0.861918973741287,0.676954732510288,0.393034825870647,0.856634682062789,1,0.92740506753841
PGI,.,0.668363874922279,0.939234129150745,0.981880204226552,0.561122244488978,0.444444444444444,0.810714463281959,0.920152009244202,0.74472382130138
DNA_topoisoIV,.,0.721512604219194,0.878852930957469,0.79282570345383,0.597979797979798,0.491803278688525,0.856634682062789,0.897285155601686,0.740538052140315
ADP_PFK_GK,.,0.873698331024151,0.97503350374746,0.928858314865649,0.572043010752688,0.347593582887701,0.627473563075303,0.892131520171053,0.926961175899907
ATP-sulfurylase,.,0.834409591837734,0.797141013550406,0.767914340679519,0.614561027837259,0.466101694915254,0.758654412959299,0.862431313355982,0.830099878960886
Fe_hyd_lg_C,.,0.708308650376731,0.687310765870855,0.651644711967568,0.60857908847185,0.566037735849057,1,0.856588931993594,0.665568397266847
ku,.,0.773510822150526,0.679530451183806,0.877386086659135,0.510775862068966,0.601880877742947,0.758654412959299,0.849626094598618,0.763857359587469
Beta_elim_lyase,.,0.852323298589522,0.845671812180481,0.743289341490258,0.541950113378685,0.454545454545455,0.758654412959299,0.847792580667334,0.833962467322919
6PGD,.,0.610696328644796,0.985605797389193,0.862842583286203,0.557142857142857,0.48559670781893,0.627473563075303,0.82460554698272,0.682838022494503
ghf33,.,0.750716009732837,0.630788703032719,0.524986801728521,0.745098039215686,0.567375886524823,0.897711717502623,0.820222090397793,0.694765792492096
CODH,.,0.675345275804501,0.972824738174417,0.559237996786881,0.606786427145709,0.317460317460317,0.968793649886034,0.814612136195644,0.669145515578623
ldh,.,0.866310579319191,0.655308482652514,0.695085561048456,0.593922651933702,0.517441860465116,0.758654412959299,0.80986772847709,0.817953109885857
lyase_1,.,0.532818948677401,0.78325557154912,0.863015112429758,0.559405940594059,0.531400966183575,0.810714463281959,0.807754744052177,0.582476009128344
AFOR,.,0.84268837787689,1,0.512129976846037,0.588726513569937,0.417582417582418,0.698555495458714,0.800520277716321,0.805964957955955
ATP-gua_Ptrans,.,0.699696950410512,0.662158137688001,0.701209324538381,0.647058823529412,0.526946107784431,0.810714463281959,0.796407041049128,0.686713751562011
pgk,.,0.690987334583393,0.823149848612703,0.724171433231779,0.634615384615385,0.452380952380952,0.698555495458714,0.788137215942447,0.712164215196221
Sec1,.,0.740635571853107,0.801930808557108,0.768681607506447,0.539748953974895,0.404761904761905,0.758654412959299,0.784871512111415,0.745464844219249
ghf15,.,0.681288768561175,0.777932198342188,0.81329048872208,0.628498727735369,0.346820809248555,0.758654412959299,0.782131011991933,0.722075186674946
GATase_2,.,0.819315861879887,0.706159726013802,0.542676522661875,0.60774818401937,0.429292929292929,0.897711717502623,0.780893317338583,0.751800428218017
p450,.,0.737835178231346,0.760547476051031,0.828901691082484,0.588390501319261,0.458333333333333,0.627473563075303,0.780401346241681,0.763363829098461
PK,.,0.881644203136245,0.842445525388402,0.675757267076343,0.543237250554324,0.427230046948357,0.627473563075303,0.779124443630675,0.853009837548984
cat,.,0.595181560485075,0.737789745371525,0.865385516125452,0.654427645788337,0.573275862068966,0.540476308854639,0.768321524609311,0.657776150626642
Bacterial_PQQ,.,0.746583960402826,0.876718618156541,0.54441898381053,0.578842315369261,0.304597701149425,0.897711717502623,0.762215661481407,0.71506752034355
Gly_radical,.,0.60661813303828,0.92580781257755,0.743692943204423,0.553497942386831,0.283422459893048,0.810714463281959,0.753532339677748,0.650566255307571
alk_phosphatase,.,0.82243937784262,0.760237256167176,0.45858255811669,0.589622641509434,0.518072289156627,0.758654412959299,0.747951261451641,0.740430658050986
Sec23_NC,.,0.623175705116593,0.845560133022285,0.83441460610097,0.58433734939759,0.308,0.698555495458714,0.74326202778589,0.685129953618864
lipoxygenase,.,0.397783184909207,0.802799424231899,1,0.57421875,0.414893617021277,0.698555495458714,0.741259566981966,0.520237118536219
actin,.,0.644864068306105,0.753176651610668,0.579147564966895,0.627604166666667,0.521212121212121,0.758654412959299,0.740018062347607,0.624723889950666
DNA_photolyase,.,0.686081749952266,0.850957959001343,0.789181261663421,0.522776572668113,0.402777777777778,0.627473563075303,0.738147898750547,0.715110203928237
Peptidase_M16,.,0.696186666797221,0.79077530153373,0.72927590573593,0.494226327944573,0.438423645320197,0.698555495458714,0.727153361088879,0.692374526694817
HMG-CoA_red,.,0.716460145796717,0.698925398322339,0.245290416715177,0.683937823834197,0.566473988439306,0.934870415988059,0.726639973247128,0.600477206854369
AMP-binding,.,0.861865199234298,0.941641435449446,0.866446407737686,0.589690721649485,0.311557788944724,0.27023815442732,0.725078024775246,0.926177833599127
Amidase,.,0.864969132024851,0.86922370576265,0.146947277956609,0.705035971223022,0.48936170212766,0.758654412959299,0.72257270753887,0.740100544868818
aldedh,.,0.627900145405053,0.85471782399365,0.359911620603648,0.582568807339449,0.434343434343434,0.968793649886034,0.720513588752867,0.560595982111176
phosfruc,.,0.671379683438022,0.642452970665617,0.547132857405779,0.546783625730994,0.5,0.897711717502623,0.712640857090958,0.608000091376927
alpha-amylase,.,1,0.678587382736891,0.699703533135532,0.765903307888041,0.365384615384615,0.27023815442732,0.703776288670396,1
Glyco_transf_28,.,0.773696862286237,0.656710676527532,0.510111514450195,0.656593406593407,0.423312883435583,0.758654412959299,0.703521440516947,0.717883635656579
ATP-synt,.,0.783145742863158,0.693850201022495,0.629256654100567,0.588383838383838,0.533333333333333,0.540476308854639,0.699845591437302,0.749391535109901
thymid_phosphorylase,.,0.7176106571623,0.769729984613104,0.625948723559469,0.585241730279898,0.415094339622642,0.627473563075303,0.690392254347223,0.705804742568677
urease,.,0.614147862741546,0.92660197548022,0.706796780315733,0.58252427184466,0.367647058823529,0.540476308854639,0.689388143907695,0.662998758356176
PEPCK_ATP,.,0.705997836059474,0.881098922916557,0.989298352299406,0.571428571428571,0.317073170731707,0.27023815442732,0.688330622479503,0.813858220916499
AP_endonucleas1,.,0.585683721977705,0.533243162753769,0.655798610157107,0.565543071161049,0.604838709677419,0.758654412959299,0.677485495352534,0.552172770353045
fbpase,.,0.630230542894491,0.657591700997675,0.658192612753629,0.608955223880597,0.484848484848485,0.627473563075303,0.664878699915991,0.626812101148466
WD40,.,0.722653323998688,0.60718717426913,0.523489822094732,0.641337386018237,0.524137931034483,0.627473563075303,0.65761495221533,0.670756534935511
Fe-ADH,.,0.665411711716122,0.758549659999013,0.541905398322311,0.527173913043478,0.452702702702703,0.698555495458714,0.656930395574124,0.626527827091976
chorismate_bind,.,0.78811497280387,0.695004218990429,0.536960294036253,0.553444180522565,0.402843601895735,0.627473563075303,0.642944859258986,0.732379431900824
RNA_dep_RNA_pol,.,0.676216726966518,0.776989129895274,0.656157623563457,0.557562076749436,0.394088669950739,0.540476308854639,0.642132409302734,0.681039471676939
oxidored_q6,.,0.63612018192767,0.446679406363239,0.466842022131571,0.663082437275986,0.621212121212121,0.758654412959299,0.639055873689607,0.557703344543404
laminin_G,.,0.65497877673715,0.314004566436701,0.44201983597289,0.679347826086957,0.64367816091954,0.856634682062789,0.638389840513511,0.548671875058363
ptpase,.,0.59317428533661,0.546011813173186,0.613721202699071,0.565371024734982,0.495934959349593,0.758654412959299,0.632238068441342,0.558622912667779
CASc,.,0.57235247751607,0.464560480468567,0.51648802065524,0.653679653679654,0.548076923076923,0.810714463281959,0.629819802337719,0.518530017726756
icd,.,0.676285268069148,0.685623169702695,0.641269893915944,0.610354223433243,0.409356725146199,0.540476308854639,0.628953379916092,0.675269428828744
ricin,.,0.666772742182642,0.483359805430097,0.506942946007738,0.642857142857143,0.54954954954955,0.698555495458714,0.62365482970639,0.60147826144956
Fapy_DNA_glyco,.,0.620341040943517,0.452573584156458,0.590976022363287,0.597744360902256,0.569230769230769,0.698555495458714,0.617219510735405,0.569263624492537
rasgap,.,0.538360986404383,0.605958703529071,0.772604773494138,0.540816326530612,0.529801324503311,0.540476308854639,0.616734573720226,0.560760466189905
FAA_hydrolase,.,0.604135965964447,0.500545986995591,0.523517467601952,0.626760563380282,0.453900709219858,0.810714463281959,0.613815905724698,0.55300409781349
Glu_syn_central,.,0.371140279158119,0.832034546086264,0.73998027638662,0.565557729941292,0.283261802575107,0.698555495458714,0.603775622556378,0.452712018920165
sugbp,.,0.673969557958846,0.605487169305612,0.585864855940151,0.596491228070175,0.484375,0.540476308854639,0.602439220627953,0.644634297023399
ech,.,0.583955507032807,0.482441554573895,0.469646547273751,0.633466135458167,0.68503937007874,0.627473563075303,0.600834767010384,0.51706407757721
citrate_synt,.,0.589987124064292,0.699086712661944,0.582092208582742,0.599431818181818,0.58125,0.428317341031395,0.600192675863246,0.584181472852047
eIF6,.,0.649515071698889,0.424393209907193,0.451856833561888,0.595348837209302,0.423913043478261,0.934870415988059,0.600100105305865,0.556526882724632
Pept_C1-like,.,0.562418913427692,0.647503350374752,0.721068102135362,0.572519083969466,0.4321608040201,0.540476308854639,0.59880351202296,0.586341353998815
Cu_nir,.,0.599313609815086,0.524159924554533,0.575632425487274,0.580547112462006,0.551020408163265,0.627473563075303,0.592581439276525,0.558987495778118
PAP2,.,0.718119819638984,0.894860276964315,0.124904505289227,0.576699029126214,0.382222222222222,0.758654412959299,0.591652674237777,0.603460662036528
Binary_toxA,.,0.592077627694522,0.391360996674453,0.502442060774771,0.636363636363636,0.788990825688073,0.540476308854639,0.590356785765651,0.518860025136572
tubulin,.,0.523702982027544,0.747816052017671,0.357859253697241,0.616407982261641,0.441988950276243,0.758654412959299,0.588530965567318,0.479213229666593
NTP_transf_2,.,0.555677406404676,0.624336129448562,0.606001147534372,0.552023121387283,0.476744186046512,0.627473563075303,0.58708807006566,0.541292833001681
hexapep,.,0.64018369015505,0.265014642378525,0.318050649859459,0.754491017964072,0.765432098765432,0.698555495458714,0.586905565120559,0.51620270679004
Extradiol_dioxy,.,0.751391629173052,0.490829900233293,0.509835399746754,0.516728624535316,0.354838709677419,0.810714463281959,0.584351381688087,0.660631557815049
KAS,.,0.705336903998394,0.61191492529906,0.420917880382277,0.656534954407295,0.608,0.428317341031395,0.583204857584971,0.642258623398938
aconitase,.,0.752287559300293,0.864036829304606,0.31622631111418,0.571743929359823,0.379120879120879,0.540476308854639,0.580740094594554,0.682522573554532
Peptidase_C15,.,0.584180713512878,0.38246389040553,0.441817770384548,0.680412371134021,0.626373626373626,0.698555495458714,0.577252892706421,0.508053565686958
