X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
fusion_gly,.,0.792974504249292,0.677905743294438,0.717417317012145,0.784313725490196,1,0.815464876785729,1,0.737549829620597
dsrm,.,0.827514808138038,0.798454311259281,0.554578118749871,0.794117647058823,0.902439024390244,0.815464876785729,0.966211549394414,0.754302071220046
RNA_pol_K,.,0.771712593355653,0.77208667979997,0.708506598543077,0.986666666666667,0.641509433962264,0.630929753571457,0.902122089908129,0.805746485104303
Skp1,.,0.797826422868916,0.771935141688134,0.7896191634249,0.746478873239437,0.592592592592593,0.732486760358964,0.873652559493229,0.803798681694038
Propep_M14,.,0.812196755086273,0.817017729959086,0.812342821444906,0.727272727272727,0.553571428571429,0.630929753571457,0.84619661610228,0.834654187628429
IF3,.,0.786273499871234,0.911501742688285,0.89934618565803,0.706666666666667,0.538461538461538,0.5,0.842276191280647,0.849565522431836
Rop,.,0.775441668812774,0.895211395666009,0.552705091898318,0.847457627118644,0.911111111111111,0.315464876785729,0.826406447542117,0.758891943113565
L15,.,0.756008241050734,0.740945597817852,0.529303236561076,0.623376623376623,0.818181818181818,0.815464876785729,0.821414146597391,0.650639915733444
Colicin_Pyocin,.,0.828045325779037,0.937566297923928,0.775582856696633,0.805194805194805,0.618181818181818,0.315464876785729,0.820266343202119,0.884460632308276
Ribosomal_S15,.,0.753778006695854,0.911880587967874,0.706415591079975,0.6875,0.714285714285714,0.5,0.818081379160316,0.753884685344331
RNA_pol_H,.,0.804985835694051,0.662903470222762,0.694670965294899,0.746031746031746,0.613636363636364,0.732486760358964,0.811308376553538,0.771954342612686
urease_gamma,.,0.772310069533865,0.73412638278527,0.647919431000164,0.73134328358209,0.723404255319149,0.630929753571457,0.806114213945839,0.733634607938263
protg,.,0.792706670100438,0.483633883921806,0.608290020351019,0.803571428571429,0.9,0.630929753571457,0.798719742759817,0.710603683897204
tetR,.,0.820442956476951,0.540991059251401,0.631232742670366,0.692307692307692,0.680851063829787,0.815464876785729,0.785332284191787,0.735056801228268
zf-TAZ,.,0.785717228946691,0.685558417942113,0.67782867214779,0.632352941176471,0.66,0.732486760358964,0.782733296720408,0.728194138766177
HLH,.,0.817816121555498,0.276026670707683,0.431532573583198,0.941176470588235,0.878048780487805,0.815464876785729,0.777823373348937,0.679856500864577
Elicitin,.,0.773613185681174,0.913699045309895,0.819628773185739,0.74025974025974,0.595744680851064,0.315464876785729,0.77723780225975,0.831857966419382
Ribosomal_L4,.,0.789791398403296,0.891877557205637,0.603288418724213,0.702702702702703,0.533333333333333,0.630929753571457,0.774942792750159,0.768855877493018
SNAP-25,.,0.790584599536441,0.77269283224731,0.759270040654229,0.824561403508772,1,0,0.773239601527487,0.817775329245715
transcript_fac2,.,0.739371619881535,0.910744052129109,0.605944601242735,0.746666666666667,0.5,0.630929753571457,0.768480509609294,0.735704099044428
PX,.,0.754880247231522,0.781557811789666,0.644739508547587,0.662337662337662,0.549019607843137,0.732486760358964,0.765425599167319,0.717831265732893
Band_41_M,.,0.785485449394798,0.855811486588877,0.734792720805371,0.74025974025974,0.472727272727273,0.5,0.752709059044836,0.813163557985557
tryp_alpha_amyl,.,0.784630440381148,0.634868919533263,0.558449943982903,0.73134328358209,0.551020408163265,0.815464876785729,0.748004231468382,0.71327017788253
utg,.,0.764594385784187,0.551068343688438,0.58817661561116,0.8125,0.666666666666667,0.630929753571457,0.726125828234289,0.708840322553088
mdm2,.,0.78202935874324,0.682451886649493,0.606416866006786,0.61038961038961,0.679245283018868,0.630929753571457,0.71817536323925,0.707888569722939
sh2,.,0.788266804017512,0.505758448249735,0.518912742415381,0.606060606060606,0.551020408163265,1,0.710589027330412,0.656361611719629
UcrQ,.,0.779706412567602,0.51492650401576,0.515632419476419,0.696969696969697,0.951612903225806,0.5,0.706636942845325,0.664499601479102
Clp_N,.,0.775178985320628,0.681466888922565,0.6281084707731,0.74025974025974,0.477611940298507,0.630929753571457,0.697689123345188,0.747086436236531
STAS,.,0.809595673448365,0.787770874374906,0.577865900010678,0.592105263157895,0.530612244897959,0.630929753571457,0.696034830778196,0.748446457183164
ATP-synt_g,.,0.590847283028586,1,1,0.746666666666667,0.586666666666667,0,0.694372393023853,0.739375544726265
COX3,.,0.595869173319598,0.677223821791181,0.681430531628544,0.907407407407407,0.733333333333333,0.315464876785729,0.689613552415391,0.622625248211867
Arch_histone,Superfamily,1,0.784361266858615,0.665400239367509,0.742857142857143,0.711538461538462,0,0.687288508705524,1
Ribosomal_L30,.,0.797960339943343,0.723064100621305,0.639349117989695,0.689655172413793,0.552631578947368,0.5,0.686758972909543,0.769234692285441
cytc,.,0.826402266288952,0.533262615547811,0.384908165428128,0.64,0.551020408163265,0.946394630357186,0.679445586021116,0.671909180756612
DUF50,.,0.776085500901365,0.549022579178663,0.489995521819576,0.608108108108108,0.51063829787234,0.946394630357186,0.678828791893949,0.650464886462745
NusB,.,0.738398145763585,0.844597666313077,0.726836093815489,0.712328767123288,0.537037037037037,0.315464876785729,0.67685398254324,0.767699988018415
ptpase,.,0.600685037342261,0.955068949840885,0.661055033809465,0.675324675324675,0.469387755102041,0.5,0.672204932355591,0.623920090710787
RuBisCO_small,.,0.753206283801185,0.523488407334443,0.6085829347859,0.746666666666667,0.707692307692308,0.5,0.664462544194256,0.693087231194949
Ribosomal_L12,.,0.794931753798609,0.707758751325959,0.329506985802096,0.666666666666667,0.707317073170732,0.630929753571457,0.663569035763768,0.662816966963363
B,.,0.825212464589235,0.636838914987119,0.60207484776577,0.823529411764706,0.941176470588235,0,0.660640148534934,0.799436273618157
Ribosomal_L6_D,.,0.797718259078033,0.474768904379451,0.595858655239073,0.711538461538462,0.604651162790698,0.630929753571457,0.655911223075664,0.719033756839641
ATP-synt_DE_N,.,0.724414112799382,0.534777996666162,0.536536374458754,0.521739130434783,0.608695652173913,0.885621874580711,0.654609298843805,0.592261765605842
Rhodanese,.,0.739098635075972,0.677981512350356,0.524910603725655,0.708333333333333,0.517857142857143,0.630929753571457,0.650125454413553,0.678626366031475
MIF,.,0.75736286376513,0.517426882861039,0.504753851474214,0.688311688311688,0.515625,0.815464876785729,0.650066791683153,0.655509293740307
Dehydratase_SU,.,0.763698171516868,0.831110774359751,0.632133860940545,0.650793650793651,0.604651162790698,0.315464876785729,0.649680230023182,0.749504574973738
Endonuclease_3,.,0.675086273499871,0.967191998787694,0.650212578109188,0.644736842105263,0.543478260869565,0.315464876785729,0.649085292510414,0.692227409347895
Ald_Xan_dh_1,.,0.706587689930466,0.741021366873769,0.764113423863761,0.557377049180328,0.5,0.5,0.639508050531719,0.69754282245993
Mur_ligase,.,0.613911923770281,0.804212759509016,0.820226140143142,0.702702702702703,0.326530612244898,0.5,0.638971937721683,0.673731915835074
RRF,.,0.691944372907546,0.80784967419306,0.823749782864027,0.637931034482759,0.490196078431373,0.315464876785729,0.638813332236257,0.734242234002445
Bac_DNA_binding,.,0.845459696111254,0.74283982421579,0.610595215518409,0.746268656716418,0.821428571428571,0,0.638620927832611,0.829277339813604
PTS_EIIA_2,.,0.745042492917847,0.728443703591452,0.573000906791694,0.736111111111111,0.48,0.5,0.637208025398023,0.718884340043645
SRP54,.,0.634653618336338,0.922942870131837,0.732694510005785,0.72,0.433962264150943,0.315464876785729,0.636189117000899,0.692273129624244
myb_DNA-binding,.,0.837017769765645,0.426579784815881,0.500374031653245,0.854545454545454,0.825,0.315464876785729,0.635928657596437,0.754400108962062
DAP_epimerase,.,0.762956476950811,0.692832247310198,0.746901274448714,0.584415584415584,0.469387755102041,0.5,0.63504825191821,0.747268162096074
lacI,.,0.845531805305176,0.643885437187452,0.543796190199956,0.807017543859649,0.906976744186046,0,0.631763200790286,0.804721031902453
TIR,.,0.755287149111512,0.657448098196696,0.591385447029181,0.72972972972973,0.381818181818182,0.630929753571457,0.631547621916018,0.722707382016891
CAT_RBD,.,0.792001030131342,0.399075617517806,0.446960909150309,0.563636363636364,0.9,0.630929753571457,0.626596604143114,0.616444305893628
Fe-ADH,.,0.594540303888746,0.778072435217457,0.753915985510457,0.733333333333333,0.547169811320755,0.315464876785729,0.623020991093825,0.635467029647504
hpr,.,0.817872778779294,0.346264585543264,0.524313587373125,0.735849056603774,0.476190476190476,0.815464876785729,0.620706790290518,0.707527563093754
Hydrolase,.,0.668122585629668,0.736172147295045,0.661306258137619,0.712328767123288,0.4375,0.5,0.62052084325729,0.669254888775222
lyase_1,.,0.456559361318568,0.84921957872405,0.703160639184557,0.76,0.442307692307692,0.5,0.619041169718534,0.504969151559255
PBD,.,0.809307236672676,0.640930444006669,0.71856870341537,0.8,0.74,0,0.618177636405014,0.826264515630942
Frataxin_Cyay,.,0.749626577388617,0.610774359751477,0.643146583116463,0.626865671641791,0.577777777777778,0.5,0.61795991606145,0.698020391141772
SCP2,.,0.744975534380633,0.703818760418244,0.525485404478499,0.723684210526316,0.508771929824561,0.5,0.617445122445337,0.699485012313168
UCR_14kD,.,0.736610867885655,0.563039854523413,0.621568319343668,0.67741935483871,0.603448275862069,0.5,0.615800347405953,0.681813634240466
int,.,0.751470512490342,0.713896044855282,0.57257932036839,0.706666666666667,0.452830188679245,0.5,0.61415742184275,0.719898098979762
PAN,.,0.789224826165336,0.597135929686317,0.717070090695106,0.588235294117647,0.5,0.5,0.612113788084758,0.750791205028373
SUI1,.,0.831527169714139,0.569252917108653,0.626566478668084,0.580645161290323,0.581395348837209,0.5,0.611307504042928,0.75630716216575
hip,.,0.783420036054597,0.669343839975755,0.544592095135039,0.626666666666667,0.565217391304348,0.5,0.611255482170163,0.713393695391448
Ribosomal_S30AE,.,0.782266288951841,0.514168813456584,0.377304868467395,0.701492537313433,0.576923076923077,0.732486760358964,0.609628920885715,0.64965156486296
KSI,.,0.684408962142673,0.472950447037429,0.580827013149276,0.720588235294118,0.581818181818182,0.630929753571457,0.604987435528226,0.613342924301109
GAF,.,0.743317022920422,0.580769813608122,0.553497108306626,0.5,0.56140350877193,0.732486760358964,0.604970320065163,0.629624420128146
biotin_lipoyl,.,0.784851918619624,0.629716623730868,0.345000358573166,0.653333333333333,0.62,0.630929753571457,0.60226666534077,0.652562800286391
BIR,.,0.818640226628895,0.710486437338991,0.577870171015495,0.767123287671233,0.785714285714286,0,0.600852407976839,0.799109795670175
GATA,.,0.795379860932269,0.343158054250644,0.435808614361732,0.6,0.980769230769231,0.5,0.599183052101079,0.61842469112745
Amino_oxidase_D2,.,0.76604687097605,0.615244734050613,0.631717023619613,0.558441558441558,0.45,0.630929753571457,0.598215178133336,0.700701938715643
