,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
COX1,.,0.8953051493707563,0.9758156043003686,0.8492143315645051,0.6305220883534136,0.3092369477911647,0.0,0.6541517140193858,1.0
pgk,.,0.9428267808671703,0.7552258517158128,0.8250935589132734,0.6224899598393574,0.3855421686746988,0.0,0.6183678484566874,0.9885672611227267
icd,.,0.9574096332794702,0.8104661480365678,0.7874709663901616,0.5983935742971888,0.40160642570281124,0.0,0.6250764113973151,0.9535708291592758
Glyco_transf_28,.,0.941616849880997,0.8029343183178226,0.7120386850144798,0.606425702811245,0.3614457831325301,0.0,0.5887458311746299,0.9510593543756969
Arginosuc_synth,.,0.9420466937839796,0.7083221559604667,0.779170617951015,0.6104417670682731,0.40963855421686746,0.0,0.5957291999834533,0.9399819111048761
citrate_synt,.,0.953751980067979,0.8401188584635106,0.8513736783052384,0.5622489959839357,0.41365461847389556,0.0,0.643341262091679,0.9164214542832743
Dala_Dala_ligas_C,.,0.8228366513567943,0.6060956232847077,0.7339792945773307,0.7327935222672065,0.42105263157894735,0.0,0.5588499481416617,0.9006396639812244
Endonuclease_3,.,0.8754965095083064,0.8102391613875061,0.7650911713032782,0.6639676113360324,0.4251012145748988,0.0,0.6207875705477613,0.8932634602781828
ech,.,0.9879763108249023,0.8268091867687483,0.7806149356900257,0.5943775100401606,0.5180722891566265,0.0,0.6674076395246348,0.890922490917335
Topoisom_bac,.,0.9761317232760474,0.7353129320484568,0.7636833627867335,0.5870445344129555,0.5141700404858299,0.0,0.6309043432547257,0.8664221644406861
Peptidase_S21,.,0.8224864081765862,0.6641629351437305,0.6181185848208482,0.708502024291498,0.38461538461538464,0.0,0.525853888425582,0.8638138230670602
MCR_alpha,.,0.9010125211936925,0.838818844018903,0.763129741093362,0.6144578313253012,0.4497991967871486,0.0,0.6283716172730756,0.8482533777332172
RNA_pol_A_bac,.,0.8878704418636121,0.5741111409174464,0.63766425746404,0.6842105263157895,0.4898785425101215,0.0,0.5469078698569978,0.8444470176701573
CASc,.,0.877156184578156,0.7157301747797234,0.6669901381388594,0.6072874493927125,0.38866396761133604,0.0,0.5419373272274393,0.8306499139372389
Aldolase_II,.,0.7849745675690736,0.6987680815501179,0.6243014879281664,0.7044534412955465,0.3603238866396761,0.0,0.5188967720834361,0.8300833450422899
dNK,.,0.8192068583982743,0.8015517632735657,0.9165040531327779,0.6072874493927125,0.3967611336032389,0.0,0.6211805035368924,0.8238935054920647
Isochorismatase,.,0.818713333917072,0.8062772126039515,0.7793878102047826,0.680161943319838,0.44534412955465585,0.0,0.6180086962038777,0.8237898560787027
NiFeSe_Hases,.,0.8169820181967253,0.6485627618084706,0.7303382251630877,0.642570281124498,0.3815261044176707,0.0,0.5319866559962698,0.8185691607562766
PK,.,0.8919380387973923,0.7037824229793082,0.6202718228055163,0.6184738955823293,0.42971887550200805,0.0,0.5442570647055954,0.8148436442214028
gluts,.,0.853351588432423,0.7409050576752435,0.6197378530341493,0.6477732793522267,0.41295546558704455,0.0,0.5471822074227246,0.8099779475315805
ldh,.,0.8549555429963305,0.8086708899940185,0.7248989959283081,0.606425702811245,0.41365461847389556,0.0,0.5843447084457448,0.7955420572336517
Hydrolase,.,0.8326036600412332,0.8017374796227889,0.7605359381881308,0.6032388663967612,0.39271255060728744,0.0,0.5794101782432999,0.7907254268018212
