Rank              Template      Weighted Combined Scores
********************************************************
1          Pep_deformylase      1.0000
2                      GFP      0.9428
3         tRNA-synt_1_edit      0.9298
4          AP_endonucleas1      0.9125
5                laminin_G      0.8765
6                    gluts      0.8672
7             Ald_Xan_dh_1      0.8646
8          Cys-protease-3C      0.8523
9            Peptidase_M24      0.8430
10          Spermine_synth      0.8383
11                Fimbrial      0.8368
12                    IF4E      0.8365
13              PTS_EIIA_2      0.8314
14           formyl_transf      0.8238
15                     ung      0.8221
16            Ribosomal_S7      0.8098
17         Cytidylyl_trans      0.8085
18               hemopexin      0.8081
19                   cyclo      0.8036
20         Phage_integrase      0.8019
21                 Astacin      0.8012
22           Peptidase_S21      0.7959
23            Flavoprotein      0.7951
24                RNase_U2      0.7945
25          Fapy_DNA_glyco      0.7908
26                     tms      0.7903
27                    YgbB      0.7901
28           Peptidase_S11      0.7887
29          Sua5_yciO_yrdC      0.7842
30                arginase      0.7837
31                 Jacalin      0.7812
32                    blmb      0.7811
33               lipocalin      0.7803
34                    dhfr      0.7765
35             adeno_fiber      0.7742
36                 Dwarfin      0.7720
37          UPP_synthetase      0.7702
38              leukocidin      0.7647
39           DAP_epimerase      0.7579
40                   ricin      0.7576
41                   cryst      0.7571
42          Nitroreductase      0.7571
43          LysR_substrate      0.7563
44                    DSBA      0.7547
45              peroxidase      0.7536
46                    CASc      0.7532
47                     TNF      0.7482
48                      C2      0.7435
49          Recep_L_domain      0.7434
50                 hormone      0.7421
51             Aldolase_II      0.7396
52                   START      0.7384
53                 hexapep      0.7382
54            Ribosomal_L1      0.7361
55                     ech      0.7354
56                     cah      0.7332
57                     uce      0.7329
58            tRNA-synt_2b      0.7320
59                   LMWPc      0.7286
60                    UreE      0.7219
61                   TyrKc      0.7206
62           Flavin_Reduct      0.7181
63                    MATH      0.7156
64                    WD40      0.7135
65           RNA_pol_A_bac      0.7131
66           Peptidase_C15      0.7127
67                capsid_n      0.7111
68                   CBD_6      0.7094
69       Dala_Dala_ligas_C      0.7047
70               OMPdecase      0.7034
71                     CPS      0.7016
72           FAA_hydrolase      0.7008
73          PA_phosphatase      0.6996
74               THAUMATIN      0.6981
75                     int      0.6965
76                     SIS      0.6895
77                    RuvA      0.6872
78              Hpr_kinase      0.6863
79             aminotran_4      0.6862
80          Me-amine-deh_L      0.6834
81          Ala_racemase_N      0.6776
82           DMRL_synthase      0.6765
83                  serpin      0.6761
84                  DUF101      0.6759
85         7kD_DNA_binding      0.6733
86                 MutS_D2      0.6730
87               RNA_pol_H      0.6711
88                  RhoGEF      0.6705
89              tyrosinase      0.6704
90                     PBP      0.6659
91                     pgk      0.6656
92                 phoslip      0.6655
93         ribonuclease_T2      0.6646
94          Heme_oxygenase      0.6645
