Rank              Template      Weighted Combined Scores
********************************************************
1                      RGS      1.0000
2                 capsid_n      0.9615
3                RNA_pol_H      0.9475
4                      MIF      0.9373
5          Bac_DNA_binding      0.9244
6                       CH      0.9159
7                  gag_p17      0.9142
8            DMRL_synthase      0.9113
9           Sua5_yciO_yrdC      0.9081
10                 SAM_PNT      0.9073
11           Ribosomal_S15      0.8999
12          Heme_oxygenase      0.8966
13                    CARD      0.8947
14          Ala_racemase_N      0.8919
15                Syntaxin      0.8869
16          LysR_substrate      0.8827
17                   Clp_N      0.8574
18           RNA_pol_A_bac      0.8536
19                  SRF-TF      0.8468
20         Isochorismatase      0.8417
21            Mur_ligase_C      0.8394
22                    tetR      0.8320
23       Dala_Dala_ligas_C      0.8311
24           MoCF_biosynth      0.8303
25           Peptidase_S11      0.8292
26         Topoisomerase_I      0.8245
27                     BAG      0.8243
28                    dhfr      0.8207
29           Ribosomal_L30      0.8186
30                    ACPS      0.8133
31           Peptidase_C15      0.8122
32         DNA_polymeraseX      0.8097
33                     dNK      0.8096
34           biotin_lipoyl      0.8076
35               Band_41_M      0.8045
36                 thionin      0.8043
37                   ghf22      0.8025
38           Bac_rhodopsin      0.7995
39             Bacteriofer      0.7955
40                     CPS      0.7905
41                     cks      0.7902
42                     msb      0.7893
43                     sh2      0.7884
44                phosfruc      0.7822
45                    mdm2      0.7797
46                    parv      0.7735
47                    aspg      0.7728
48                     hip      0.7723
49                       B      0.7715
50                    DSBA      0.7712
51                    RING      0.7704
52                    STAS      0.7699
53                     BIR      0.7679
54                   DUF28      0.7654
55                   phero      0.7652
56          Haloperoxidase      0.7634
57              PTS_EIIA_2      0.7623
58                 hormone      0.7608
59                     Rop      0.7590
60                     cah      0.7583
61                     il8      0.7578
62                 Jacalin      0.7548
63                      Fz      0.7544
64                   DHHA2      0.7540
65           Frataxin_Cyay      0.7515
66                    cytc      0.7500
67                     PAN      0.7498
68                    BRCT      0.7484
69            Ribosomal_S8      0.7481
70                  OTCace      0.7477
71          Colicin_Pyocin      0.7464
72                 CAT_RBD      0.7445
73              Propep_M14      0.7441
74               Rhodanese      0.7423
75                    MATH      0.7417
76                 phoslip      0.7402
77         Phage_integrase      0.7390
78                     SCP      0.7367
79         S-AdoMet_syntD2      0.7338
80                Elicitin      0.7331
81         Ribosomal_S30AE      0.7330
82                 dutpase      0.7320
83                    SCP2      0.7320
84         S_T_dehydratase      0.7284
85                  CBM_20      0.7281
86                    COX3      0.7261
87             oxidored_q6      0.7250
88                   Bcl-2      0.7246
89                     PDZ      0.7237
90                  DUF101      0.7232
91                  mthina      0.7231
92            DNA_ligase_N      0.7213
93               Amidase_2      0.7205
94                  SRP54M      0.7205
95                 SNAP-25      0.7204
96                rnasemam      0.7175
97           RuBisCO_small      0.7170
98                     SAP      0.7157
99            Ald_Xan_dh_1      0.7138
100        Pep_deformylase      0.7130
101                    PBD      0.7101
102               aakinase      0.7098
103                    hpr      0.7090
104                 fbpase      0.7086
105                MutS_D2      0.7076
106             fusion_gly      0.7074
107                    PAH      0.7034
