X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Bcl-2,.,0.801192674436204,0.783362005406733,0.902304986275807,0.698795180722892,0.637931034482759,0.647685462377997,1,0.865764916449821
NusB,.,0.782884819131225,1,1,0.440860215053763,0.517241379310345,0.647685462377997,0.972321299874827,0.862540111648336
Colicin_Pyocin,.,0.915199031330407,0.879392971246005,0.893072498938759,0.675,0.509803921568627,0.44211410869774,0.947494302903959,1
parv,.,0.916767065233843,0.811255836814943,0.875538827165162,0.516483516483517,0.724137931034483,0.44211410869774,0.938016047506967,0.942629749893798
Clp_N,.,0.882488270016649,0.656856721553207,0.748610435158833,0.511363636363636,0.485714285714286,1,0.937592508182963,0.843922232839955
RNA_pol_K,.,0.894723777811412,0.562791840747113,0.592899211133793,0.782051282051282,0.773584905660377,0.647685462377997,0.92710507193964,0.853596090316301
Pro_CA,.,0.754962918117148,0.862742688621283,0.804456891195701,0.655913978494624,0.694915254237288,0.44211410869774,0.914160122778572,0.809785459452935
Bacteriofer,.,0.828406235810504,0.855677070533301,0.833534404824544,0.593023255813954,0.451612903225806,0.647685462377997,0.912428850222556,0.879245421776521
Ribosomal_S15,.,0.866032995308007,0.600577537478496,0.762760371127772,0.608108108108108,0.784313725490196,0.55788589130226,0.90228862816937,0.846751156391063
Ribosomal_S7,.,0.881707280157409,0.806709265175718,0.803128504535622,0.565217391304348,0.453125,0.647685462377997,0.894881101744492,0.909929503136016
zf-TAZ,.,0.858543968518238,0.892049643647088,0.7542125169609,0.735632183908046,0.912280701754386,0,0.893254586041335,0.92170429449114
Dehydratase_SU,.,0.849480853640079,0.67811501597444,0.617217170271711,0.607594936708861,0.609375,0.783091851446946,0.890626035296494,0.80517409786083
msb,.,0.939288633267746,0.653784713688866,0.57925734290747,0.582417582417582,0.5,0.884228217395481,0.888649529356086,0.873775244734486
cytb,.,1,0.747173752764806,0.75640146437973,0.571428571428571,0.777777777777778,0.27894294565113,0.886219425135563,0.998625881593959
dCMP_cyt_deam,.,0.887543514454367,0.636151388547554,0.739411057463537,0.454545454545455,0.571428571428571,0.836828836953389,0.884270614746531,0.837089812335424
EF_TS,.,0.910398062660814,0.715286311132956,0.708408255857279,0.511363636363636,0.549295774647887,0.72105705434887,0.880886242418687,0.879792760023199
tetR,.,0.908612078098986,0.70656180879823,0.780928518733338,0.761194029850746,0.956521739130435,0,0.880219094189225,0.952833955020888
SNAP-25,.,0.850183139094899,0.677131973457852,0.803447134100297,0.772727272727273,1,0,0.876758009531413,0.899324916585468
Rop,.,0.835550174057817,0.717006635536987,0.6286239057383,0.745762711864407,0.888888888888889,0.27894294565113,0.873837902048306,0.834279361167318
SRP54M,.,0.834635992129559,0.650589825509953,0.76401598615843,0.722222222222222,0.672727272727273,0.44211410869774,0.870999692998981,0.861444654938287
urease_gamma,.,0.874000302709248,0.79147210616859,0.628939838983637,0.590909090909091,0.733333333333333,0.44211410869774,0.86244248736979,0.853274041759419
RGS,.,0.830319358256395,0.701708036372572,0.775675044928146,0.546666666666667,0.472727272727273,0.72105705434887,0.858215142694913,0.833353656382643
Endonuclease_3,.,0.736533979113062,0.892295404276238,0.694781869722634,0.670212765957447,0.483333333333333,0.55788589130226,0.853821978720374,0.782189995586694
