Rank              Template      Weighted Combined Scores
********************************************************
1          AP_endonucleas1      1.0000
2                   OTCace      0.7959
3                Hydrolase      0.7670
4              aminotran_4      0.7625
5                    gluts      0.7619
6                    SRP54      0.7594
7                    sugbp      0.7490
8                      KAS      0.7419
9               peroxidase      0.7294
10                    COX1      0.7271
11                  ptpase      0.7208
12                arginase      0.7193
13                     icd      0.7186
14                  serpin      0.7131
15                  Fe-ADH      0.7099
16         S_T_dehydratase      0.7097
17                phosfruc      0.7094
18                    mofe      0.7073
19            citrate_synt      0.7069
20                     pgk      0.7050
21                   actin      0.7046
22                  galpha      0.7027
23                   TyrKc      0.6996
24                   GP120      0.6977
25          Transpeptidase      0.6971
26                 Amidase      0.6909
27                 tubulin      0.6903
28             AMP-binding      0.6838
29         Arginosuc_synth      0.6821
30           formyl_transf      0.6761
31                    ghf6      0.6759
32                     DAO      0.6738
33                     cah      0.6738
34          Fapy_DNA_glyco      0.6706
35            tRNA-synt_2b      0.6686
36           Peptidase_S11      0.6681
37          DNA_photolyase      0.6640
38                  aldedh      0.6639
39            cytochrome_b      0.6626
40                 lyase_1      0.6626
41             NO_synthase      0.6590
42         chorismate_bind      0.6572
43          Spermine_synth      0.6569
44              Mur_ligase      0.6540
45                      PK      0.6534
46             voltage_CLC      0.6526
47               aconitase      0.6521
48            DNA_ligase_N      0.6499
49                  rasgap      0.6479
50                   ghf15      0.6465
51           Peptidase_M24      0.6440
52                     tms      0.6436
53           Trypan_glycop      0.6431
54           Peptidase_M17      0.6412
55                     ech      0.6390
56                aakinase      0.6385
57         Glyco_transf_28      0.6381
58         alk_phosphatase      0.6361
59                     cat      0.6343
60                  urease      0.6314
61           Peptidase_M16      0.6289
62                  fbpase      0.6272
63           DNA_topoisoIV      0.6269
64                    6PGD      0.6231
65          PA_phosphatase      0.6228
66             biopterin_H      0.6224
67         Extradiol_dioxy      0.6219
68             hormone_rec      0.6218
69               PEPCK_ATP      0.6199
70                     PGI      0.6153
71                     CPS      0.6143
72                 annexin      0.6128
73              leukocidin      0.6081
74                hemocyan      0.6072
75          Haloperoxidase      0.6058
76               MCR_alpha      0.6039
77         Beta_elim_lyase      0.6038
78                   DUF28      0.6029
79              tyrosinase      0.6028
80                  Cu_nir      0.5972
81                GATase_2      0.5961
82            fibrinogen_C      0.5952
83            NTP_transf_2      0.5952
84    thymid_phosphorylase      0.5928
85                  lipase      0.5912
86          ATP-gua_Ptrans      0.5911
87                   ricin      0.5903
88                  glnasn      0.5901
89           Bacterial_PQQ      0.5898
90                   GroEL      0.5864
91                ATP-synt      0.5820
92                    WD40      0.5820
93            cytochr_c552      0.5787
94                    Sec1      0.5716
95         Glu_syn_central      0.5705
96                     ldh      0.5675
97              ADP_PFK_GK      0.5672
98         RNA_dep_RNA_pol      0.5669
99                    ENTH      0.5666
100                   subt      0.5619
101            Gly_radical      0.5617
102              CoA_trans      0.5602
103            HMG-CoA_red      0.5592
104        Cytidylyl_trans      0.5579
105         Ala_racemase_N      0.5576
106        ATP-sulfurylase      0.5565
107                    NMT      0.5539
108           Pept_C1-like      0.5536
109          Peptidase_S21      0.5535
110       tRNA-synt_1_edit      0.5489
111          FAA_hydrolase      0.5471
112                   AFOR      0.5394
113                    ung      0.5367
114                    GFP      0.5359
115            Fe_hyd_lg_C      0.5357
116                    dNK      0.5352
117            Zn_dep_PLPC      0.5306
118            oxidored_q6      0.5269
119         Endonuclease_3      0.5261
120                   COX3      0.5258
121               Sec23_NC      0.5257
122           TonB_dep_Rec      0.5207
123           Ribosomal_L1      0.5196
124           Ald_Xan_dh_2      0.5188
125           tRNA-synt_2d      0.5179
126           Topoisom_bac      0.5159
127             ATP-synt_g      0.5153
128                  ghf33      0.5116
129      Dala_Dala_ligas_C      0.5090
130                   PAP2      0.5089
131              OMPdecase      0.5085
132                    HIT      0.5076
133                   intb      0.5045
134           NiFeSe_Hases      0.5044
135                     ku      0.5041
136                   CODH      0.4976
137                Plectin      0.4976
138                  VAT-N      0.4961
139                   CASc      0.4946
140         UPP_synthetase      0.4891
141         Dehydratase_SU      0.4883
142                 Pro_CA      0.4862
143                  cyclo      0.4831
144        GTP_cyclohydroI      0.4825
145                Astacin      0.4813
146                    GEL      0.4811
147                 BChl_A      0.4789
148        Isochorismatase      0.4788
149           lipoxygenase      0.4763
150              THAUMATIN      0.4731
151            Aldolase_II      0.4722
152                    sh2      0.4699
153                   p450      0.4690
154         Colicin_Pyocin      0.4671
155                   eIF6      0.4636
156         LysR_substrate      0.4611
157                    CUB      0.4570
158          Ribosomal_S15      0.4517
