,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
tubulin,.,1.0,0.8463949536207109,0.7618453508687235,0.728110599078341,0.3686635944700461,0.8947086834694673,1.0
PK,.,0.9803152121942567,0.8581587376215806,0.9318255438407134,0.6889400921658986,0.3778801843317972,0.9432992352636952,0.9723802475708183
COX1,.,0.9851339530640978,0.9397314213511202,0.827289067300628,0.6728110599078341,0.3225806451612903,0.9103525427056143,0.970530332567365
DNA_photolyase,.,0.9845037930783755,0.8629876681065303,0.9769616961107846,0.6705069124423964,0.38940092165898615,0.9606753548601876,0.960452479567036
Ald_Xan_dh_2,.,0.9199851053094283,0.7577209015309617,0.8122850890570273,0.7188940092165899,0.2926267281105991,0.8198569639547805,0.9600322379599605
voltage_CLC,.,0.952914269598306,1.0,0.9738442365768647,0.6912442396313364,0.37327188940092165,1.0,0.9506719762776692
6PGD,.,0.9917770731933027,0.870568991018,0.9410618041936847,0.7027649769585254,0.4470046082949309,0.9859872127462207,0.9473813887030033
cat,.,0.9917153792086864,0.6704279431498782,0.8763447646292901,0.7396313364055299,0.4792626728110599,0.913970371139374,0.9473109155857987
Gly_radical,.,0.8465472300502584,0.9348045409577551,0.8789159483341997,0.7027649769585254,0.195852534562212,0.8409598692733504,0.938526877777822
aconitase,.,0.9611768568236851,0.9144505499887302,0.9423788767094032,0.6682027649769585,0.3686635944700461,0.9498290419260127,0.9290950167041346
Amidase,.,0.9342628560348835,0.9047339190737838,0.7909863848795625,0.6898148148148148,0.3148148148148148,0.8688137452540756,0.9134022065776908
AMP-binding,.,0.9659272936391299,0.8165398215352707,0.8544785559561863,0.6474654377880185,0.33640552995391704,0.8637392878413427,0.9108958316228981
ATP-synt,.,0.984825483141017,0.8199092983848062,0.8745411378948964,0.6658986175115207,0.4009216589861751,0.909819226271291,0.9105474825621866
ADP_PFK_GK,.,0.92503519862158,0.8939790191296183,0.9809717827113824,0.6751152073732719,0.35714285714285715,0.9415058684958914,0.9094962062860138
urease,.,0.9334035469634441,0.8354245638780322,0.8211853567385777,0.6820276497695853,0.3248847926267281,0.8549518739763805,0.9054910821896701
Bacterial_PQQ,.,0.9028385842993215,0.7912491551820422,0.7994547046114163,0.695852534562212,0.2880184331797235,0.8109931572804133,0.9051108273896019
alk_phosphatase,.,0.9137892665686908,0.9207879090633038,0.9111521901440587,0.7073732718894009,0.3617511520737327,0.9351094313499368,0.9048213190689737
AFOR,.,0.8857251136381162,0.9232366567737251,0.8566550058197665,0.6820276497695853,0.2626728110599078,0.859877430404823,0.9021056339596802
thymid_phosphorylase,.,0.8918107845491822,0.940671740471919,0.9150412136658902,0.7442396313364056,0.3824884792626728,0.9569570415372568,0.9015365748842102
mofe,.,0.9607141519390638,0.9002086333049281,0.9984983915448523,0.6267281105990783,0.3663594470046083,0.9489595563992583,0.8981219861237433
pgk,.,0.9055222726301247,0.8189591842731665,0.8402619566308571,0.7152777777777778,0.3449074074074074,0.8652517361691896,0.8958802682055662
PGI,.,0.9414766455217878,0.8171373159766113,0.9879408385195435,0.6774193548387096,0.4147465437788018,0.9438880838163588,0.8889758778110711
chorismate_bind,.,0.9395288782931919,0.8619983740315179,0.9200924427438776,0.652073732718894,0.35023041474654376,0.9016638599618021,0.8875505186022384
hemocyan,.,0.9106759237021679,0.6867072179287532,0.7845002599232827,0.7027649769585254,0.3317972350230415,0.788568170649947,0.8833901444493462
PEPCK_ATP,.,0.9024265566163493,0.7694944805226603,0.8426315958863277,0.716589861751152,0.3617511520737327,0.8534687394493476,0.8800001619050086
ghf15,.,0.8716500717192571,0.9873644618142252,1.0,0.6728110599078341,0.3064516129032258,0.9437249598563031,0.8788235819547278
Sec23_NC,.,0.8765305065737143,0.7275229447660463,0.9139725762287103,0.7119815668202765,0.35023041474654376,0.8488137820049969,0.8726193654498935
serpin,.,0.9028033305938267,0.74040335772286,0.8096610041969244,0.7013888888888888,0.3425925925925926,0.8181419590866109,0.8679456309993174
aldedh,.,0.9478707863559345,0.9443840420009115,0.8448836675462923,0.6497695852534562,0.35714285714285715,0.9090669459521588,0.8625932617151373
lyase_1,.,0.9639641029143797,0.9325614880550094,0.9700054286560144,0.6474654377880185,0.4308755760368664,0.982932338823842,0.860511533466402
TonB_dep_Rec,.,0.9289175129392115,0.6559313567041872,0.7442061618975699,0.6797235023041475,0.35253456221198154,0.7682894989271962,0.8492078826129604
Glu_syn_central,.,0.8798443548902397,0.6866582429745487,0.7915383302119094,0.7073732718894009,0.3317972350230415,0.7814935147038483,0.8468992295200245
DNA_topoisoIV,.,0.9796101380843577,0.7573584868698238,0.885616576604688,0.6589861751152074,0.4700460829493088,0.9118500403767984,0.8378072301119851
cytochrome_b,.,0.8872696666101139,0.7507566630425231,0.9210103481224247,0.7222222222222222,0.4351851851851852,0.8989126787926001,0.8268810174361283
NiFeSe_Hases,.,0.8847468233106315,0.8189004143281109,0.8732276887459719,0.6866359447004609,0.3617511520737327,0.8653743753132681,0.8260939660465476
Pept_C1-like,.,0.9161909252555342,0.8048739874428235,0.9007845867944478,0.6889400921658986,0.4308755760368664,0.9081894192021676,0.8225754171794626
GATase_2,.,0.937841107142621,0.8153350376617389,0.8003921335428066,0.6705069124423964,0.4055299539170507,0.8669718488215655,0.8186122940432582
citrate_synt,.,0.8436476127732988,0.7923853741196787,0.8645547127320207,0.7245370370370371,0.3541666666666667,0.8484656043907587,0.8185354720825488
Beta_elim_lyase,.,0.8462233366310237,0.9146464498055686,0.9799059160841039,0.6682027649769585,0.3387096774193548,0.9104047720184872,0.8021573055420277
CODH,.,0.8592495808114081,0.8542897162391171,0.8675903268042395,0.6912442396313364,0.35714285714285715,0.8669393249513496,0.7962168739031007
Peptidase_M16,.,0.9573386096379224,0.8335047456730648,0.7327038053237489,0.6497695852534562,0.41013824884792627,0.8499970436792207,0.7929225782865413
cytochr_c552,.,0.8886049007057351,0.8388626056634687,0.8610784546297996,0.6751152073732719,0.39400921658986177,0.8772947185178758,0.7836727247263557
psaA_psaB,.,0.9078798641850995,0.7762432292125907,0.8520781820247331,0.7142857142857143,0.4930875576036866,0.9088917212954303,0.7705761369534944
PAP2,.,0.8684618147285574,0.7405111026221229,0.8868706451660344,0.684331797235023,0.4078341013824885,0.8516722533954334,0.764983687383664
lipase,.,0.8687328275895498,0.8126805951436401,0.83229408779503,0.6705069124423964,0.3663594470046083,0.837902810268622,0.7645285058195759
actin,.,0.861825304669133,0.7641758004956317,0.7574687500599454,0.6782407407407407,0.3449074074074074,0.7849534095356926,0.7587987225303924
Sec1,.,0.9071152994471778,0.7078839881284749,0.86445291743903,0.6728110599078341,0.45852534562211983,0.8600508095387455,0.7542721928600725
NO_synthase,.,0.8691096015670271,0.7763607691026848,0.859491803624603,0.6736111111111112,0.3958333333333333,0.8466688980608852,0.7528735551816488
RNA_dep_RNA_pol,.,0.887315937098576,0.7989578129744463,0.906579032343664,0.6428571428571429,0.4032258064516129,0.8704037964232433,0.7497320846018587
lipoxygenase,.,0.8511985158189985,0.6319042441695385,0.7430971558915198,0.6981566820276498,0.3640552995391705,0.7414752059759704,0.7495571631549335
icd,.,0.8081801816887847,0.6907917291097359,0.7286526681087666,0.7337962962962963,0.3472222222222222,0.7489165832555172,0.7405603979557477
ATP-sulfurylase,.,0.8371300839699197,0.7972534845679936,0.9215471605699258,0.6682027649769585,0.3824884792626728,0.8585182499573367,0.7325491481210009
galpha,.,0.7110033424919522,0.6049484293732238,0.7988543766754075,0.7893518518518519,0.3101851851851852,0.7142314819159417,0.7288835553884566
KAS,.,0.7306462665224203,0.6206595946832846,0.5119025254653415,0.7824074074074074,0.24074074074074073,0.5935924484680765,0.7114060256544522
Fe_hyd_lg_C,.,0.7817068522186699,0.8180286601432052,0.8000629186986827,0.7060185185185185,0.33101851851851855,0.7960679037665025,0.7033022117362766
Fe-ADH,.,0.7945061506699306,0.7583673709265131,0.6343188677873953,0.7222222222222222,0.3125,0.7170163803737934,0.7030647132829285
