Rank              Template      Weighted Combined Scores
********************************************************
1                  tubulin      1.0000
2                       PK      0.9724
3                     COX1      0.9705
4           DNA_photolyase      0.9605
5             Ald_Xan_dh_2      0.9600
6              voltage_CLC      0.9507
7                     6PGD      0.9474
8                      cat      0.9473
9              Gly_radical      0.9385
10               aconitase      0.9291
11                 Amidase      0.9134
12             AMP-binding      0.9109
13                ATP-synt      0.9105
14              ADP_PFK_GK      0.9095
15                  urease      0.9055
16           Bacterial_PQQ      0.9051
17         alk_phosphatase      0.9048
18                    AFOR      0.9021
19    thymid_phosphorylase      0.9015
20                    mofe      0.8981
21                     pgk      0.8959
22                     PGI      0.8890
23         chorismate_bind      0.8876
24                hemocyan      0.8834
25               PEPCK_ATP      0.8800
26                   ghf15      0.8788
27                Sec23_NC      0.8726
28                  serpin      0.8679
29                  aldedh      0.8626
30                 lyase_1      0.8605
31            TonB_dep_Rec      0.8492
32         Glu_syn_central      0.8469
33           DNA_topoisoIV      0.8378
34            cytochrome_b      0.8269
35            NiFeSe_Hases      0.8261
36            Pept_C1-like      0.8226
37                GATase_2      0.8186
38            citrate_synt      0.8185
39         Beta_elim_lyase      0.8022
40                    CODH      0.7962
41           Peptidase_M16      0.7929
42            cytochr_c552      0.7837
43               psaA_psaB      0.7706
44                    PAP2      0.7650
45                  lipase      0.7645
46                   actin      0.7588
47                    Sec1      0.7543
48             NO_synthase      0.7529
49         RNA_dep_RNA_pol      0.7497
50            lipoxygenase      0.7496
51                     icd      0.7406
52         ATP-sulfurylase      0.7325
53                  galpha      0.7289
54                     KAS      0.7114
55             Fe_hyd_lg_C      0.7033
56                  Fe-ADH      0.7031
57            DNA_ligase_N      0.6956
58                    ghf6      0.6899
59                     NMT      0.6867
60                   GP120      0.6843
61           Peptidase_M17      0.6839
62         Arginosuc_synth      0.6768
63             HMG-CoA_red      0.6727
64                      ku      0.6574
65         S_T_dehydratase      0.6568
66            NTP_transf_2      0.6471
67                arginase      0.6423
68                    p450      0.6390
69                    WD40      0.6337
70          Transpeptidase      0.6324
71           Trypan_glycop      0.6311
72                phosfruc      0.6243
73                   SRP54      0.6170
74                  rasgap      0.6095
75          Fapy_DNA_glyco      0.6072
76                  glnasn      0.6069
77                     tms      0.5916
78                  fbpase      0.5850
79         AP_endonucleas1      0.5815
80                aakinase      0.5715
81                  ptpase      0.5708
82                  OTCace      0.5650
83                     DAO      0.5637
84         Glyco_transf_28      0.5598
85                   ghf33      0.5563
86              peroxidase      0.5537
87                  Cu_nir      0.5520
88                    ENTH      0.5421
89                   TyrKc      0.5380
90                    eIF6      0.5345
91         Extradiol_dioxy      0.5332
92             hormone_rec      0.5274
93             biopterin_H      0.5239
94              ATP-synt_g      0.5220
95          Ala_racemase_N      0.5219
96          ATP-gua_Ptrans      0.5189
97                    COX3      0.5178
98               OMPdecase      0.5109
99          Haloperoxidase      0.5095
100             Mur_ligase      0.5043
101           Topoisom_bac      0.5033
102          Peptidase_S11      0.5012
103                    ldh      0.4981
104         PA_phosphatase      0.4977
105                    CPS      0.4969
106                    cah      0.4958
107        Cytidylyl_trans      0.4901
108            Zn_dep_PLPC      0.4870
109                annexin      0.4845
110            Aldolase_II      0.4818
111           tRNA-synt_2b      0.4810
112          Peptidase_S21      0.4808
113                  sugbp      0.4806
114                  DUF28      0.4769
115          Peptidase_M24      0.4761
116                   CASc      0.4754
117         UPP_synthetase      0.4737
118                  ricin      0.4735
119            oxidored_q6      0.4728
120                    ech      0.4692
121          FAA_hydrolase      0.4676
122                  GroEL      0.4666
123             tyrosinase      0.4664
124         Spermine_synth      0.4657
125      Dala_Dala_ligas_C      0.4654
126           fibrinogen_C      0.4650
127         Endonuclease_3      0.4599
128            aminotran_4      0.4597
129              Hydrolase      0.4581
130          alpha-amylase      0.4576
131                 BChl_A      0.4554
132          RNA_pol_A_bac      0.4515
133                   blmb      0.4473
134             leukocidin      0.4461
135                    MIP      0.4410
136              MCR_alpha      0.4399
