,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Colicin_Pyocin,.,0.9930627659938615,0.7791459074733115,0.8831265702818244,0.8666666666666667,0.5866666666666667,0.0,0.6993741610496103,1.0
RGS,.,0.937165546592426,0.6739501779359441,0.79270472069716,0.84,0.48,0.0,0.5736952978828971,0.9716334618130779
mdm2,.,0.9912714078705658,0.633665480427047,0.7855317780386706,0.8,0.5333333333333333,0.0,0.5802206226511905,0.9591535293327802
gag_p17,.,0.9541777438015585,0.7347330960854102,0.7688134476907333,0.88,0.6,0.0,0.6435493247274806,0.946512121496883
BAG,.,0.9640929680636217,0.8927402135231328,0.8286099962182041,0.8533333333333334,0.6133333333333333,0.0,0.7135606638492112,0.938008920694873
ghf22,.,0.9402918658649293,0.513594306049823,0.66857724793584,0.8266666666666667,0.49333333333333335,0.0,0.48181325879780773,0.9341474417753155
Mur_ligase_C,.,0.9145624864507148,0.5465480427046274,0.6238419965186294,0.8666666666666667,0.49333333333333335,0.0,0.4826261196753561,0.9321675242266861
SUI1,.,0.9461109272845522,0.5196441281138802,0.5154398708893431,0.9066666666666666,0.5733333333333334,0.0,0.4879303586082366,0.9248165727284247
Bacteriofer,.,0.8644957383932544,0.8962989323843418,0.8618883077510446,0.8266666666666667,0.4533333333333333,0.0,0.6321059746872675,0.9241340818117244
BIR,.,0.957703410426389,0.5808540925266918,0.6020981143739298,0.84,0.5466666666666666,0.0,0.509525399489944,0.9161065350868375
Sua5_yciO_yrdC,.,0.8622936229932795,0.4525978647686844,0.7157423814626042,0.8,0.38666666666666666,0.0,0.40828239573549185,0.9143069568282177
Dehydratase_SU,.,0.9186015996713942,0.6576512455516025,0.7576804760392777,0.9066666666666666,0.6666666666666666,0.0,0.6336028539742774,0.8990994490187745
SCP,.,0.9260751001220862,0.47316725978647767,0.6744950604353134,0.8533333333333334,0.5866666666666667,0.0,0.5050890255583774,0.8939255276505405
dNK,.,0.7727827664502585,0.7053380782918164,0.8576788631791495,0.8666666666666667,0.4266666666666667,0.0,0.5427734762545487,0.8910303021532638
Bac_DNA_binding,.,0.954987848430565,0.6589323843416377,0.8109076526842928,0.8904109589041096,0.7397260273972602,0.0,0.6818362803264931,0.890356629774986
capsid_n,.,0.9338452586059354,0.7311743772241992,0.800963310802239,0.8,0.5733333333333334,0.0,0.6114124751512463,0.8900691801235694
HMG_box,.,0.9485868808689798,0.5493238434163705,0.9053710408797454,0.8356164383561644,0.6986301369863014,0.0,0.643485334797486,0.8867764546457864
tetR,.,0.8654769918875437,0.7174377224199298,0.8848880061221281,0.8767123287671232,0.6164383561643836,0.0,0.651135197890743,0.8828734395836866
Dehydratase_MU,.,0.8115080497016304,0.5934519572953741,0.4928111604384187,0.88,0.38666666666666666,0.0,0.3910191593707307,0.8824420227483863
RhoGEF,.,0.8129457001700078,0.8862633451957308,0.898835346479668,0.88,0.5466666666666666,0.0,0.6719563704595954,0.8775510759175115
Nitroreductase,.,0.8153531942083223,0.539074733096087,0.7504679821988387,0.92,0.56,0.0,0.528327070080153,0.8770385646951997
UPP_synthetase,.,0.8333124151386875,0.7395729537366557,0.75584506528593,0.8533333333333334,0.49333333333333335,0.0,0.5578818110270382,0.8763934333699481
