,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
BAG,.,0.9336139932155445,0.7608434939036571,0.8937080322014436,0.9056603773584906,0.6792452830188679,0.0,0.5956314899462735,1.0
Pep_deformylase,.,0.8528303554656853,0.45712572456526107,0.6475103654687583,0.8301886792452831,0.39622641509433965,0.0,0.310456150221264,0.9790538569459047
cytc,.,0.9591606722577651,0.3982610433739759,0.6348410375104816,0.8301886792452831,0.6037735849056604,0.0,0.38032180664171755,0.9590501364509568
e3,.,0.8311620866067778,0.27473515890465683,0.5896946354288493,0.9019607843137255,0.49019607843137253,0.0,0.2827418458075692,0.9553476332699308
LMWPc,.,0.8613053999403321,0.4632220667599436,0.6130553769096336,0.7924528301886793,0.41509433962264153,0.0,0.2992843998653641,0.9419080021090059
Hpr_kinase,.,0.8582115114750113,0.46632020787527495,0.5563433695066049,0.8113207547169812,0.41509433962264153,0.0,0.2883754841179127,0.9416541049922328
Bac_DNA_binding,.,0.982221190926067,0.7796322206675984,0.8779435207509504,0.8679245283018868,0.8113207547169812,0.0,0.6377137540628507,0.9413957865184034
int,.,0.8090739328847194,0.5266839896062365,0.8023135135484468,0.8113207547169812,0.4339622641509434,0.0,0.36796257166799684,0.9388919329658807
RuBisCO_small,.,0.9101667384890774,0.39896062362582485,0.7494388543352094,0.8490566037735849,0.6415094339622641,0.0,0.4157549648787696,0.9349096989487929
Colicin_Pyocin,.,0.9625749991712799,0.5843493903657803,0.6866965639512483,0.7924528301886793,0.6226415094339622,0.0,0.4444639462631076,0.9323554566583874
FYVE,.,0.9829394150340879,0.5336797921247248,0.6582766253409544,0.7547169811320755,0.6037735849056604,0.0,0.4112155625711884,0.926827681253488
Dehydratase_SU,.,0.8916807549087854,0.46642014791125286,0.6843277124215005,0.9056603773584906,0.6981132075471698,0.0,0.4437394419710887,0.9172052620630374
Skp1,.,0.9080231157666765,0.673196082350589,0.5783989525199633,0.8490566037735849,0.6037735849056604,0.0,0.4340084780167878,0.9145446498615161
lh2,.,0.9818565540712256,0.6939836098340997,0.9457846605969156,0.9056603773584906,0.9622641509433962,0.0,0.6868695770576422,0.9050054379754108
GAF,Fold,0.8914929116805338,0.48800719568259104,0.6256315527518078,0.7547169811320755,0.49056603773584906,0.0,0.32963711390476774,0.9027866499054181
CARD,.,0.9146528767637925,0.5324805116929846,0.7248885809848478,0.9433962264150944,0.5283018867924528,0.6580863868987364,0.6327448285198448,0.9014074746812287
uce,.,0.879161556225898,0.388366979812112,0.6736569900546189,0.7735849056603774,0.5283018867924528,0.0,0.32752037101973547,0.897599579730429
tRNA-synt_1_edit,.,0.8298250848056926,0.2545472716370173,0.5586011746906333,0.6981132075471698,0.3018867924528302,0.0,0.15451676415496282,0.8975487119948025
GBP_PSP,.,0.671219102551353,0.12432540475714561,0.5333811442558105,0.9215686274509803,0.35294117647058826,0.0,0.14311825804399103,0.8972033431564451
mthina,.,0.7691296228770952,0.1049370377773336,0.570318137911224,0.8235294117647058,0.39215686274509803,0.0,0.1594458466436365,0.8954628349929549
TIR,.,0.8872056662357323,0.5539676194283434,0.6852334896695575,0.8113207547169812,0.6037735849056604,0.0,0.4135549694131626,0.8926244599530133
transketolase_C,.,0.8878465431321201,0.4888067159704172,0.5434777099172229,0.8301886792452831,0.5849056603773585,0.0,0.35408732966815576,0.8892598671579617
MutS_D2,.,0.8753825924575418,0.2584449330401755,0.6290786306896524,0.7358490566037735,0.4716981132075472,0.0,0.24892652947270744,0.889249420910598
SNAP-25,.,0.9865857835825018,0.8828702778332997,0.9517376470600071,0.9056603773584906,1.0,0.0,0.7552826043816043,0.8878841416364444
END,.,0.6468989292935989,0.06835898460923442,0.4624966745540488,0.9411764705882353,0.3333333333333333,0.0,0.09953686824657014,0.8878164578148486
zf-CCHC,.,0.5971757218152285,0.0,0.5065930805086997,0.9411764705882353,0.27450980392156865,0.0,0.06124902115132341,0.8863286168812168
ghf22,.,0.9058684434426139,0.5964421347191686,0.7377529469006874,0.8867924528301887,0.4716981132075472,0.6580863868987364,0.619723839960125,0.883830265993955
MIF,.,0.9126528988629959,0.4770137917249653,0.7316357115292887,0.7547169811320755,0.6037735849056604,0.0,0.3957650118370071,0.8831829414881396
Ald_Xan_dh_1,.,0.8721561087722787,0.41655006995802485,0.7051308975090166,0.7924528301886793,0.5849056603773585,0.0,0.3644572629734446,0.8819575164834055
gag_p17,.,0.9208959017027436,0.7152708374975018,0.8825152982707437,0.9056603773584906,0.5283018867924528,0.7714062387077765,0.754474364980896,0.8809096180996151
PH,.,0.932939967514171,0.5245852488506891,0.7681027034888657,0.6981132075471698,0.5849056603773585,0.0,0.404083333705608,0.8754305084841022
galpha,.,0.672235665904244,0.576054367379572,0.5250340386657416,0.8113207547169812,0.22641509433962265,0.0,0.20297470528542147,0.875314572758961
Ala_racemase_N,.,0.75864355089999,0.38606835898460873,0.6626712896170089,0.8301886792452831,0.4528301886792453,0.0,0.2835067774937502,0.8744601431798654
neur_chan_memb,.,0.6712412017546767,0.292424545272836,0.38795787241085056,0.9803921568627451,0.43137254901960786,0.0,0.18923137140176657,0.8678394107139724
Band_41_M,.,0.9315145688997911,0.761543074155507,0.8589990797122693,0.8301886792452831,0.5094339622641509,0.6580863868987364,0.7042294756763681,0.8664882243286834
RGS,.,0.9095258615926894,0.6353188087147714,0.7422711027000441,0.8301886792452831,0.4339622641509434,0.6580863868987364,0.6060912738672396,0.8656112776129566
DEFSN,.,0.7453508801007723,0.16739956026384153,0.5231308491191482,0.8235294117647058,0.39215686274509803,0.0,0.15699435403436363,0.8651165523019385
mdm2,.,0.9611496005568999,0.6147311613032173,0.6350048901240954,0.9056603773584906,0.5849056603773585,0.6580863868987364,0.6493883819861589,0.8644741088088462
zf-CCHH,.,0.7192075225688114,0.26154307415550654,0.4847568713765519,0.8823529411764706,0.43137254901960786,0.0,0.1937992504107507,0.8565874574482859
ATP-synt_DE_N,.,0.9568181567054506,0.2751349190485704,0.5835217740003916,0.7169811320754716,0.6226415094339622,0.0,0.30215794277911295,0.8562824307306917
NHase_alpha,.,0.7982895216627439,0.36048370977413535,0.35411224791122975,0.8679245283018868,0.49056603773584906,0.0,0.22036335410237587,0.8543102542914849
FN1,.,0.9172384835526678,0.44063561862882233,0.5836417522188159,0.7647058823529411,0.6274509803921569,0.0,0.35363973014853894,0.8529154152654773
ENTH,.,0.7258041347609417,0.604237457525485,0.8385875252344457,0.8679245283018868,0.5660377358490566,0.0,0.43116679717854933,0.8476392915877208
Amidase_2,.,0.8736478049966299,0.30661603038177065,0.6773775418151108,0.8679245283018868,0.39622641509433965,0.7714062387077765,0.5149464863974689,0.8470110579866567
Elicitin,.,0.9461773903050794,0.7010793523885672,0.778223063979248,0.9056603773584906,0.660377358490566,0.6580863868987364,0.733012011654603,0.8401242090653529
UPP_synthetase,.,0.7991071921857216,0.7263641814911056,0.6544683095479799,0.8113207547169812,0.5471698113207547,0.0,0.41266966377289643,0.8392701343186424
transcript_fac2,.,0.806974508568966,0.7045772536478118,0.680569863233519,0.9622641509433962,0.4339622641509434,0.7714062387077765,0.6494507114495965,0.8350087579727271
capsid_n,.,0.9042773008033059,0.7076753947631422,0.84115142996386,0.8490566037735849,0.5471698113207547,0.6580863868987364,0.6920206537423454,0.8349180369595313
