X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
mofe,.,0.899390363237827,0.923516944324159,0.869476740498539,0.65675057208238,0.391089108910891,0.747221736309214,1,0.919638937082299
DNA_topoisoIV,.,0.740943518083607,0.846441350076353,1,0.622171945701357,0.484251968503937,0.67118774147124,0.957659403710221,0.784922997647456
PGI,.,0.812000939408173,0.889958750199417,0.914505207558007,0.555309734513274,0.364372469635628,0.747221736309214,0.929434048187194,0.8285083826488
Beta_elim_lyase,.,0.790516870205104,0.892169374871809,0.621488506701944,0.603406326034063,0.529761904761905,0.747221736309214,0.895269397589393,0.731036349953896
ATP-sulfurylase,.,0.851377798653515,0.840948973312975,0.828277969708902,0.629139072847682,0.430434782608696,0.578129652635776,0.886190392536371,0.857078421424909
Peptidase_M16,.,0.786455886957883,0.856252421431663,0.791849133386669,0.549425287356322,0.47196261682243,0.67118774147124,0.875410593654425,0.764966109515542
Sec1,.,0.699472561452951,0.839513206773169,0.758503933147114,0.576576576576577,0.410377358490566,0.811507562957249,0.864628469153289,0.674083500773702
AFOR,.,0.725957022076092,0.95960482235237,0.681356712017339,0.573951434878587,0.270833333333333,0.867194478953664,0.858731717924952,0.702160839154036
annexin,.,0.622768905589479,0.724743043369271,0.838087530324843,0.625396825396825,0.765432098765432,0.458156909991326,0.843409272229048,0.610178379628442
alpha-amylase,.,1,0.769764579867363,0.741664830963232,0.738341968911917,0.490445859872611,0.289064826317888,0.841575506589269,1
Amidase,.,0.693816541412244,0.912885434946098,0.719801056569544,0.655940594059406,0.579310344827586,0.458156909991326,0.838335123137,0.691831875620593
serpin,.,0.705055190230155,0.750689395838554,0.868259222053908,0.579365079365079,0.505813953488372,0.578129652635776,0.827063198880015,0.703390748287843
PK,.,0.642251839674338,0.943845575332164,0.895993421769442,0.552631578947368,0.316582914572864,0.578129652635776,0.807050218094681,0.686245340846084
Sec23_NC,.,0.647741506184437,0.806980560176854,0.740720128903353,0.552338530066815,0.345291479820628,0.811507562957249,0.798455741054858,0.618257350531947
thymid_phosphorylase,.,0.78970467355566,0.940256158982655,0.792730225408652,0.650717703349282,0.43452380952381,0.289064826317888,0.795833896356026,0.825387474874441
Gly_radical,.,0.574227923907938,0.89800360081132,0.671839980768833,0.568281938325991,0.263959390862944,0.916313819982653,0.794322573837008,0.546422373274537
ghf15,.,0.658955691247847,0.915620228355246,0.689998079867158,0.556650246305419,0.31055900621118,0.747221736309214,0.789612451649704,0.637529584926727
6PGD,.,0.498864881791138,0.936974406891678,0.879768919027729,0.619047619047619,0.476190476190476,0.458156909991326,0.786154021325569,0.553735086441246
ghf6,.,0.683874471582903,0.708687527063059,0.655405006919275,0.609289617486339,0.453416149068323,0.747221736309214,0.782312835218667,0.624426917098524
chorismate_bind,.,0.555043447627994,0.882608992912326,0.858565945051102,0.548245614035088,0.423963133640553,0.578129652635776,0.77839245888592,0.577944955116162
GATase_2,.,0.665878933771724,0.837587456414228,0.699959709392407,0.616822429906542,0.346153846153846,0.67118774147124,0.775291949410792,0.649875421996981
ATP-gua_Ptrans,.,0.704668662909034,0.695093324825095,0.590658990464024,0.590909090909091,0.437158469945355,0.811507562957249,0.772666078385979,0.619972635175103
CODH,.,0.742068850790669,0.874176713234119,0.879838852870561,0.559734513274336,0.315555555555556,0.458156909991326,0.772505391479977,0.776420766974063
Arginosuc_synth,.,0.721113198684828,0.775097427015207,0.678921079946437,0.642317380352645,0.522842639593909,0.458156909991326,0.761757543585799,0.692542851164861
Trypan_glycop,.,0.823376585251292,0.719569725836965,0.621970827024373,0.614325068870523,0.71505376344086,0.289064826317888,0.756540445868582,0.757251868051594
RNA_dep_RNA_pol,.,0.614500156568029,0.893855830807443,0.799352588336358,0.505543237250554,0.388349514563107,0.578129652635776,0.755285321924426,0.615540820620724
fbpase,.,0.714048066384844,0.704847421317716,0.651618907704656,0.675757575757576,0.551724137931034,0.458156909991326,0.747132495785386,0.674196680919843
cytochr_c552,.,0.625592022858932,0.866052097814452,0.804097971561064,0.586666666666667,0.413793103448276,0.458156909991326,0.746512078195915,0.644264010949605
ku,.,0.823254266478785,0.69331570910915,0.849468593666475,0.562637362637363,0.53015873015873,0.289064826317888,0.744278576365815,0.816288104163638
lyase_1,.,0.767198019414436,1,0.990954503815856,0.604910714285714,0.383495145631068,0,0.743814846797801,0.875677489656186
