,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,sum_scores,weighted_combined_scores
serpin,.,1.0,0.7376858258546264,0.6869125276935807,0.6697819314641744,0.3987538940809969,0.8128283566766205,1.0
Peptidase_M17,.,0.9633151449442795,0.9565835445639456,0.7643391330047827,0.660436137071651,0.35202492211838005,0.8956714873650864,0.9980700569859703
COX1,.,0.9163156366824853,0.9620983763787083,0.8854381269294276,0.6666666666666666,0.3426791277258567,0.9268037069369339,0.9869099745550901
citrate_synt,.,0.9588272932477827,0.9176029321093367,0.8682813958292288,0.6697819314641744,0.411214953271028,0.9481735224536434,0.9862591490694965
S_T_dehydratase,.,0.9627700857283354,0.9196752757415859,0.6923973521918052,0.6853582554517134,0.38317757009345793,0.8739721257118449,0.9750490522362746
Amidase,.,0.9409114338019657,0.8352914982530675,0.7319046434900874,0.6791277258566978,0.367601246105919,0.8379388856868497,0.9643720889855842
mofe,.,0.924861809715088,0.7636500650818653,0.710782620992627,0.7009345794392523,0.3707165109034268,0.8037984389998025,0.9598260953079484
pgk,.,0.9517622593889412,0.831968897718708,0.7552663141136213,0.660436137071651,0.37383177570093457,0.8454387247546443,0.9587819244440755
AMP-binding,.,0.8986634200095978,0.8955264780434363,0.9272261550820522,0.6510903426791277,0.3395638629283489,0.9019270561381695,0.9584571072981511
Arginosuc_synth,.,0.9451563786739657,0.8028019456052619,0.7955470149754043,0.67601246105919,0.40186915887850466,0.865022384848929,0.9582448030426063
PGI,.,0.8953693664871525,0.8180105501130395,0.7927547588634594,0.6853582554517134,0.3395638629283489,0.8282614258164825,0.9517143103639589
tubulin,.,0.9439211086030488,0.726005343563745,0.65041940496634,0.6728971962616822,0.35202492211838005,0.7526524073565194,0.9482119703269989
DNA_topoisoIV,.,0.9291363773705632,0.7444509145714867,0.741855669725164,0.719626168224299,0.42990654205607476,0.8420651256502082,0.946732176825428
galpha,.,0.9462524216625491,0.8584640679591684,0.8864203683227484,0.658307210031348,0.4263322884012539,0.927853027116092,0.9446718642966315
hemocyan,.,0.8356764955062238,0.6773138316092361,0.8528333948298799,0.7040498442367601,0.3177570093457944,0.7698923824815305,0.9307534550076304
DNA_ligase_N,.,0.9418445514814354,0.7896485579228621,0.8788437123636831,0.6551724137931034,0.42946708463949845,0.8949704700185743,0.9294741720838411
phosfruc,.,0.9560990348897144,0.852315544289921,0.9044946597428387,0.6269592476489029,0.4231974921630094,0.9226803844002697,0.9274877111972287
Glyco_transf_28,.,0.9339352682935499,0.852777968075628,0.8157237884324023,0.6635514018691588,0.40498442367601245,0.8852019661247994,0.9269129102851054
KAS,.,0.973508344738105,0.8170343221209826,0.6956497631795117,0.6269592476489029,0.3730407523510972,0.8100033275002493,0.9263463572409131
arginase,.,0.8795804228948568,0.8840001370144522,0.7464992931183504,0.677115987460815,0.3103448275862069,0.8146216309421267,0.9250280706356012
cytochrome_b,.,0.9676045239914922,0.8876652736863702,0.9011289110734386,0.6635514018691588,0.4953271028037383,0.9846245969577881,0.9232158533566401
Transpeptidase,.,0.9608120197406229,0.7412310748784005,0.7124388619441503,0.6728971962616822,0.42990654205607476,0.8226571096630814,0.9220627669050068
OTCace,.,0.9162741647856198,0.8877851613345207,0.7546417487807104,0.6739811912225705,0.3761755485893417,0.8599234971722898,0.9175400221986373
aconitase,.,0.9255312846216281,0.7870281564705086,0.7853140747959825,0.6417445482866043,0.3613707165109034,0.8160248822916736,0.9167357000378348
SRP54,.,0.8912843846459189,0.9112660135644295,0.7580004433527936,0.6990595611285266,0.3730407523510972,0.8696064863015652,0.9160683901637747
glnasn,.,0.9134955476956437,0.8377406316366377,0.8022993691137515,0.6697819314641744,0.3925233644859813,0.8627653260023826,0.9107727898700863
DNA_photolyase,.,0.92872165840191,0.8095156539014846,0.8870086356037177,0.616822429906542,0.38006230529595014,0.8653250523393402,0.9071528473721672
alk_phosphatase,.,0.8937371511176676,0.9169863670617274,0.7394676633791426,0.6573208722741433,0.32087227414330216,0.8271738333394832,0.9066597128514621
Fe-ADH,.,0.920139938029137,0.9596834966088905,0.850430808164601,0.6230529595015576,0.3582554517133956,0.9017204802238258,0.9056171767538397
cat,.,0.9307537813483105,0.6705316160855022,0.8100171347911912,0.6635514018691588,0.42679127725856697,0.8162920247326055,0.9035408596364801
actin,.,0.9580037798671713,0.8196204699595823,0.7134461814865938,0.6355140186915887,0.3956386292834891,0.82466643827696,0.8983522049400442
lyase_1,.,0.9275722944030713,0.9242652599849288,0.8461135895185223,0.6292834890965732,0.3925233644859813,0.9050556748894147,0.8919009125885037
DAO,.,0.881485167872314,0.8051654449544393,0.7939245725925212,0.67601246105919,0.367601246105919,0.8254664498983187,0.8908987747511602
ATP-synt,.,0.9229985366344963,0.7404946221826452,0.6986120535860337,0.6635514018691588,0.38317757009345793,0.7785214488938611,0.8901614237599696
ghf6,.,0.8871401572377348,0.8545591559909556,0.8367393051691925,0.6573208722741433,0.38006230529595014,0.8627575740129285,0.8769868226880602
Trypan_glycop,.,0.9118811059962438,0.8188155100363053,0.7861358493613626,0.6947040498442367,0.45482866043613707,0.8833268168962373,0.8762591256651938
peroxidase,.,0.8780666986592728,0.7686853463040364,0.7122498454625019,0.6884735202492211,0.3644859813084112,0.7797941040547898,0.8759718645540334
ADP_PFK_GK,.,0.8864529086611094,0.8378776460916605,0.8038691279430513,0.6261682242990654,0.32710280373831774,0.8080817664217494,0.8730407536108565
icd,.,0.9605691129161259,0.8444543399328641,0.7363673876083727,0.5981308411214953,0.3862928348909657,0.8261280173030082,0.8685504622452173
aldedh,.,0.8875311779796077,0.9050489826676711,0.6566774723958453,0.6728971962616822,0.3426791277258567,0.8013112372310662,0.8664046742465786
voltage_CLC,.,0.900455598409849,0.9158046173871347,0.7116135047860384,0.6542056074766355,0.3707165109034268,0.8371083945334502,0.8543682002635075
aminotran_4,.,0.8473093625769451,0.7182469000479581,0.764592858331897,0.6833855799373041,0.3542319749216301,0.7618085269862462,0.8516277671500856
Peptidase_M16,.,0.9145412319523192,0.7051448927861905,0.8092181888399625,0.6355140186915887,0.4143302180685358,0.8069739501528463,0.8508890809871545
GP120,.,0.9342670434684724,0.6317222716996672,0.7391300109571793,0.6520376175548589,0.445141065830721,0.7758614730691481,0.8502441596204048
ptpase,.,0.821854504736683,0.7839795848462006,0.7863394183902317,0.6927899686520376,0.3385579937304075,0.784498618496994,0.8460151747012306
HMG-CoA_red,.,0.9001741819668343,0.8212132629992491,0.8223219799951355,0.67601246105919,0.45482866043613707,0.886657953054693,0.845959067561213
