Rank              Template      Weighted Combined Scores
********************************************************
1                      BAG      1.0000
2                    LMWPc      0.9935
3                      RGS      0.9917
4                     mdm2      0.9617
5             Ribosomal_S8      0.9581
6                     RuvA      0.9487
7                      PDZ      0.9327
8                      BIR      0.9171
9          S-AdoMet_syntD2      0.9151
10                    IF4E      0.9009
11               THAUMATIN      0.9000
12          Sua5_yciO_yrdC      0.8995
13           Ribosomal_L12      0.8991
14               hemopexin      0.8980
15            fibrinogen_C      0.8970
16          Dehydratase_SU      0.8967
17         Ribosomal_S30AE      0.8964
18          Nitroreductase      0.8958
19            Ribosomal_L4      0.8899
20                    Skp1      0.8898
21                UCR_14kD      0.8870
22          Dehydratase_MU      0.8851
23         ribonuclease_T2      0.8814
24                 hormone      0.8810
25          LysR_substrate      0.8771
26                Elicitin      0.8754
27            Ribosomal_L1      0.8729
28                     ung      0.8720
29             hormone_rec      0.8686
30                 SAM_PNT      0.8683
31                      PH      0.8675
32         transcript_fac2      0.8626
33             adeno_fiber      0.8606
34                     IF3      0.8603
35                Orbi_VP7      0.8595
36                     GFP      0.8534
37                 Astacin      0.8528
38         transketolase_C      0.8461
39            Topoisom_bac      0.8376
40                  SRP54M      0.8367
41        tRNA-synt_1_edit      0.8311
42                    YgbB      0.8305
43                   ghf22      0.8300
44            tRNA-synt_2b      0.8299
45                  zf-TAZ      0.8282
46         7kD_DNA_binding      0.8225
47                    STAS      0.8191
48                    NusB      0.8175
49            Flavoprotein      0.8157
50           Frataxin_Cyay      0.8152
51                     il8      0.8108
52            urease_gamma      0.8062
53              Propep_M14      0.8056
54                   cyclo      0.8055
55                     TNF      0.8053
56                    blmb      0.8044
57                    tetR      0.8042
58                     uce      0.8015
59           RuBisCO_small      0.8005
60                     dNK      0.7987
61                 phoslip      0.7973
62             Zn_dep_PLPC      0.7951
63             Bacteriofer      0.7943
64                capsid_n      0.7943
65           DAP_epimerase      0.7908
66           Peptidase_S21      0.7883
67                     sh2      0.7876
68                      bv      0.7856
69                   Clp_N      0.7837
70                   protg      0.7833
71                    ACPS      0.7826
72                  DUF101      0.7826
73                     MIF      0.7825
74                      CH      0.7810
75                    MATH      0.7790
76            Ald_Xan_dh_1      0.7789
77                 gag_p17      0.7785
78           Trypan_glycop      0.7782
79                    parv      0.7774
80                    mutT      0.7765
81                  CBM_20      0.7755
82                    PGAM      0.7748
83                    fkbp      0.7731
84                 DNA_PPF      0.7728
85                     msb      0.7728
86                    cytc      0.7722
87               OMPdecase      0.7712
88                   GroEL      0.7675
89                  galpha      0.7672
90                   sugbp      0.7667
91                     utg      0.7663
92                  EFTU_C      0.7662
93                  kunitz      0.7654
94               Amidase_2      0.7651
95           Ribosomal_L14      0.7630
