X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
protg,Fold,0.97493254671981,0.625050751116525,0.812052071932014,0.857142857142857,0.925,0.594316128917787,1,1
Ribosomal_L30,.,0.941846785946307,0.842570036540806,0.686826359706316,0.566666666666667,0.918918918918919,0.718565020789978,0.964812643972879,0.904214506866045
UcrQ,.,0.80880140934923,0.721579374746246,0.923327122457138,0.521739130434783,0.955882352941177,0.718565020789978,0.956879388564611,0.812069643869002
fkbp,.,1,0.698538367844092,0.783561948201689,0.520547945205479,0.566037735849057,1,0.931614180514739,0.967440860203176
Propep_M14,.,0.936473934647867,0.883170929760455,0.819795917045346,0.470588235294118,0.731707317073171,0.661641895892028,0.911295912286148,0.93894944785211
Ribosomal_L12,.,0.955173564166945,0.874238733252133,0.669397520411007,0.683333333333333,0.722222222222222,0.594316128917787,0.909834686904825,0.962208471442547
Arch_histone,.,0.85600992631351,0.823995127892814,0.821537128120569,0.666666666666667,0.764705882352941,0.511916049619631,0.893080884957424,0.899712624118982
RNA_pol_K,.,0.931200580595696,0.768473406414942,0.699607909859952,0.771428571428571,0.862745098039216,0.405683871082213,0.891310218934598,0.950937282061895
IF3,.,0.940465530056948,0.783394234673163,0.754020617249672,0.578125,0.6,0.718565020789978,0.871221782018422,0.941068338817621
RuBisCO_small,.,0.905582966071439,0.590844498578969,0.769468414201113,0.727272727272727,0.775862068965517,0.594316128917787,0.867729944840952,0.909215110826456
SUI1,.,0.971707665384908,0.851908241981325,0.685117163123172,0.638888888888889,0.551020408163265,0.661641895892028,0.866777140552395,0.980619981746635
STAS,.,0.885607430688462,0.865611043442956,0.967337783172032,0.485714285714286,0.596491228070175,0.511916049619631,0.851966031377892,0.949622346930231
Colicin_Pyocin,.,0.860106871748049,0.883272431993505,0.837274609063588,0.638888888888889,0.578947368421053,0.511916049619631,0.851259300774157,0.925228281063755
Sm,.,0.991320328457968,0.771924482338612,0.772131387420005,0.527777777777778,0.63265306122449,0.594316128917787,0.844948925454536,0.987927621182637
TPK_B1_binding,.,0.947734681813659,0.82460414129111,0.670103170862052,0.602739726027397,0.644444444444444,0.594316128917787,0.843025959227718,0.941128821381003
SRP54M,.,0.824241040858252,0.660576532683719,0.797874257145533,0.560606060606061,0.777777777777778,0.661641895892028,0.842644927062736,0.813753906770086
tetR,.,0.895258663576399,0.663520097442144,0.607914853546668,0.625,0.882352941176471,0.594316128917787,0.838178899206139,0.840985789422302
tcl1_mtcp1,.,0.926705646176087,0.650426309378807,0.597940258599695,0.534246575342466,0.649122807017544,0.885469284071025,0.830571560389934,0.850166760599166
HSP20,.,0.910680736747845,0.534409257003654,0.801765044394238,0.602739726027397,0.712121212121212,0.661641895892028,0.824177197908,0.893209815953942
ATP-synt_g,.,0.595754393973979,0.923670320747056,0.923190908283737,0.704918032786885,0.648148148148148,0.405683871082213,0.817335081283936,0.717470672041437
PAN,.,0.951082471511597,0.814758424685344,0.817496477538928,0.561643835616438,0.531914893617021,0.511916049619631,0.813429484044701,0.986823977832383
Ribosomal_S7,.,0.847470721472091,0.860028420625254,0.81129393324959,0.514705882352941,0.553571428571429,0.594316128917787,0.811119252069323,0.878178836081225
HIT,.,0.892800496315675,0.741067803491678,0.963942360542521,0.458333333333333,0.520833333333333,0.594316128917787,0.807979143420852,0.936110667294079
Endonuclease_3,.,0.709403660328107,1,0.806186262395576,0.492957746478873,0.568181818181818,0.594316128917787,0.807902036633627,0.759842947900147
ATP-synt_DE_N,.,0.895551302536009,0.589626471782379,0.806067359351341,0.492537313432836,0.555555555555556,0.811367742164426,0.801573984382096,0.870092354058206
formyl_transf,.,0.912459981622273,0.64535119772635,0.839675252094359,0.573529411764706,0.433962264150943,0.718565020789978,0.793123269353082,0.932138947261888
EF_TS,.,0.837146418977051,0.711835160373528,0.761412691340861,0.643835616438356,0.53968253968254,0.594316128917787,0.782136353347805,0.86268738459963
msb,.,0.892525415693642,0.809987819732034,0.706394982180565,0.583333333333333,0.58,0.511916049619631,0.78086981550065,0.903948402800667
RNA_pol_H,.,0.970185942794936,0.80481120584653,0.519073944474359,0.579710144927536,0.804347826086957,0.405683871082213,0.780762584718723,0.917150207568108
Heme_oxygenase,.,0.699822660790476,0.869671132764921,1,0.485294117647059,0.430769230769231,0.594316128917787,0.779536893508492,0.792865316809558
CASc,.,0.779496543933887,0.964068209500609,0.836328267335879,0.589041095890411,0.5,0.405683871082213,0.777901892698343,0.864060312178879
SCP2,.,0.920472436336394,0.86276898091758,0.637905247395802,0.397260273972603,0.482758620689655,0.767874074429446,0.776166379490478,0.877021063627454
gln-synt_N,.,0.888030481274033,0.613885505481121,0.609423806972254,0.521739130434783,0.511111111111111,0.917599920701844,0.773910891310127,0.81951577452519
YgbB,.,0.871227152213228,0.787149817295981,0.668260423356148,0.625,0.446428571428571,0.661641895892028,0.773263118733989,0.880755833434926
pot,.,0.965380811078141,0.544762484774666,0.456761036964934,0.602941176470588,0.891304347826087,0.594316128917787,0.771943405317103,0.849806178029991
P53,.,0.948875973756138,0.419102720259845,0.504430310505479,0.774193548387097,1,0.405683871082213,0.770954193819119,0.865228617511112
S4,.,0.96947775651268,0.557551766138855,0.421703642318448,0.765957446808511,0.911764705882353,0.405683871082213,0.764686073713287,0.886977956203775
hormone5,.,0.897365664085591,0.654892407632968,0.454889701127932,0.567164179104478,0.634146341463415,0.811367742164426,0.760855259114356,0.800056504975343
cat,.,0.400394477317554,0.794051969143321,0.651511018138388,0.611940298507463,0.711538461538462,0.850274153727603,0.76081927634801,0.400190543799927
hemopexin,.,0.820255298228364,0.732034104750304,0.823949700294834,0.63013698630137,0.5,0.511916049619631,0.760378039950113,0.871076102427342
cytb,.,0.893093135275286,0.925497360941943,0.653548543589597,0.535211267605634,0.596153846153846,0.405683871082213,0.757545607473405,0.902478931697732
Ribosomal_L6_D,.,0.956390942238922,0.547300040600893,0.663843810559043,0.51063829787234,0.609756097560976,0.718565020789978,0.756707519471724,0.891481715484256
myb_DNA-binding,.,0.927267512978538,0.435647584246853,0.519310058288985,0.763636363636364,0.761904761904762,0.594316128917787,0.755334939574684,0.856368836117906
toxin,.,0.955273061413212,0.25223304912708,0.700196876642295,0.639344262295082,0.9375,0.511916049619631,0.753586746265496,0.87270670557274
HMG_box,.,0.847131260278943,0.562119366626066,0.6224082080497,0.607142857142857,0.760869565217391,0.594316128917787,0.752816451035615,0.794007430267701
VPR,.,0.88254057439175,0.478786033292732,0.623774316917477,0.644444444444444,0.953488372093023,0.405683871082213,0.751176941890759,0.820260222497272
L15,.,0.879239606927349,0.480410069021519,0.513859188750829,0.574468085106383,0.878787878787879,0.661641895892028,0.7510802198521,0.766876284395725
ngf,.,0.91548586846464,0.547198538367844,0.395004346577628,0.547945205479452,0.728813559322034,0.850274153727603,0.749933742349079,0.77494681591989
Pep_deformylase,.,0.855869459612897,0.76512383272432,0.836994024511699,0.583333333333333,0.431372549019608,0.511916049619631,0.749898765758206,0.908885677242904
rnasemam,.,0.857028309892953,0.681790499390986,0.665893903224213,0.452054794520548,0.557692307692308,0.767874074429446,0.749190865764651,0.806058235325653
UreE,.,0.887691020080885,0.735180673974828,0.868762554296502,0.575342465753425,0.4,0.511916049619631,0.748120277805604,0.943979886397724
phero,.,0.87397210565437,0.415651644336175,0.375977806577566,0.868421052631579,0.928571428571429,0.511916049619631,0.746756758627315,0.779214541031859
biotin_lipoyl,.,0.996933143703287,0.656313438895657,0.183527434831471,0.712328767123288,0.911111111111111,0.511916049619631,0.746016259178738,0.849225027187004
SpoU_methylase_N,.,0.91295746785361,0.750304506699148,0.665925806747515,0.680555555555556,0.446808510638298,0.511916049619631,0.744876938697045,0.934612633490732
GATA,.,0.919061916551074,0.508526187576127,0.63669657547997,0.660714285714286,0.833333333333333,0.405683871082213,0.743491936659156,0.874305095466843
Amidase_2,.,0.865532398059218,0.74644742184328,0.818471893086133,0.625,0.5,0.405683871082213,0.742595741389253,0.919878474691873
Ribosomal_L4,.,0.814104027297362,0.753451075923672,0.748505025172504,0.583333333333333,0.535714285714286,0.511916049619631,0.738205343659768,0.837778107171635
GEL,.,0.960938551671261,0.907531465692244,0.686885672517463,0.385714285714286,0.408163265306122,0.594316128917787,0.737124394984592,0.948026580330456
cks,.,0.862857677968383,0.460820138043037,0.525471932521662,0.791666666666667,0.894736842105263,0.405683871082213,0.736405020498174,0.807138975762366
BRCT,.,0.895299633030745,0.666057653268373,0.381796232446352,0.712328767123288,0.613636363636364,0.661641895892028,0.733145591615098,0.819483546924444
cytc,.,0.898448428236148,0.59997969955339,0.494592540060179,0.515151515151515,0.608695652173913,0.811367742164426,0.732360034547158,0.796764679592586
IF4E,.,0.876676089641166,0.614596021112464,0.782641739620893,0.655737704918033,0.590909090909091,0.405683871082213,0.731740584612034,0.903206169007908
S-AdoMet_syntD2,.,0.933986503491183,0.429354445797808,0.724724582778553,0.75,0.681818181818182,0.405683871082213,0.731529980377381,0.929267573934733
Hint,.,0.896985233438098,0.721071863580999,0.782137608468338,0.464788732394366,0.454545454545455,0.594316128917787,0.727882907425031,0.899361837626199
DAP_epimerase,.,0.890927606974172,0.650832318311003,0.602205537727574,0.558823529411765,0.489795918367347,0.718565020789978,0.727044422832775,0.846622178075843
PAH,.,0.873351711059997,0.504161591555014,0.706619971375327,0.571428571428571,0.842105263157895,0.405683871082213,0.72461804686849,0.831277009945083
PDZ,.,0.929415482942075,0.880125862768981,0.503253042753454,0.547945205479452,0.530612244897959,0.511916049619631,0.724592195896928,0.894548809788155
MurB_C,.,0.860212221773509,0.624238733252131,0.620827873958501,0.655172413793103,0.733333333333333,0.405683871082213,0.723410130272794,0.83696347700588
thionin,.,0.938101007263299,0.505582622817702,0.325542032885014,0.755555555555556,0.966666666666667,0.405683871082213,0.722683149167379,0.820974496886838
Clp_N,.,0.85648985420727,0.701684937068617,0.789454501213312,0.545454545454545,0.490909090909091,0.511916049619631,0.72230272386305,0.878005698968026
PBD,.,0.9110143451618,0.553491676816889,0.566183380536446,0.653846153846154,0.8,0.405683871082213,0.720532615520176,0.8564260818539
GGL,.,0.909340450312831,0.358404384896468,0.509784498496935,0.64,0.958333333333333,0.511916049619631,0.719773272208227,0.794133025775399
B,.,0.869412790663647,0.599269183922046,0.590838700765911,0.595238095238095,0.71875,0.511916049619631,0.719040938194003,0.818384916641595
7kD_DNA_binding,.,0.969243645344992,0.370280146163215,0.562462763906812,0.742857142857143,0.645161290322581,0.594316128917787,0.718697559016681,0.904233901004126
zf-CCHH,.,0.944457125466027,0.291615915550142,0.353837330121194,0.821428571428571,0.956521739130435,0.511916049619631,0.717283729370236,0.813468956091372
Desulfoferrodox,.,0.896874030633446,0.648497766950874,0.715561391526821,0.493150684931507,0.526315789473684,0.594316128917787,0.715709192101481,0.873031744348795
uce,.,0.808924317712266,0.793239951278928,0.779549705626884,0.5,0.58695652173913,0.405683871082213,0.715596747130835,0.832982870561508
Band_41_M,.,0.825604738410034,0.640580592773041,0.865914096767353,0.647058823529412,0.478260869565217,0.405683871082213,0.712096268234091,0.887086405912471
dCMP_cyt_deam,.,0.899016147817791,0.591047503045067,0.63815526004971,0.441176470588235,0.630434782608696,0.661641895892028,0.711588859732482,0.826196524997694
PARATHYROID,.,0.914403104314084,0.34997969955339,0.37260941871628,0.882352941176471,0.933333333333333,0.405683871082213,0.710621385951771,0.817231356793588
Dwarfin,.,0.811669271153407,0.701380430369468,0.74670971681864,0.534246575342466,0.46551724137931,0.594316128917787,0.709214208580636,0.820159332282209
SRF-TF,.,0.949127643261403,0.446711327649208,0.484728442272607,0.658536585365854,0.8,0.511916049619631,0.708337075320862,0.852666490030544
SAP,.,0.875850847775066,0.37434023548518,0.438621886529959,0.717948717948718,0.84375,0.594316128917787,0.706410575214865,0.765603457911017
TFIIS,.,0.919495022211297,0.345412099066179,0.275712537103971,0.686274509803922,0.897435897435897,0.718565020789978,0.705809272596326,0.744144904926069
avi,.,0.868821659965234,0.632054405196914,0.722846713654823,0.397260273972603,0.559322033898305,0.661641895892028,0.705514302660524,0.821886377722652
planttoxin,.,0.928859468918816,0.429658952496955,0.203429750820583,0.595744680851064,0.964285714285714,0.718565020789978,0.705077684700184,0.723280283088573
ech,.,0.642055730163468,0.773345513601299,0.822586226935504,0.661764705882353,0.423728813559322,0.511916049619631,0.703476512970433,0.721353406674442
DHHA2,.,0.916451577031353,0.856780349167683,0.585799386678345,0.461538461538462,0.5,0.511916049619631,0.702570788209648,0.886751964897397
il8,.,0.97064831235112,0.377182298010556,0.66914897809339,0.515151515151515,0.785714285714286,0.511916049619631,0.701723189381328,0.884844777026048
SIS,.,0.790131043726113,0.808363784003249,0.568052455384622,0.410958904109589,0.529411764705882,0.718565020789978,0.700392091599789,0.733008515358523
DUF50,.,0.923550998191491,0.768980917580186,0.787241728321497,0.376811594202899,0.456521739130435,0.511916049619631,0.700248995304594,0.92055514563049
SRP54,.,0.619809316453918,0.866626065773447,0.627076914165277,0.555555555555556,0.560975609756098,0.594316128917787,0.700042589853055,0.627407887072716
hpr,.,0.990044422594069,0.664332115306537,0.390852491410635,0.609375,0.651162790697674,0.511916049619631,0.697965357489107,0.898010960896872
neur_chan_memb,.,0.881867504784647,0.283901745838408,0.376587330325793,0.869565217391304,1,0.405683871082213,0.697941339297103,0.771736924453158
lacI,.,0.913952440316284,0.650426309378806,0.608781353239541,0.604166666666667,0.631578947368421,0.405683871082213,0.697002989193657,0.886681398723201
ribonuclease_T2,.,0.798324934595192,0.771213966707267,0.694227089362088,0.507042253521127,0.529411764705882,0.511916049619631,0.696239657766019,0.798399166350112
annexin,.,0.578178498059804,0.879009338205441,0.834488793408887,0.516129032258065,0.595238095238095,0.405683871082213,0.695179241784814,0.643596384118497
Fe_hyd_lg_C,.,0.639158604463329,0.651441331709298,0.801159487779779,0.532258064516129,0.521739130434783,0.661641895892028,0.694765733793205,0.65665685765103
P,.,0.926775879526393,0.301664636622005,0.36863020322364,0.733333333333333,0.957446808510638,0.511916049619631,0.692391422398544,0.785673480482524
PTS_EIIA_2,.,0.845504187663512,0.800751116524563,0.651335299080481,0.634920634920635,0.46,0.405683871082213,0.691902410339766,0.871686829101098
FN1,.,0.913513481876869,0.477060495330897,0.348781606525774,0.543478260869565,0.914285714285714,0.594316128917787,0.689799448565291,0.753506663348503
KH,.,0.957748787011512,0.356780349167681,0.519367900763841,0.657142857142857,0.787878787878788,0.511916049619631,0.689612481682074,0.858983208943814
CAT_RBD,.,0.945797411901041,0.393016646366221,0.374529677912709,0.673076923076923,0.805555555555556,0.594316128917787,0.688199273751232,0.812480197478837
Aldolase_II,.,0.761159786724726,0.732947624847746,0.837231608662617,0.419354838709677,0.509433962264151,0.511916049619631,0.683766350902296,0.779953238957236
ptpase,.,0.611153056028655,0.731729598051158,0.804711154446884,0.464788732394366,0.564516129032258,0.594316128917787,0.683508413644816,0.629754149010584
Rop,.,0.817773719850871,0.750304506699147,0.464367086599798,0.48936170212766,0.842105263157895,0.405683871082213,0.683004826505817,0.734747037089135
Jacalin,.,0.851514991893901,0.581303288672352,0.67052879160509,0.561643835616438,0.509090909090909,0.594316128917787,0.682632046581286,0.825159959706765
parv,.,0.819108153506693,0.661490052781162,0.655331035049752,0.625,0.6,0.405683871082213,0.682076756992604,0.817308102186597
HMG-CoA_red,.,0.484165305895504,0.648700771416971,0.755271956660146,0.671875,0.690909090909091,0.511916049619631,0.68090231474412,0.521184388529238
