,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
CBM_20,.,0.9398396499761453,0.4944763922518152,0.47622192477638825,0.7397260273972602,0.4657534246575342,0.0,0.40166856540273926,1.0
uce,.,0.9081652838707426,0.45127118644067793,0.6532087955123924,0.7123287671232876,0.4520547945205479,0.0,0.4237553442317217,0.9967174843077893
RNA_pol_H,.,0.9734340272525221,0.5879237288135596,0.6955407987666397,0.7464788732394366,0.6338028169014085,0.0,0.5903350520504176,0.989054199036952
PH,.,0.9449247704713918,0.5606840193704598,0.718195221231184,0.684931506849315,0.5205479452054794,0.0,0.5150742056011841,0.9842061432006387
cks,.,0.9813351641318641,0.3891495157384985,0.7788868696839168,0.7808219178082192,0.7671232876712328,0.0,0.6121051083709101,0.9718944645627291
Phage_integrase,.,0.8736865378125838,0.6144824455205808,0.6271468351095026,0.726027397260274,0.4520547945205479,0.0,0.4658822262212116,0.9714323566690766
SRP19,.,0.9288548587919057,0.6117584745762713,0.612833156389004,0.7671232876712328,0.6164383561643836,0.0,0.5540716821887443,0.9601812082070423
MIF,.,0.9334745220335827,0.6147094430992733,0.7513647691775488,0.6712328767123288,0.547945205479452,0.0,0.5474536509415497,0.9575936703766035
cytc,.,1.0,0.5421458837772399,0.5302674986844983,0.6438356164383562,0.547945205479452,0.0,0.45531013786158964,0.9507313514534892
tRNA-synt_1_edit,.,0.8625388365895946,0.5261047215496361,0.6096557586153778,0.6301369863013698,0.3424657534246575,0.0,0.34913526054114774,0.9480500616356897
msb,.,0.9757962228143873,0.5464588377723967,0.5513926887472043,0.6712328767123288,0.5616438356164384,0.0,0.4706341412697427,0.947544646549198
S-AdoMet_syntD2,.,0.9410731116981044,0.46496670702179166,0.6640760404711278,0.726027397260274,0.6301369863013698,0.0,0.5139870078797881,0.9464617615838268
eIF6,.,0.773392136099701,0.5530417675544793,0.6006752201885184,0.7397260273972602,0.3698630136986301,0.0,0.37295415168341434,0.9370406913517564
laminin_G,.,0.8563249822544423,0.3491222760290554,0.495367086596047,0.684931506849315,0.3972602739726027,0.0,0.2811149349292766,0.934623970688604
gluts,.,0.8252091648533227,0.654131355932203,0.6195752299713597,0.7534246575342466,0.4931506849315068,0.0,0.48474047638679285,0.9293343803941091
Me-amine-deh_L,.,0.9005666942062208,0.33043280871670644,0.516579309400494,0.726027397260274,0.5616438356164384,0.0,0.3724299169342835,0.9216092968673009
kazal,.,0.7505847306747967,0.36501210653752986,0.4416254638409382,0.9014084507042254,0.5352112676056338,0.0,0.35743977111953257,0.921430678639108
Sua5_yciO_yrdC,.,0.8622479258061139,0.5369249394673133,0.6109704280252181,0.6301369863013698,0.3972602739726027,0.0,0.3732591053295136,0.9208506996132138
TNF,.,0.8855324249159268,0.2782233656174335,0.48409113713831947,0.6712328767123288,0.4657534246575342,0.0,0.28177636577348614,0.9134868544897475
RING,.,0.7707855754797119,0.32649818401937064,0.5526433692670861,0.8309859154929577,0.5352112676056338,0.0,0.36550619802433615,0.9104546279635227
Ribosomal_L6_D,.,0.9805206139381174,0.6769067796610176,0.7713591067496424,0.6027397260273972,0.6301369863013698,0.0,0.5991981467872944,0.9101352003640716
myb_DNA-binding,.,0.7517716466713988,0.34125302663438195,0.5207948817681598,0.8309859154929577,0.49295774647887325,0.0,0.3371386481642241,0.9098422359749452
Fapy_DNA_glyco,.,0.7719026728882787,0.5906476997578703,0.7930589248955725,0.6712328767123288,0.410958904109589,0.0,0.44575554549722884,0.9041997185056617
Peptidase_S21,.,0.8293051886847342,0.40080205811137914,0.5853437333992013,0.6575342465753424,0.410958904109589,0.0,0.3176555664927282,0.9036716826629652
Pep_deformylase,.,0.8839964159791476,0.5123335351089593,0.5629183833093107,0.6575342465753424,0.4931506849315068,0.0,0.39946603724286345,0.9010605555274493
Skp1,.,0.9302512305526142,0.8611531476997571,0.7152701673745225,0.6027397260273972,0.547945205479452,0.0,0.5976401487411273,0.8973146850327915
Ribosomal_S30AE,.,0.9359530819088402,0.609034503631961,0.4571510685830567,0.6301369863013698,0.5068493150684932,0.0,0.4100337393894786,0.8954352366881688
