X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
glnasn,.,1,0.865431737556236,0.911415472793341,0.618892508143323,0.413793103448276,0.796639770196912,1,1
FAA_hydrolase,.,0.823916903489312,0.794938375452583,0.824604569513178,0.535353535353535,0.77037037037037,0.796639770196912,0.978381878336948,0.785274444393348
Transpeptidase,.,0.767797843069041,0.846999231978944,0.900843376224778,0.636963696369637,0.554140127388535,0.796639770196912,0.963179293482543,0.793723086966921
Glyco_transf_28,.,0.854707612511465,0.971418644625682,0.74679587893472,0.625407166123778,0.460992907801418,0.760187533431869,0.933134009803308,0.853330419046585
Fe-ADH,.,0.853813032850953,0.939326335808073,0.834449951745822,0.630718954248366,0.331168831168831,0.829614829389194,0.932984343383978,0.874958970421459
subt,.,0.968002963859885,0.852082799985378,0.578603371854882,0.719844357976654,0.394957983193277,0.887411576194096,0.926468758607761,0.910693608596106
fbpase,.,0.816877736261651,0.883827670701827,0.795572232862833,0.591216216216216,0.516556291390728,0.796639770196912,0.926392409661309,0.810915494035834
biopterin_H,.,0.710133599598795,0.840160187250854,0.971667299026149,0.641304347826087,0.52,0.619906233284066,0.89145961807119,0.77404151396862
ATP-synt,.,0.666470883239282,0.894909117507229,1,0.602605863192182,0.374269005847953,0.760187533431869,0.889765510717222,0.746157669396189
arginase,.,0.807082540786959,1,0.738162196046774,0.613114754098361,0.328,0.796639770196912,0.884233499421433,0.820535249717851
ghf33,.,0.905716725476996,0.753794389788987,0.56324768029007,0.706840390879479,0.380645161290323,0.936921070344715,0.871397172239966,0.840380313519384
Haloperoxidase,.,0.753954448726579,0.830249058259894,0.829666356749572,0.758241758241758,0.512605042016807,0.556827303628781,0.869383467568193,0.801576892526292
DNA_ligase_N,.,0.761246628383476,0.779193943605318,0.913117753779975,0.600671140939597,0.567251461988304,0.619906233284066,0.869327296966293,0.786970351473587
