Rank              Template      Weighted Combined Scores
********************************************************
1               PTS_EIIA_2      1.0000
2                      BAG      0.9246
3                     mutT      0.9149
4                  gag_p17      0.8994
5              Bacteriofer      0.8962
6                      IF3      0.8628
7                  phoslip      0.8616
8                  hormone      0.8594
9                 Elicitin      0.8594
10           Peptidase_S21      0.8558
11                 Dwarfin      0.8509
12                  CBM_20      0.8507
13                   HSP20      0.8467
14                    ACPS      0.8445
15                      Fz      0.8405
16         ribonuclease_T2      0.8398
17                    MATH      0.8319
18                  RhoGEF      0.8239
19                    ENTH      0.8221
20                     RRF      0.8213
21         transketolase_C      0.8146
22           formyl_transf      0.8135
23           Flavin_Reduct      0.8100
24            urease_gamma      0.8095
25            Ribosomal_L4      0.7966
26                   LMWPc      0.7951
27          Colicin_Pyocin      0.7911
28             hormone_rec      0.7879
29                    STAS      0.7878
30                    CASc      0.7876
31                UCR_14kD      0.7857
32            Flavoprotein      0.7788
33                 Jacalin      0.7713
34         Topoisomerase_I      0.7689
35                     MIP      0.7671
36                   SRP19      0.7586
37                      C2      0.7558
38                RNase_U2      0.7554
39                     dNK      0.7536
40                  SRP54M      0.7514
41                capsid_n      0.7494
42                    PARP      0.7479
43           Peptidase_C15      0.7428
44                     CUB      0.7426
45                rnasemam      0.7406
46                     hip      0.7380
47                   gluts      0.7339
48                     sh2      0.7332
49                 SAM_PNT      0.7308
50                   cyclo      0.7305
51                  EFTU_C      0.7295
52                   ghf22      0.7275
53                    parv      0.7274
54           RuBisCO_small      0.7272
55                    YgbB      0.7260
56                Fimbrial      0.7244
57                     int      0.7237
58                    intb      0.7223
59           Ribosomal_L22      0.7208
60                   actin      0.7196
61                     utg      0.7184
62               Band_41_M      0.7183
63                    COX3      0.7173
64            Ald_Xan_dh_1      0.7141
65            Ribosomal_S8      0.7127
66                 TNFR_c6      0.7078
67                  DUF101      0.7076
68         AP_endonucleas1      0.7058
69                     SCP      0.7052
70           Ribosomal_L14      0.7027
