,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Pep_deformylase,.,0.9679675163546133,0.7320921215362527,0.7497120591849296,0.6862745098039216,0.45751633986928103,0.8653934660592434,0.935638664569209,1.0
GFP,.,0.8970189146142226,0.5551693017347974,0.7165978427456763,0.673202614379085,0.41830065359477125,0.7720618752137368,0.8077346257912978,0.9427979548879564
tRNA-synt_1_edit,.,0.9705856216120146,0.62573118962463,0.6844201729656679,0.6209150326797386,0.43790849673202614,0.8266393036829638,0.8478649244255536,0.9298253865299878
AP_endonucleas1,.,0.9035334167298977,0.6049069091152185,0.7860851778048893,0.6339869281045751,0.40522875816993464,0.8266393036829638,0.8461201831931858,0.9124637146548887
laminin_G,.,0.9274449890285669,0.5288966139653059,0.6715141257014013,0.6274509803921569,0.4117647058823529,0.8653934660592434,0.807768708789127,0.8765365704955558
gluts,.,0.9649187567076132,0.7469331818029893,0.7708290358660526,0.5555555555555556,0.43137254901960786,0.8266393036829638,0.8868558976484359,0.8672490331382552
Ald_Xan_dh_1,.,0.9836351331952506,0.7021425945114834,0.7361807882212047,0.5686274509803921,0.47058823529411764,0.8266393036829638,0.8843269650714488,0.8646494589072542
Cys-protease-3C,.,0.9112441810389026,0.6475582444763862,0.6981131996171661,0.6013071895424836,0.39869281045751637,0.8266393036829638,0.8230864532026968,0.852278914551877
Peptidase_M24,.,0.8961576058350251,0.6238593441855793,0.7306799460437047,0.6013071895424836,0.3790849673202614,0.8653934660592434,0.8269623846355432,0.8429989018167632
Spermine_synth,.,0.8579524092720574,0.6140321556305772,0.6611316969250393,0.5882352941176471,0.3202614379084967,0.7720618752137368,0.7421714030774573,0.8383137681370771
Fimbrial,.,0.9281764179124884,0.5485509910753094,0.6226320920258452,0.6490066225165563,0.48344370860927155,0.8248555531080405,0.8150244690469397,0.836781640667864
IF4E,.,0.9264743077059793,0.6954574322291674,0.7540096105237976,0.5816993464052288,0.45751633986928103,0.7720618752137368,0.85416683905679,0.8365362499412158
PTS_EIIA_2,.,0.9168290165357614,0.7126382992947151,0.7109688961156387,0.6026490066225165,0.41721854304635764,0.8636087326730011,0.8651682559719716,0.8313614931844631
formyl_transf,.,0.9603456172371129,0.6433465922385271,0.7652911801317279,0.5424836601307189,0.45098039215686275,0.8266393036829638,0.8547268502410054,0.8238477347767
ung,.,0.9412737799834575,0.6528395226794137,0.8247620471001854,0.5098039215686274,0.39869281045751637,0.8266393036829638,0.8442106063815329,0.8220967114949242
Ribosomal_S7,.,0.9047775294109607,0.7586656416084484,0.8604296665927517,0.5761589403973509,0.45695364238410596,0.8248555531080405,0.912518144747435,0.809819363993522
Cytidylyl_trans,.,0.9007717600092967,0.6696527058194345,0.7570901695635589,0.5882352941176471,0.39869281045751637,0.895466483588112,0.860969815545176,0.808535293172893
hemopexin,.,0.891064946783422,0.52100812247217,0.7822883882279965,0.6601307189542484,0.477124183006536,0.9408289523219193,0.8797192952841932,0.8080947617243278
cyclo,.,0.9572353355344557,0.615235484841394,0.6272856711919592,0.5620915032679739,0.39869281045751637,0.9200445871379143,0.8221961310884912,0.8035766376982175
Phage_integrase,.,0.9346157264045827,0.7009392653006662,0.8424871417817603,0.5686274509803921,0.49673202614379086,0.8266393036829638,0.9089802680212039,0.8018941300044893
Astacin,.,0.927369795404986,0.6002272955176008,0.7248875345457528,0.5555555555555556,0.42483660130718953,0.8266393036829638,0.8158791620377147,0.8011599650139432
Peptidase_S21,.,0.9523067352979379,0.6625998596115914,0.5869055898764531,0.5294117647058824,0.3790849673202614,0.8266393036829638,0.7791310414411962,0.7958768737645283
