X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
Peptidase_C15,.,0.954618210725335,0.82430121188429,0.812382861053042,0.57847533632287,0.524271844660194,0.792481250360578,1,0.958752435431226
pgk,.,0.766108413544173,1,1,0.512605042016807,0.401785714285714,0.75,0.982395316942755,0.851977611545403
blmb,.,0.961939240288759,0.710955824863181,0.693160282659379,0.768115942028985,0.482758620689655,0.792481250360578,0.975769625773184,0.960263203388785
bv,.,0.94425167583362,0.606504104769358,0.585423378135685,0.690721649484536,0.847826086956522,0.646240625180289,0.94798131018179,0.869527862381021
OMPdecase,Superfamily,0.96891650910966,0.849809421422984,0.70779330414159,0.63677130044843,0.439252336448598,0.701838730514401,0.942770141480277,0.97307014946386
fbpase,.,0.80532936576143,0.791829554339334,0.747068093987455,0.467248908296943,0.567796610169492,0.896240625180289,0.933699897000986,0.769081062554705
Endonuclease_3,.,0.759045204537642,0.845142689601253,0.863997062583243,0.433333333333333,0.5,0.864857904659324,0.930829133083674,0.76284477171109
SIS,.,0.870686876933654,0.739835809225963,0.663824072717502,0.597014925373134,0.666666666666667,0.701838730514401,0.922500172385647,0.831121579446218
gluts,.,0.811286094877965,0.877296716184516,0.824747688670309,0.518181818181818,0.544642857142857,0.646240625180289,0.917010829424632,0.831758648149215
Bacteriofer,.,0.707454236851152,0.752443315089918,0.777790256129895,0.6,0.674157303370786,0.701838730514401,0.914273598746473,0.708657303937831
ech,.,0.747121003781368,0.913408913213451,0.591550304449622,0.550420168067227,0.575757575757576,0.830482023721841,0.912720277946846,0.710266771703814
SRP54,.,0.953076658645583,0.850151485535578,0.821415493590719,0.602803738317757,0.475247524752475,0.5,0.91082095747277,0.990355732540514
Glyco_transf_28,.,0.847762332416638,0.920347928068808,0.729121262408914,0.474789915966387,0.435483870967742,0.792481250360578,0.909970017548267,0.839118104623093
TyrKc,.,0.768160235476109,0.817801993745116,0.829156094113632,0.581896551724138,0.393939393939394,0.792481250360578,0.904769807073054,0.799986841580568
Topoisom_bac,.,0.76939025438295,0.87382720875684,0.77775358117621,0.491379310344828,0.51937984496124,0.75,0.904234008651042,0.771213025720625
Binary_toxA,.,0.778784590924716,0.700596168881945,0.825093297851741,0.638743455497382,0.576923076923077,0.646240625180289,0.899411475126579,0.79914501684402
RRF,.,0.758234144035751,0.743696247068025,0.749032104266323,0.627551020408163,0.675925925925926,0.580482023721841,0.88952706227852,0.760584001971014
annexin,.,0.555447533516672,0.899310985144645,0.928786741225137,0.529411764705882,0.458015267175573,0.75,0.885144338574183,0.624350130241874
aakinase,.,0.899949510140942,0.839034401876467,0.818403539266049,0.478632478632479,0.43609022556391,0.646240625180289,0.884320679828883,0.909927765383063
Heme_oxygenase,.,0.692162255070471,0.760115324472246,0.767683408497986,0.507692307692308,0.482456140350877,0.896240625180289,0.880550145555324,0.679378207633955
COX3,.,0.477258078377449,0.867572322126664,0.908326060100938,0.585903083700441,0.607594936708861,0.646240625180289,0.876322701552595,0.547202521616862
Haloperoxidase,.,0.884453420419388,0.751612587959347,0.673797902382675,0.580645161290323,0.371681415929204,0.830482023721841,0.876252764065267,0.861059680873318
Peptidase_S21,.,0.911567548985906,0.758160672400318,0.68096536174141,0.631818181818182,0.462962962962963,0.646240625180289,0.875952032147526,0.902605125393571
Dwarfin,.,0.828651383636989,0.588301407349496,0.642190553178018,0.51123595505618,0.689655172413793,0.830482023721841,0.875575360214677,0.742173252604652
Rhodanese,.,0.897634496390512,0.409255277560595,0.526224492142154,0.705882352941177,0.849315068493151,0.701838730514401,0.875460341521638,0.78638233168584
Plectin,.,0.843937994156067,0.767249804534796,0.7279560250203,0.502347417840376,0.594827586206897,0.646240625180289,0.873075318328705,0.817790245103529
Flavin_Reduct,.,0.884233198693709,0.539215207193124,0.638363079951209,0.672955974842767,0.811764705882353,0.5,0.861755820423594,0.827781936319339
ldh,.,0.77826357854933,0.741228498827214,0.572364980587928,0.525114155251142,0.426229508196721,1,0.860709105830309,0.710229816906613
Spermine_synth,.,0.845570857683053,0.817924159499612,0.618839914207212,0.459915611814346,0.45,0.830482023721841,0.854278168195606,0.790989236444272
PTS_EIIA_2,.,0.811210897215538,0.547302580140738,0.629136122416055,0.503448275862069,0.878787878787879,0.646240625180289,0.852202554651206,0.712557282507039
DUF28,.,0.834468459951873,0.820636239249413,0.718316498009386,0.518348623853211,0.543307086614173,0.580482023721841,0.852024266764785,0.82465269374373
Ala_racemase_N,.,1,0.7784646207975,0.755475399562219,0.519047619047619,0.462365591397849,0.5,0.851959637210768,0.994887854581614
DNA_ligase_N,.,0.783989343416982,0.67174061767006,0.747927437558991,0.488789237668161,0.52991452991453,0.792481250360578,0.851799143289956,0.748573747056479
sugbp,.,0.865417669302166,0.881206020328383,0.665254799715798,0.506787330316742,0.51304347826087,0.580482023721841,0.850966189529676,0.848255857967666
Ribosomal_L4,.,0.933729374355449,0.592357310398751,0.509734587350713,0.838709677419355,0.551020408163265,0.580482023721841,0.849031411792619,0.895331692666606
hormone_rec,.,0.682499355448608,0.784695074276783,0.821011926580923,0.657534246575342,0.557522123893805,0.5,0.848160893291797,0.73340479773325
cat3,.,0.768632906497078,0.602985731039877,0.34717594899293,0.586363636363636,0.743801652892562,0.951838730514401,0.847386685479871,0.616689909846256
DNA_PPF,.,0.808294302165693,0.287651485535575,0.529840894359601,0.718181818181818,0.90625,0.75,0.847204420592154,0.683527799430962
RhoGEF,.,0.636290391887246,0.872116888193904,0.882395110107522,0.54066985645933,0.486725663716814,0.580482023721841,0.846721014870211,0.695608689160944
GAF,.,0.857409118253695,0.494453674745897,0.658469671998597,0.639705882352941,0.642857142857143,0.701838730514401,0.845481301901207,0.797118449998407
dhfr,.,0.883019293571674,0.563501759186869,0.717348317237209,0.581920903954802,0.443181818181818,0.792481250360578,0.841308551510511,0.844143218477054
ribonuclease_T2,.,0.744408516672396,0.689503518373732,0.744314004492587,0.595744680851064,0.557894736842105,0.646240625180289,0.840256867987159,0.739678277573177
EF_TS,.,0.8172428239945,0.507525410476935,0.667483373229222,0.744360902255639,0.535714285714286,0.701838730514401,0.839018775351104,0.791499402673007
