X,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
RNA_pol_K,.,0.962907273592661,0.73481057898499,0.899991119168545,0.892857142857143,0.943396226415094,0.5,1,0.999401385335533
Ribosomal_L22,.,0.918804898100472,0.821690818116836,0.815218614886716,0.774509803921569,0.686567164179104,0.815464876785729,0.965987453839313,0.929800365192286
RuBisCO_small,.,0.871917052485829,0.667554746897134,0.709568591973222,0.730337078651685,0.666666666666667,1,0.903714477750173,0.826369355802199
KSI,.,0.963280472502272,0.851192410163103,0.581710111401672,0.642857142857143,0.578947368421053,0.946394630357186,0.876405095109769,0.895045333819364
B_lectin,.,0.948660810869283,0.770420430177397,0.762983532519672,0.605769230769231,0.816666666666667,0.630929753571457,0.86672307228524,0.909706998086332
aspg,.,0.907041019427978,0.896614464877509,0.707373259923203,0.514563106796116,0.5,1,0.863432859377349,0.860141115450466
Desulfoferrodox,.,0.912655229111678,0.619403470011048,0.72605051402703,0.584158415841584,0.660714285714286,0.946394630357186,0.837944958899838,0.839447819968356
SCP,.,0.89231859287785,0.602248359217623,0.655763748540858,0.78125,0.566666666666667,0.885621874580711,0.81603802560206,0.848443145107006
pot,.,0.931661330102548,0.434726103060628,0.680399459561685,0.794117647058823,0.904761904761905,0.630929753571457,0.813605776418599,0.86096711320303
EF_TS,.,0.83071372939293,1,0.835048456258941,0.548076923076923,0.528571428571429,0.630929753571457,0.81251693686352,0.860990273081109
transketolase_C,.,0.761709791873999,0.801286633309508,0.811798984929265,0.54,0.553846153846154,0.885621874580711,0.806137261448902,0.750233539487703
transcript_fac2,.,0.722394098048548,0.955292741568651,0.85674984096909,0.63265306122449,0.524590163934426,0.630929753571457,0.795551613797306,0.778532864308219
tRNA-synt_2d,.,0.631614815455844,0.852816947170057,0.815203722597922,0.538461538461538,0.484375,1,0.795505585729472,0.638143333315883
msb,.,0.874994591320151,0.870102020924036,0.66600260022208,0.66,0.615384615384615,0.630929753571457,0.793813942937466,0.857898775993283
EFTU_C,.,0.807429362641166,0.739099356683345,0.676589191589414,0.602150537634409,0.854166666666667,0.630929753571457,0.791456714505588,0.754651584739997
PAN,.,0.865064255116611,0.738709467801675,0.74408787398942,0.51685393258427,0.784313725490196,0.630929753571457,0.781288395560127,0.813195631570992
Elicitin,.,0.753694128337155,0.867502761712912,0.787549026873111,0.595744680851064,0.620689655172414,0.630929753571457,0.773312819228093,0.76560536416834
SNAP-25,.,0.70374496992774,0.589511989083111,0.762251201846833,0.689655172413793,1,0.5,0.769652035941214,0.675868999345428
Ribosomal_S7,.,0.751514430357838,0.772434856066022,0.724080676840297,0.617283950617284,0.557377049180328,0.815464876785729,0.767308592026205,0.734498286095968
UreE,.,0.846847821383757,0.600038988888167,0.83971453284633,0.534653465346535,0.527777777777778,0.885621874580711,0.766137661870156,0.810833582771858
Ribosomal_L12,.,0.905342693955259,0.671193709792708,0.68260181090706,0.630769230769231,0.692307692307692,0.630929753571457,0.758944437880346,0.854259606962879
GEL,.,0.895244688676388,0.808304633179544,0.946517380166578,0.525773195876289,0.4,0.630929753571457,0.756812432027496,0.929342688289958
aakinase,.,0.763619055860845,0.814087984924297,0.863936508576405,0.574712643678161,0.452830188679245,0.732486760358964,0.755108058837164,0.789808777983031
dhfr,.,0.883313140928562,0.69328741308727,0.847666872779422,0.576923076923077,0.453333333333333,0.732486760358964,0.750204614909335,0.879716103184275
hip,.,0.957336333347756,0.63317954383001,0.631580046941538,0.573170731707317,0.891304347826087,0.5,0.750057606092523,0.866527715439023
RNA_pol_H,.,0.917111981307602,0.559035674832673,0.736078075432526,0.694444444444444,0.955555555555556,0.315464876785729,0.747087826878204,0.874193108566423
CBM_20,.,1,0.84332965104945,0.747944265372049,0.617647058823529,0.461538461538462,0.5,0.744669580580901,1
L15,.,0.771948422828956,0.700955227760088,0.620532174042954,0.583333333333333,0.758620689655172,0.732486760358964,0.74380583172263,0.702835914385557
TPK_B1_binding,.,0.874426679935961,0.622262655143285,0.719333973211666,0.576470588235294,0.865384615384615,0.5,0.740462271340031,0.814153161296834
IF4E,.,0.775902167798884,0.747741893560335,0.733899959627195,0.596153846153846,0.571428571428571,0.732486760358964,0.740373545449326,0.756265080851042
Ribosomal_L6_D,.,0.852532343905499,0.57404639677692,0.764462469594416,0.591549295774648,0.638297872340426,0.732486760358964,0.738956254596214,0.805732911152488
GTP_cyclohydroI,.,0.643492276405175,0.912275001624536,0.797181966339396,0.475728155339806,0.67741935483871,0.630929753571457,0.733488950289983,0.64834314778417
WD40,.,0.66395331227554,0.716940671908508,0.676153236434649,0.514563106796116,0.618181818181818,0.946394630357186,0.733208127303237,0.606469489652536
SpoU_methylase_N,.,0.931585608584657,0.601338618493729,0.708840766929159,0.810810810810811,0.581395348837209,0.5,0.732467179537945,0.924708790995001
Orbi_VP7,.,0.810501492795638,0.748846578725063,0.698192211309247,0.576923076923077,0.654545454545455,0.630929753571457,0.727774406276304,0.775385031316217
lipocalin,.,0.83043247804076,0.671128728312432,0.698034277163754,0.586538461538462,0.380281690140845,0.946394630357186,0.725390561486557,0.787941140121195
GAF,Fold,0.880381636450175,0.785106244720254,0.83788410929944,0.442105263157895,0.428571428571429,0.732486760358964,0.723292137003455,0.863941349811979
Hint,.,0.883637661719527,0.742088504776139,0.653745606270887,0.636363636363636,0.368421052631579,0.815464876785729,0.721013366319864,0.851695534620276
dCMP_cyt_deam,.,0.867627969365237,0.695561764897005,0.771823671032186,0.48936170212766,0.385964912280702,0.885621874580711,0.719756134061303,0.828187515040222
biotin_lipoyl,.,0.9063649344468,0.4481772694782,0.393887053372137,0.675,0.934782608695652,0.732486760358964,0.717995993528669,0.741850500407813
Ribosomal_S15,.,0.688357275756133,0.727597634674118,0.819722061989152,0.644736842105263,0.709090909090909,0.5,0.717596728922492,0.707629919088069
ATP-synt_DE_N,.,0.902935831422267,0.643966469556176,0.756315391642889,0.6,0.654545454545455,0.5,0.706981720148146,0.872329347146748
Jacalin,.,0.815688416771234,0.579569822600558,0.626186003027071,0.663461538461538,0.423076923076923,0.946394630357186,0.705849437591056,0.756788853146871
NHase_alpha,.,0.775155769979663,0.601728507375398,0.721343910494499,0.61,0.6,0.732486760358964,0.701280466405418,0.735434802586763
IF3,.,0.874799878845571,0.696796413022288,0.693137346386219,0.589041095890411,0.680851063829787,0.5,0.699244134553119,0.834182877265374
Mur_ligase_C,.,0.837809917355372,0.863863798817337,0.651941078232537,0.615384615384615,0.428571428571429,0.630929753571457,0.697195744928224,0.82757685779814
fusion_gly,.,0.715000432694388,0.757943985964001,0.897473516091913,0.65625,1,0,0.696582868245699,0.763888743365722
Colicin_Pyocin,.,0.840736013153909,0.869322243160699,0.873643435209947,0.595238095238095,0.846153846153846,0,0.696056390683809,0.886288221554536
avi,.,0.838302107221669,0.600103970368445,0.596917272505764,0.480769230769231,0.623188405797101,0.885621874580711,0.695992592876156,0.728218623462973
Binary_toxA,.,0.835943922807321,0.726038079147442,0.756449422242036,0.617647058823529,0.454545454545455,0.630929753571457,0.694872564382425,0.832735413978686
urease_gamma,.,0.845863441651162,0.766781467281824,0.732724488507386,0.58695652173913,0.771929824561403,0.315464876785729,0.694259549441375,0.829805083364251
tcl1_mtcp1,.,0.834207736575656,0.89628955747612,0.921148081639622,0.480769230769231,0.571428571428571,0.315464876785729,0.694121579289108,0.877008015518872
sh2,.,0.902865518584224,0.650919487945936,0.693839584201606,0.604166666666667,0.666666666666667,0.5,0.693837278857551,0.857979544722164
HMG_box,.,0.767626887629267,0.454545454545455,0.65797895278516,0.629032258064516,0.877551020408163,0.630929753571457,0.693571884358943,0.683520285404432
eIF6,.,0.750162260395483,0.816427318214309,0.50013822794806,0.576923076923077,0.426229508196721,0.946394630357186,0.693107273394773,0.680420305511047
Ala_racemase_N,.,0.756582363376747,0.881148872571316,0.674766735891305,0.533980582524272,0.348484848484849,0.815464876785729,0.691152007499772,0.742425828908611
CUB,.,0.893930379472978,0.793163948274741,0.749817421250798,0.533980582524272,0.535714285714286,0.5,0.6898739682712,0.878342019848642
HSP20,.,0.848519103457228,0.678081746702191,0.782754231585762,0.58252427184466,0.614285714285714,0.5,0.689726305462001,0.833856592525515
Pro_CA,.,0.715660291636018,0.897199298200013,0.81948359565776,0.548076923076923,0.710144927536232,0.315464876785729,0.689681106971891,0.746850693385624
Amino_oxidase_D2,.,0.87041343948769,0.585353174345312,0.772134986266725,0.505747126436782,0.53968253968254,0.732486760358964,0.6896102480121,0.817876391159925
rnasemam,.,0.847318376530656,0.74481772694782,0.643603886460526,0.605769230769231,0.523076923076923,0.630929753571457,0.686165012950886,0.810734886657313
protg,.,0.86311172169097,0.385470141009813,0.5619902310854,0.785714285714286,0.897435897435897,0.5,0.685565190931034,0.772652672670306
mutT,.,0.836528060231059,0.639352784456431,0.526932004726167,0.673076923076923,0.580645161290323,0.732486760358964,0.683993223397856,0.761524020708985
lacI,.,0.911205702912033,0.50107219442459,0.645065251583047,0.666666666666667,0.948717948717949,0.315464876785729,0.683715971717784,0.836027577233082
Skp1,.,0.833455930076587,0.727272727272727,0.763435518227343,0.650602409638554,0.693548387096774,0.315464876785729,0.682240247101736,0.838767456440233
MurB_C,.,0.844376054692571,0.710117616479303,0.730571912503061,0.464285714285714,0.589285714285714,0.630929753571457,0.677487111920502,0.79447010406403
SRP54,.,0.62715265458007,0.820911040353499,0.856748181000593,0.604395604395604,0.546875,0.5,0.672977701085082,0.678401757622554
DHHA2,.,0.856356280559041,0.540905841835078,0.65167963319439,0.6,0.571428571428571,0.732486760358964,0.671899066110549,0.7852949990579
Ribosomal_L4,.,0.834299684133097,0.743583078822536,0.751168683034351,0.585858585858586,0.532258064516129,0.5,0.669996555389317,0.828505941548706
MBD,.,0.841725801566354,0.451426343492106,0.533382310308582,0.733333333333333,0.884615384615385,0.5,0.669098664203323,0.746242093135642
Peptidase_S24,.,0.85992060057981,0.713431671973488,0.619297750327696,0.57843137254902,0.661538461538462,0.5,0.66513133739703,0.804886490369115
Rhodanese,.,0.881063130111202,0.754759893430373,0.603803438387601,0.586538461538462,0.467741935483871,0.630929753571457,0.662528467050775,0.833904555667006
SIS,.,0.773825234736705,0.830658262395216,0.532608432995668,0.509615384615385,0.46031746031746,0.815464876785729,0.661743597143084,0.70483984970964
ISP,.,0.873188092250444,0.766456559880432,0.715535206449689,0.581632653061224,0.482758620689655,0.5,0.660767586694869,0.860994197800899
HLH,.,0.756328155423824,0.298654883358243,0.533973365805479,0.758620689655172,0.94,0.630929753571457,0.660411668975803,0.643104871751413
tryp_alpha_amyl,.,0.765495867768595,0.758398856325945,0.627073777892658,0.494949494949495,0.636363636363636,0.630929753571457,0.658640762465903,0.706150828315924
dutpase,.,0.849081606161568,0.715251153421274,0.764179848101026,0.644230769230769,0.623188405797101,0.315464876785729,0.658033881864603,0.856142965450759
blmb,.,0.747447103111073,0.655923061927352,0.722798256321664,0.564705882352941,0.333333333333333,0.885621874580711,0.657509796729078,0.721129663241296
DUF50,.,0.852013110639955,0.680226135551367,0.689301016908558,0.51,0.546875,0.630929753571457,0.657347772066738,0.799436607312754
ghf33,.,0.673726796763446,0.691467931639482,0.640497634841316,0.621359223300971,0.459016393442623,0.815464876785729,0.654735231823337,0.643651496557267
Plectin,.,0.718873047466574,0.740918838131133,0.785287248655574,0.57,0.454545454545455,0.630929753571457,0.654407997320842,0.727608483889509
Peptidase_S21,.,0.71826186664359,0.621417895899669,0.818083341089734,0.572916666666667,0.351351351351351,0.815464876785729,0.653385226831136,0.71786808802587
SAM_PNT,.,0.760135866037817,0.646500747287023,0.785096684272213,0.805194805194805,0.895833333333333,0,0.651801895878408,0.799147529931172
hemopexin,.,0.81751114188049,0.548378712067061,0.629839735970154,0.5,0.506849315068493,0.885621874580711,0.650276722437162,0.723973310458426
ngf,.,0.842899485093678,0.726557930989668,0.530050729822935,0.586538461538462,0.697368421052632,0.5,0.648676272954859,0.768419879673388
cryst,.,0.821297217775085,0.538631490025344,0.729403863813813,0.5,0.46969696969697,0.815464876785729,0.645693045016389,0.75735051326588
TyrKc,.,0.646856475271516,0.753590226785366,0.813593932578008,0.544554455445545,0.479452054794521,0.630929753571457,0.643847877697825,0.664539573006487
MIF,.,0.814833845355026,0.722204171811035,0.514396847482687,0.541666666666667,0.542372881355932,0.732486760358964,0.643508199099264,0.728831534496078
Phage_integrase,.,0.792501406256761,0.669114302423809,0.808371766544402,0.601941747572815,0.493975903614458,0.5,0.642820616586579,0.801582890475471
Isochorismatase,.,0.70814222664532,0.719474949639352,0.82937022573793,0.556701030927835,0.546875,0.5,0.641034249010967,0.724394232123771
DUF101,.,0.908079485959067,0.67912145038664,0.576570896365203,0.663461538461538,0.532258064516129,0.5,0.640675751998094,0.859373983410349
