Rank              Template      Weighted Combined Scores
********************************************************
1           Colicin_Pyocin      1.0000
2                      RGS      0.9716
3                     mdm2      0.9592
4                  gag_p17      0.9465
5                      BAG      0.9380
6                    ghf22      0.9341
7             Mur_ligase_C      0.9322
8                     SUI1      0.9248
9              Bacteriofer      0.9241
10                     BIR      0.9161
11          Sua5_yciO_yrdC      0.9143
12          Dehydratase_SU      0.8991
13                     SCP      0.8939
14                     dNK      0.8910
15         Bac_DNA_binding      0.8904
16                capsid_n      0.8901
17                 HMG_box      0.8868
18                    tetR      0.8829
19          Dehydratase_MU      0.8824
20                  RhoGEF      0.8776
21          Nitroreductase      0.8770
22          UPP_synthetase      0.8764
23                      Fz      0.8698
24                     cks      0.8615
25                     L15      0.8588
26                     msb      0.8585
27                    E2_N      0.8557
28                    dsrm      0.8541
29                    DSBA      0.8534
30                Orbi_VP7      0.8512
31                   Clp_N      0.8501
32                     GFP      0.8455
33                   EF_TS      0.8423
34                   PCI_1      0.8414
35                    Skp1      0.8395
36          LysR_substrate      0.8394
37                     PDZ      0.8369
38                    ENTH      0.8365
39                     ung      0.8331
40                     KSI      0.8322
41         Desulfoferrodox      0.8322
42           Trypan_glycop      0.8320
43         7kD_DNA_binding      0.8246
44                      C1      0.8243
45          Heme_oxygenase      0.8236
46                   SRP19      0.8095
47                    RING      0.8068
48                   DUF28      0.8059
49                     tms      0.8052
50                    CARD      0.8030
51                arginase      0.8006
52                       P      0.7941
53                   DUF50      0.7939
54           DAP_epimerase      0.7935
55                 SAM_PNT      0.7910
56                     Rop      0.7909
57         Ribosomal_S30AE      0.7899
58                    ACPS      0.7897
59                    PGAM      0.7852
60                     CPS      0.7847
61                    cytc      0.7839
62                    Hint      0.7830
63                Syntaxin      0.7829
64            Arch_histone      0.7820
65                 Astacin      0.7818
66              planttoxin      0.7815
67                 hormone      0.7809
68                     HIT      0.7781
69                       B      0.7779
70               Band_41_M      0.7776
71         Cys-protease-3C      0.7769
72                    UcrQ      0.7717
73           Ribosomal_S15      0.7707
74                      CH      0.7682
75                    LDLa      0.7649
76                rnasemam      0.7630
77           Ribosomal_L22      0.7626
78                  DUF101      0.7606
79                 MutS_D2      0.7597
80                     cah      0.7592
81                     TIR      0.7583
