,benchmark,alignment,threading,modeller,secondary_structure,solvent_access,co_evolution,sum_scores,weighted_combined_scores
cah,.,0.9530047550907007,0.5864609716785654,0.583589836647062,0.681592039800995,0.3482587064676617,0.0,0.5057317241426468,1.0
KAS,.,0.9389165080816873,0.6706577634507664,0.6793633198586595,0.6467661691542289,0.40298507462686567,0.0,0.5581577957600798,0.9255810643647487
laminin_G,.,0.8322244678183133,0.5789392892777685,0.6347042673761304,0.7286432160804021,0.3869346733668342,0.0,0.5081415196926127,0.8796683925854919
thymid_phosphorylase,.,0.7965539115169574,0.7566198480313188,0.7118746446896079,0.6915422885572139,0.34328358208955223,0.0,0.5472046939433289,0.8461613887346013
ung,.,0.9817123243886487,0.7583595568859233,0.8570204282097292,0.7014925373134329,0.4129353233830846,0.6890391453708667,0.8578076024726121,0.8313322099303148
Dala_Dala_ligas_C,.,0.9836596004150254,0.7178089902013496,0.836694184174145,0.7412935323383084,0.48756218905472637,0.6890391453708667,0.873468705184165,0.8132167883363954
E2_N,.,0.9159671716799189,0.7138178934172495,0.7970307200336681,0.6231155778894473,0.5527638190954773,0.0,0.632657889975192,0.7829425513043475
ricin,.,0.9359710072236073,0.7934095735154912,0.8511886472132769,0.6865671641791045,0.39800995024875624,0.6890391453708667,0.8447213468569564,0.7637747533178507
Ala_racemase_N,.,0.9509394623354527,0.8111648374139773,0.8329562358624529,0.7064676616915423,0.38308457711442784,0.8313462004733339,0.8903722949230665,0.7587473173638897
ech,.,0.9658833306287832,0.7215442474480023,0.6825837543898288,0.7661691542288557,0.4577114427860697,0.8313462004733339,0.8647717304924126,0.74078909985825
serpin,.,0.9359365856776866,0.6453552331977406,0.8634864459233279,0.6865671641791045,0.43781094527363185,0.6890391453708667,0.8176338856951758,0.7386102749998065
Spermine_synth,.,0.9152836581252058,0.7965563998260276,0.9123409302706197,0.6965174129353234,0.3383084577114428,0.8976294162310349,0.9018510443282658,0.7371901698089438
hormone_rec,.,0.9385280363491525,0.8444751451889393,0.958232636498003,0.681592039800995,0.472636815920398,0.6890391453708667,0.9097150016903435,0.7332970715251378
tms,.,0.956063355313949,0.7843784378437857,0.7929341598928876,0.681592039800995,0.38308457711442784,0.8313462004733339,0.8659458238870579,0.7252758075446024
Ald_Xan_dh_2,.,0.694626796681763,0.5541996060071137,0.6951639251870562,0.7064676616915423,0.3582089552238806,0.0,0.46502873954205004,0.7164545983391162
SRP54,.,0.9433027965047379,0.8005474966101288,0.9368944208384683,0.6915422885572139,0.4427860696517413,0.8313462004733339,0.9271869570924202,0.7160668417149046
Aldolase_II,.,0.9597415433637717,0.8852559674572132,0.8811741021282037,0.681592039800995,0.43283582089552236,0.8313462004733339,0.9343902661700383,0.7151062474303662
UPP_synthetase,.,1.0,0.8547343106403681,0.8542807045547995,0.681592039800995,0.4925373134328358,0.8313462004733339,0.9463960331011075,0.7118654991792756
Amidase,.,0.8769872296064632,0.8622815769949104,0.6130500789386215,0.6965174129353234,0.2935323383084577,0.6890391453708667,0.7536365310717684,0.7063555339759525
LysR_substrate,.,0.9770801677804496,0.7050937651904783,0.7873140857992602,0.7064676616915423,0.4626865671641791,0.8686696301462434,0.88793216589771,0.7026720996410356
Peptidase_S21,.,0.9775374826048259,0.828613093867528,0.7812361041975372,0.7064676616915423,0.4577114427860697,0.8686696301462434,0.9197981201895635,0.7026533616186055
tRNA-synt_1_edit,.,0.9296571122289917,0.7083173433622457,0.7730988377354178,0.7336683417085427,0.4221105527638191,0.8673654649371747,0.8673056668956839,0.7001863869079726
Fapy_DNA_glyco,.,0.9675011432870609,0.7153273466881606,0.7342555371412746,0.681592039800995,0.4129353233830846,0.8313462004733339,0.8415529405200539,0.6993037934325405
ATP-synt_g,.,0.9525031839929977,0.8065085578325318,0.8671172689185329,0.7014925373134329,0.46766169154228854,0.8313462004733339,0.9216024535095448,0.6973654786148181
CASc,.,0.9469023067353131,0.75948525085067,0.6196896927044088,0.6965174129353234,0.38308457711442784,0.778773638487401,0.7968244098985222,0.69633431342008
fibrinogen_C,.,0.9274049596530308,0.6313863944534008,0.6717446315747847,0.6716417910447762,0.3880597014925373,0.6890391453708667,0.7389256111654217,0.6911493094054904
tRNA-synt_2b,.,0.9428405643166586,0.6564075012152407,0.8378114409693683,0.6517412935323383,0.4228855721393035,0.778773638487401,0.8267386199182664,0.6782733297941101
Endonuclease_3,.,0.9734757401861713,0.8742548673472027,0.8393235712787825,0.6268656716417911,0.43781094527363185,0.778773638487401,0.894476885977676,0.6737380068487357
cat3,.,0.9574795560604048,0.7135876378335549,0.7962018067772476,0.7213930348258707,0.5323383084577115,0.778773638487401,0.8858050431267339,0.6737188452566393
COX1,.,0.824981191083836,0.8965384910584129,0.8261774656250049,0.7164179104477612,0.31840796019900497,0.778773638487401,0.8467280515358844,0.6727330351359007
aconitase,.,0.8476846593004559,0.6771049197943083,0.8141602710194736,0.746268656716418,0.3781094527363184,0.8313462004733339,0.8279278130171488,0.6695439229919073
Plectin,.,0.8911000634339917,0.845191495893778,0.8101180673250682,0.746268656716418,0.4427860696517413,0.8313462004733339,0.9047221294659887,0.669131629164941
Astacin,Superfamily,0.9376429108826175,0.7332105303553653,0.7951999739926143,0.6834170854271356,0.45226130653266333,0.777471107597967,0.851781028159596,0.6691210060110692
RNA_pol_A_bac,.,0.9768687211412217,0.5764064778570888,0.6617815441661552,0.7014925373134329,0.4975124378109453,0.778773638487401,0.7991898658966987,0.6658318139101879
CPS,.,0.9685583764831998,0.7416788190446991,0.6979537296568339,0.6567164179104478,0.43283582089552236,0.778773638487401,0.822803978439903,0.6640384552081222
aminotran_4,.,0.9637000211446639,0.6558702381866133,0.6985536711185673,0.6368159203980099,0.4427860696517413,0.6890391453708667,0.7692578329838888,0.6626839090548168
Extradiol_dioxy,.,0.9020559497642124,0.7008724128226809,0.7744211083562654,0.6865671641791045,0.3781094527363184,0.8313462004733339,0.8219166262877143,0.6601084468275018
glnasn,.,0.8808916163866227,0.7557244096502678,0.8283197915483501,0.7014925373134329,0.3681592039800995,0.8686696301462434,0.8585689168511128,0.6589862870601543
actin,.,0.9024247520419352,0.7205720572057228,0.8067194814802734,0.6766169154228856,0.3781094527363184,0.8313462004733339,0.8338861814688439,0.6589304812664477
sugbp,.,0.9487118965780066,0.8533016092306895,0.8035136779076206,0.6517412935323383,0.417910447761194,0.8313462004733339,0.8877101518426282,0.6552115874169745
peroxidase,.,0.888646298946209,0.7114130017652931,0.7572227684126013,0.6318407960199005,0.3034825870646766,0.778773638487401,0.7649160563055888,0.6548365417036811
Peptidase_C15,.,0.917157173696038,0.8723104868626411,0.8407508384206733,0.6865671641791045,0.40298507462686567,0.8976294162310349,0.9189980362721296,0.6518486789127867
phosfruc,.,0.9273361165611892,0.7105943152454806,0.7527092890963386,0.6666666666666666,0.39303482587064675,0.8313462004733339,0.8242630760849329,0.6515788647643947
TyrKc,.,0.9605430736473561,0.7183974211374647,0.797418611820429,0.6218905472636815,0.46766169154228854,0.6890391453708667,0.8167181692469548,0.6509008001117045
formyl_transf,.,0.8886413815825059,0.7197533706859086,0.7589549584408616,0.6884422110552764,0.4321608040201005,0.6877398708629975,0.7943523411194615,0.6493673070075026
AP_endonucleas1,.,0.9620133653945447,0.6766955765344033,0.7762470195059722,0.6766169154228856,0.44776119402985076,0.8976294162310349,0.8680805153891524,0.6473543285962063
blmb,.,0.9381592340714296,0.7618133906413933,0.7947637332923835,0.6716417910447762,0.39800995024875624,0.921296159359625,0.8818290563312936,0.6457141770647645
DNA_ligase_N,.,0.9312011644317248,0.6446644664466475,0.8846534198341098,0.6368159203980099,0.4427860696517413,0.778773638487401,0.834762614467659,0.6447800208010207
Hydrolase,.,0.9459385034495307,0.892752065904263,0.8195959156569802,0.6169154228855721,0.4079601990049751,0.778773638487401,0.8751274504928723,0.6438729542842023
6PGD,.,0.8430574200559596,0.8613093867526285,0.8671581490073103,0.6865671641791045,0.3582089552238806,0.778773638487401,0.8562598997035491,0.6438546370659284
